rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
283,1,POD.AX,Podium Minerals,platinum,explorer,small,0.041,66.67,-0.0037,-0.0757,-0.0129,FLAT,-42.25,0.0,20.59,-62.86,37.15,86.29,1.0754,MED,-,0.0458,0.049,0.0634,0,0.0,LAGGARD,14.2769
322,3,IPT.AX,Impact Minerals,platinum,explorer,small,0.041,0.0,-0.0264,-0.0757,-0.224,STRONG_UP,-19.61,-36.92,-72.87,-59.0,27.67,65.94,1.4006,MED,-,0.0468,0.0486,0.0585,0,-15.4938,WEAK,9.3302
