rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
224,-43,PNN.AX,Power Minerals,uranium,producer,small,0.125,71.43,0.096,0.1033,0.3895,STRONG_DOWN,27.55,108.33,-7.41,-64.89,38.34,79.39,0.3154,LOW,-,0.12,0.1188,0.106,1,52.3177,CONTENDER,22.6682
226,36,LI.V,American Lithium Ord Shs,uranium,producer,small,0.55,50.79,-0.0173,-0.0391,-0.1087,STRONG_UP,-9.84,52.78,-43.3,-56.41,39.6,65.21,4.4579,HIGH,-,0.609,0.5886,0.651,0,32.0503,LAGGARD,22.3465
230,12,MYRUF,Myriad Uranium Corp.,uranium,producer,small,0.3396,66.67,0.0446,0.0214,0.1342,FLAT,65.74,91.83,42.63,-56.73,49.6,88.64,0.2446,LOW,-,0.3543,0.3581,0.2991,1,51.3861,CONTENDER,21.888
234,6,I88.AX,Infini Resources,uranium,producer,small,0.16,61.9,0.096,0.0445,0.1541,FLAT,-46.67,79.78,0.0,-84.0,36.36,108.36,0.1716,LOW,-,0.1738,0.1509,0.2398,0,26.7684,LAGGARD,21.6669
244,38,8001.T,Itochu Corp,uranium,producer,large,2059.0,44.44,0.1343,0.131,0.0941,STRONG_UP,12.05,38.35,48.81,-14.24,53.31,34.55,1.0931,MED,-,1987.875,2022.8015,1855.4483,1,59.1687,LAGGARD,20.105
255,3,BVR.AX,Bellavista Resources,uranium,producer,small,0.525,55.56,0.0012,-0.0652,-0.3342,STRONG_UP,-2.78,69.35,138.64,-48.35,34.39,90.85,1.5294,HIGH,-,0.5912,0.6061,0.5503,0,26.2533,LAGGARD,19.4185
260,-5,ISO.TO,IsoEnergy Ltd.,uranium,producer,mid,15.47,60.32,-0.0492,0.06,0.2266,STRONG_DOWN,37.02,72.08,-7.92,-29.99,54.8,75.71,0.636,LOW,-,16.353,15.4392,13.5823,1,52.1726,CONTENDER,18.8768
263,-7,NNE,Nano Nuclear Energy,uranium,producer,mid,24.92,22.22,-0.0253,0.0673,0.0752,STRONG_DOWN,-26.05,-8.55,510.78,-66.45,46.4,96.18,1.3676,MED,-,25.4733,23.4637,32.0728,0,-4.125,WEAK,18.4842
266,8,DYL.AX,Deep Yellow Ltd.,uranium,producer,mid,1.71,42.86,0.0408,-0.0561,-0.196,STRONG_UP,3.01,36.8,1.79,-44.5,47.83,71.66,0.469,LOW,EARLY,1.861,1.8637,1.9328,0,24.5624,WEAK,18.2207
269,-53,7011.T,Mitsubishi Heavy Ind.,uranium,producer,large,4080.0,49.21,0.0267,-0.0415,-0.0943,STRONG_UP,-8.16,45.03,207.93,-21.24,47.52,46.55,0.9945,LOW,EARLY,4516.8,4624.5819,4239.9916,0,45.9696,WEAK,17.8465
273,-21,SMR,Nuscale Power Corp,uranium,producer,mid,11.23,3.17,-0.0594,-0.0107,-0.1306,FLAT,-51.49,-53.54,84.4,-82.86,45.2,92.45,0.8699,LOW,EARLY,12.317,11.5784,23.8596,0,-26.1751,WEAK,17.4818
278,10,ETM.AX,Energy Transition Minerals,uranium,producer,small,0.064,41.27,0.0512,0.0308,-0.308,STRONG_UP,-20.99,33.33,93.94,-74.36,36.76,120.6,0.7008,LOW,-,0.0673,0.074,0.0884,0,10.1603,WEAK,16.8574
279,-7,006360.KS,Gs En & Co,uranium,producer,large,32000.0,58.73,-0.0204,-0.118,0.6147,FLAT,75.62,70.22,111.01,-25.75,48.76,114.82,0.636,LOW,-,38250.0,31823.6,22165.6285,1,29.8201,CONTENDER,16.8364
286,28,ASN.AX,Anson Resources,uranium,producer,small,0.07,39.68,0.3687,0.2508,0.3602,FLAT,-24.73,27.27,-41.67,-63.33,33.6,127.42,2.5907,HIGH,-,0.058,0.0531,0.0731,0,7.1917,WEAK,16.3273
292,4,BMN.AX,Bannerman Energy Ltd.,uranium,producer,mid,3.86,46.03,-0.0004,-0.0388,0.0823,FLAT,21.0,39.35,-14.41,-34.17,47.83,74.76,0.6977,LOW,-,4.1985,3.994,3.5846,1,25.1755,LAGGARD,15.1582
