date,value,positions,cash,hedge,income_cum,withdrawn_cum,spy,bench,all_in
2023-07-24,100020.83,0.0,100020.83,0.0,0.0,0.0,100000.0,100020.83,100020.83
2023-07-25,100041.73,0.0,100041.73,0.0,0.0,0.0,100273.01,100041.73,100041.73
2023-07-26,100062.64,0.0,100062.64,0.0,0.0,0.0,100288.42,100062.64,100062.64
2023-07-27,100083.56,0.0,100083.56,0.0,0.0,0.0,99623.51,100083.56,100083.56
2023-07-28,100104.43,0.0,100104.43,0.0,0.0,0.0,100598.86,100104.43,100104.43
2023-07-31,100125.28,0.0,100125.28,0.0,0.0,0.0,100790.4,100125.28,100125.28
2023-08-01,100146.18,0.0,100146.18,0.0,0.0,0.0,100501.98,100146.18,100146.18
2023-08-02,100167.08,0.0,100167.08,0.0,0.0,0.0,99103.92,100167.08,100167.08
2023-08-03,100187.98,0.0,100187.98,0.0,0.0,0.0,98819.9,100187.98,100187.98
2023-08-04,100208.87,0.0,100208.87,0.0,0.0,0.0,98372.96,100208.87,100208.87
2023-08-07,100229.78,0.0,100229.78,0.0,0.0,0.0,99231.61,100229.78,100229.78
2023-08-08,100250.76,0.0,100250.76,0.0,0.0,0.0,98800.09,100250.76,100250.76
2023-08-09,100271.77,0.0,100271.77,0.0,0.0,0.0,98139.58,100271.77,100271.77
2023-08-10,100292.73,0.0,100292.73,0.0,0.0,0.0,98174.81,100292.73,100292.73
2023-08-11,100313.68,0.0,100313.68,0.0,0.0,0.0,98117.57,100313.68,100313.68
2023-08-14,100334.66,0.0,100334.66,0.0,0.0,0.0,98659.18,100334.66,100334.66
2023-08-15,100355.69,0.0,100355.69,0.0,0.0,0.0,97509.91,100355.69,100355.69
2023-08-16,100376.73,0.0,100376.73,0.0,0.0,0.0,96794.36,100376.73,100376.73
2023-08-17,100397.76,0.0,100397.76,0.0,0.0,0.0,96056.8,100397.76,100397.76
2023-08-18,100418.78,0.0,100418.78,0.0,0.0,0.0,96103.04,100418.78,100418.78
2023-08-21,100439.82,0.0,100439.82,0.0,0.0,0.0,96728.31,100439.82,100439.82
2023-08-22,100460.93,0.0,100460.93,0.0,0.0,0.0,96466.31,100460.93,100460.93
2023-08-23,100482.04,0.0,100482.04,0.0,0.0,0.0,97540.73,100482.04,100482.04
2023-08-24,100503.18,0.0,100503.18,0.0,0.0,0.0,96188.9,100503.18,100503.18
2023-08-25,100524.38,0.0,100524.38,0.0,0.0,0.0,96867.02,100524.38,100524.38
2023-08-28,100545.61,0.0,100545.61,0.0,0.0,0.0,97481.29,100545.61,100545.61
2023-08-29,100566.84,0.0,100566.84,0.0,0.0,0.0,98890.35,100566.84,100566.84
2023-08-30,100588.05,0.0,100588.05,0.0,0.0,0.0,99297.67,100588.05,100588.05
2023-08-31,100609.2,0.0,100609.2,0.0,0.0,0.0,99152.35,100609.2,100609.2
2023-09-01,100630.23,0.0,100630.23,0.0,0.0,0.0,99337.29,100630.23,100630.23
2023-09-05,100651.31,0.0,100651.31,0.0,0.0,0.0,98907.97,100651.31,100651.31
2023-09-06,100672.47,0.0,100672.47,0.0,0.0,0.0,98243.06,100672.47,100672.47
2023-09-07,100693.58,0.0,100693.58,0.0,0.0,0.0,97941.43,100693.58,100693.58
2023-09-08,100714.73,0.0,100714.73,0.0,0.0,0.0,98088.94,100714.73,100714.73
2023-09-11,100735.88,0.0,100735.88,0.0,0.0,0.0,98734.04,100735.88,100735.88
2023-09-12,100757.09,0.0,100757.09,0.0,0.0,0.0,98192.42,100757.09,100757.09
2023-09-13,100778.3,0.0,100778.3,0.0,0.0,0.0,98306.91,100778.3,100778.3
2023-09-14,100799.48,0.0,100799.48,0.0,0.0,0.0,99154.55,100799.48,100799.48
2023-09-15,100820.67,0.0,100820.67,0.0,0.0,0.0,97964.11,100820.67,100820.67
2023-09-18,100841.87,0.0,100841.87,0.0,0.0,0.0,98021.43,100841.87,100841.87
2023-09-19,100863.12,0.0,100863.12,0.0,0.0,0.0,97818.94,100863.12,100863.12
2023-09-20,100884.39,0.0,100884.39,0.0,0.0,0.0,96922.94,100884.39,100884.39
2023-09-21,100905.63,0.0,100905.63,0.0,0.0,0.0,95326.8,100905.63,100905.63
2023-09-22,100926.87,0.0,100926.87,0.0,0.0,0.0,95113.31,100926.87,100926.87
2023-09-25,100948.15,0.0,100948.15,0.0,0.0,0.0,95511.89,100948.15,100948.15
2023-09-26,100969.48,0.0,100969.48,0.0,0.0,0.0,94113.9,100969.48,100969.48
2023-09-27,100990.84,0.0,100990.84,0.0,0.0,0.0,94151.4,100990.84,100990.84
2023-09-28,101012.11,0.0,101012.11,0.0,0.0,0.0,94695.28,101012.11,101012.11
2023-09-29,101033.36,0.0,101033.36,0.0,0.0,0.0,94466.39,101033.36,101033.36
2023-10-02,101054.67,0.0,101054.67,0.0,0.0,0.0,94429.03,101747.32,101054.67
2023-10-03,101076.08,0.0,101076.08,0.0,0.0,0.0,93169.75,100678.92,101076.08
2023-10-04,101097.48,0.0,101097.48,0.0,0.0,0.0,93845.74,101518.64,101097.48
2023-10-05,101118.84,0.0,101118.84,0.0,0.0,0.0,93810.58,101041.75,101118.84
2023-10-06,101140.3,0.0,101140.3,0.0,0.0,0.0,94920.3,101843.31,101140.3
2023-10-09,101161.77,0.0,101161.77,0.0,0.0,0.0,95525.84,102377.74,101161.77
2023-10-10,101183.13,0.0,101183.13,0.0,0.0,0.0,96021.29,102950.32,101183.13
2023-10-11,101204.56,0.0,101204.56,0.0,0.0,0.0,96413.26,103274.85,101204.56
2023-10-12,101225.98,0.0,101225.98,0.0,0.0,0.0,95827.69,102721.64,101225.98
2023-10-13,101247.38,0.0,101247.38,0.0,0.0,0.0,95352.2,102702.71,101247.38
2023-10-16,101268.79,0.0,101268.79,0.0,0.0,0.0,96351.83,103599.68,101268.79
2023-10-17,101290.25,0.0,101290.25,0.0,0.0,0.0,96347.5,103847.88,101290.25
2023-10-18,101311.67,0.0,101311.67,0.0,0.0,0.0,95068.4,102855.8,101311.67
2023-10-19,101333.02,0.0,101333.02,0.0,0.0,0.0,94236.25,102111.78,101333.02
2023-10-20,101354.33,0.0,101354.33,0.0,0.0,0.0,93082.64,101215.1,101354.33
2023-10-23,101375.62,0.0,101375.62,0.0,0.0,0.0,92921.99,100871.78,101375.62
2023-10-24,101396.97,0.0,101396.97,0.0,0.0,0.0,93620.0,101558.85,101396.97
2023-10-25,101418.36,0.0,101418.36,0.0,0.0,0.0,92281.45,100585.85,101418.36
2023-10-26,101439.69,0.0,101439.69,0.0,0.0,0.0,91180.69,99803.66,101439.69
2023-10-27,101461.04,0.0,101461.04,0.0,0.0,0.0,90769.05,98983.31,101461.04
2023-10-30,101482.44,0.0,101482.44,0.0,0.0,0.0,91850.15,100147.42,101482.44
2023-10-31,101503.86,0.0,101503.86,0.0,0.0,0.0,92424.86,101101.63,101503.86
2023-11-01,101525.21,0.0,101525.21,0.0,0.0,0.0,93406.88,101996.69,101525.21
2023-11-02,101546.44,0.0,101546.44,0.0,0.0,0.0,95190.31,103180.02,101546.44
2023-11-03,101567.61,0.0,101567.61,0.0,0.0,0.0,96055.64,103638.27,101567.61
2023-11-06,101588.81,0.0,101588.81,0.0,0.0,0.0,96275.88,103886.61,101588.81
2023-11-07,101610.06,0.0,101610.06,0.0,0.0,0.0,96548.96,103638.84,101610.06
2023-11-08,101631.31,0.0,101631.31,0.0,0.0,0.0,96619.49,103715.46,101631.31
2023-11-09,101652.53,0.0,101652.53,0.0,0.0,0.0,95868.79,103143.31,101652.53
2023-11-10,101673.71,0.0,101673.71,0.0,0.0,0.0,97359.39,104040.41,101673.71
2023-11-13,101694.93,0.0,101694.93,0.0,0.0,0.0,97267.0,104040.7,101694.93
2023-11-14,101716.13,0.0,101716.13,0.0,0.0,0.0,99147.3,104804.25,101716.13
2023-11-15,101737.34,0.0,101737.34,0.0,0.0,0.0,99356.53,104785.45,101737.34
2023-11-16,101758.51,0.0,101758.51,0.0,0.0,0.0,99477.7,104766.66,101758.51
2023-11-17,101779.64,0.0,101779.64,0.0,0.0,0.0,99601.07,104938.68,101779.64
2023-11-20,101800.8,0.0,101800.8,0.0,0.0,0.0,100365.12,104919.88,101800.8
2023-11-21,101822.02,0.0,101822.02,0.0,0.0,0.0,100147.23,105244.56,101822.02
2023-11-22,101843.3,0.0,101843.3,0.0,0.0,0.0,100532.59,105531.07,101843.3
2023-11-24,101864.53,0.0,101864.53,0.0,0.0,0.0,100594.31,105741.25,101864.53
2023-11-27,101885.78,0.0,101885.78,0.0,0.0,0.0,100413.85,105512.56,101885.78
2023-11-28,101907.05,0.0,101907.05,0.0,0.0,0.0,100513.0,105493.77,101907.05
2023-11-29,101928.24,0.0,101928.24,0.0,0.0,0.0,100442.62,105398.65,101928.24
2023-11-30,101949.42,0.0,101949.42,0.0,0.0,0.0,100836.79,105780.56,101949.42
2023-12-01,101970.52,0.0,101970.52,0.0,0.0,0.0,101431.32,106219.72,101970.52
