rank,delta_rank,ticker,name,sector,industry,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
259,84,EXTR,EXTREME NETWORKS INC,Information Technology,,mid,17.66,1.1765,1.109,1.2024,1.1269,FLAT,-14.11,54.24,61.13,-39.87,54.62,35.5,2.0382,HIGH,SHIFT,15.2925,14.7874,17.7114,0,83.4468,WEAK,33.4549
365,-47,PLTR,Palantir Technologies,Information Technology,Application Software,large,130.49,1.1236,0.8478,0.8539,0.7462,FLAT,-28.91,47.3,482.03,-37.81,55.02,55.74,1.8185,HIGH,EARLY,149.0305,144.9202,164.2342,0,46.6856,WEAK,28.8206
515,168,CWK,CUSHMAN AND WAKEFIELD LTD,Real Estate,,mid,13.15,1.2554,1.0164,1.0808,0.8075,FLAT,-11.51,64.58,29.68,-31.4,50.2,58.25,1.7228,HIGH,PROGRESS,12.333,13.3878,14.6161,0,55.6558,WEAK,24.5426
572,51,TEAM,Atlassian,Technology,Computer Software,large,58.96,0.2271,0.8328,0.7752,0.399,STRONG_UP,-60.57,-70.23,-71.2,-74.35,45.78,65.5,1.6821,HIGH,EARLY,69.6005,80.8908,145.1497,0,-49.0837,WEAK,23.2102
606,137,ZS,Zscaler,Technology,EDP Services,large,122.23,0.4773,0.8509,0.7883,0.5611,STRONG_UP,-61.06,-37.43,-33.55,-63.65,51.81,61.07,2.6168,HIGH,EARLY,143.885,159.2454,247.5504,0,-31.7574,WEAK,22.5246
645,-78,AXON,Axon Enterprise,Industrials,Aerospace & Defense,large,351.33,0.4862,0.8209,0.6734,0.5797,STRONG_UP,-51.7,-36.27,10.39,-59.66,53.01,69.38,2.0326,HIGH,EARLY,450.401,471.5064,631.8557,0,-27.7097,WEAK,21.6778
725,-153,SLNO,SOLENO THERAPEUTICS INC,Health Care,,mid,52.51,0.6371,1.2826,1.334,1.1672,FLAT,-16.31,-16.48,37.68,-66.04,47.79,88.86,2.0368,HIGH,SHIFT,37.2028,38.7409,56.7637,0,-8.8623,WEAK,20.2967
813,-29,INTU,Intuit,Information Technology,Application Software,large,361.69,0.4802,0.8258,0.8146,0.5614,STRONG_UP,-44.81,-37.05,-41.77,-55.41,49.4,53.11,1.8433,HIGH,EARLY,429.9075,429.6514,617.5935,0,-34.4631,WEAK,18.2789
841,67,NOW,ServiceNow,Information Technology,Systems Software,large,89.81,0.4372,0.8493,0.7705,0.6213,STRONG_UP,-50.89,-42.69,-41.62,-57.02,48.59,51.54,1.9663,HIGH,EARLY,106.1535,108.7098,158.5904,0,-40.2427,WEAK,17.6821
935,46,WDAY,"Workday, Inc.",Information Technology,Application Software,large,113.06,0.3837,0.8246,0.8137,0.545,STRONG_UP,-52.55,-49.69,-57.63,-58.84,52.21,48.87,2.0976,HIGH,EARLY,129.6345,141.5134,204.7994,0,-53.0892,WEAK,15.6656
1047,90,CVLT,COMMVAULT SYSTEMS INC,Information Technology,,mid,80.61,0.4062,0.9728,0.9886,0.6567,FLAT,-54.64,-46.75,-16.49,-61.53,51.81,74.33,1.9219,HIGH,PROGRESS,79.254,83.6716,138.3671,0,-32.5884,WEAK,13.4996
1072,63,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,mid,123.85,0.6458,0.8657,0.8653,0.5699,STRONG_UP,-18.01,-15.34,-53.58,-44.06,53.41,59.53,2.0651,HIGH,EARLY,134.8335,151.6784,170.0804,0,-13.7624,WEAK,13.1321
1100,13,ADSK,Autodesk,Information Technology,Application Software,large,225.13,0.6684,0.9121,0.8868,0.8232,STRONG_UP,-27.71,-12.37,-5.81,-33.09,51.81,40.47,1.5727,HIGH,EARLY,241.4645,242.048,285.6966,0,-15.8407,WEAK,12.6901
1155,-23,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,large,169.41,0.4557,0.8829,0.8294,0.7708,STRONG_UP,-30.1,-40.26,-23.99,-46.98,46.18,38.97,1.7355,HIGH,EARLY,190.9745,193.8619,234.0398,0,-47.7071,WEAK,11.6065
1200,55,QLYS,QUALYS INC,Information Technology,,mid,76.68,0.4764,0.8371,0.787,0.5815,STRONG_UP,-40.66,-37.55,-53.64,-50.14,49.0,54.85,2.2487,HIGH,EARLY,91.2825,100.5358,127.3344,0,-33.5423,WEAK,10.6407
1217,-72,TENB,TENABLE HOLDINGS INC,Information Technology,,mid,16.41,0.3808,0.9004,0.7937,0.7044,STRONG_UP,-45.12,-50.08,-66.37,-53.72,44.98,56.9,1.6071,HIGH,EARLY,18.6525,19.9526,26.5013,0,-39.5856,WEAK,10.3932
