rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
13,-1,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,192.31,1.0,0.9838,1.0002,1.008,STRONG_DOWN,-30.21,98.42,344.65,-61.35,50.8,81.78,0.757,LOW,EARLY,207.1015,198.8274,251.0237,0,61.1373,WEAK,27.4807
14,-1,PDN.AX,PALADIN ENERGY LTD,Uranium,large,11.17,0.8634,0.911,0.8333,0.8787,FLAT,33.29,71.32,-31.77,-28.43,51.78,71.71,2.4885,HIGH,-,12.669,12.1362,9.9853,1,51.4977,TREND_ONLY,25.8221
21,2,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.75,0.6582,1.0175,0.9069,0.6878,STRONG_UP,5.11,30.6,8.02,-44.5,47.83,71.76,1.0176,MED,EARLY,1.892,1.8993,1.931,0,20.3937,WEAK,19.0294
23,12,ASN.AX,ANSON RESOURCES LTD,Uranium,small,0.08,0.7607,1.6554,1.6795,1.412,FLAT,-2.44,50.94,-38.46,-63.33,34.39,125.32,13.2712,HIGH,-,0.0563,0.0523,0.0735,1,13.9798,TREND_ONLY,18.7106
24,-3,NNE,NANO NUCLEAR ENERGY INC,Uranium,mid,27.05,0.5148,1.0692,1.1456,1.0597,FLAT,-25.13,2.15,729.75,-66.45,46.4,94.76,0.8636,LOW,SHIFT,25.3703,23.4531,32.1681,0,1.054,WEAK,18.5566
30,1,BOE.AX,BOSS ENERGY LTD,Uranium,mid,1.405,0.1779,1.0226,0.9235,0.793,STRONG_UP,-22.38,-64.7,-75.18,-74.73,42.69,74.4,0.5907,LOW,EARLY,1.5165,1.5636,1.703,0,-37.1234,WEAK,14.5462
