rank,delta_rank,ticker,name,sector,industry,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
90,4,QBTS,D WAVE QUANTUM INC,Information Technology,,mid,21.52,2.4863,1.4624,1.2269,0.7372,STRONG_UP,-51.94,235.2,1188.62,-71.01,49.0,102.61,3.14,HIGH,SHIFT,15.438,17.4766,22.4663,0,112.3177,WEAK,51.9171
91,-4,OKLO,OKLO INC CLASS A,Utilities,,mid,64.21,2.1668,1.2374,1.0646,0.6908,STRONG_UP,-62.57,192.13,405.59,-73.83,50.6,89.69,1.812,HIGH,SHIFT,52.61,59.6346,85.5706,0,108.3927,WEAK,51.8123
120,2,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,large,86.85,1.5643,1.2155,1.0901,0.7744,STRONG_UP,-35.26,110.9,408.49,-57.26,53.01,76.26,1.6309,HIGH,SHIFT,72.225,75.332,107.3586,0,77.0914,WEAK,45.4256
123,6,RGTI,RIGETTI COMPUTING INC,Information Technology,,mid,19.45,1.734,1.283,1.1669,0.7748,STRONG_UP,-65.48,133.77,1548.31,-77.1,49.4,90.13,2.0635,HIGH,SHIFT,15.0695,16.0401,22.6141,0,73.3212,WEAK,44.9057
156,7,IONQ,IONQ INC,Information Technology,,large,44.68,1.2875,1.5028,1.2972,0.9243,STRONG_UP,-38.3,73.58,513.74,-67.61,46.99,106.35,3.2401,HIGH,SHIFT,31.3885,33.1966,46.4553,0,32.5117,WEAK,39.9416
203,113,ORCL,Oracle Corporation,Information Technology,Application Software,large,178.34,1.0388,1.2506,1.1003,0.9275,STRONG_UP,-40.9,40.05,53.49,-58.25,52.61,59.42,1.5015,HIGH,SHIFT,149.0306,150.5413,214.2617,0,35.4579,WEAK,36.3857
375,122,HIMS,HIMS HERS HEALTH INC CLASS A,Health Care,,mid,26.99,0.7352,1.3451,1.096,0.8503,STRONG_UP,-56.99,-0.88,117.49,-78.06,44.58,122.52,2.2381,HIGH,SHIFT,21.0885,19.84,38.4641,0,-0.3207,WEAK,27.2757
402,7,SMR,NUSCALE POWER CORP CLASS A,Industrials,,mid,11.41,0.5793,1.1997,0.8916,0.594,STRONG_UP,-78.64,-21.9,,-82.86,47.79,91.79,2.4966,HIGH,PROGRESS,10.5845,12.3806,27.1003,0,-11.4036,WEAK,26.3643
404,61,PII,POLARIS INC,Consumer Discretionary,,mid,53.02,1.2467,0.9303,0.9641,0.7453,FLAT,-17.92,68.08,-33.07,-34.21,49.4,56.49,4.6224,HIGH,EARLY,54.505,57.9131,59.3974,0,59.5355,WEAK,26.3301
423,-37,SGHC,SUPER GROUP LTD,Consumer Discretionary,,mid,10.97,1.0745,1.0384,0.9766,1.0833,FLAT,-15.42,44.86,281.84,-39.53,51.0,46.85,1.5275,HIGH,SHIFT,10.687,10.3217,11.2703,0,48.8307,WEAK,25.646
437,7,SOUN,SOUNDHOUND AI INC CLASS A,Information Technology,,mid,7.7,0.7304,1.1596,0.9795,0.6938,STRONG_UP,-64.02,-1.53,94.44,-72.43,43.78,79.07,1.6872,HIGH,SHIFT,6.7002,7.4757,11.8633,0,-0.8496,WEAK,25.2898
747,63,PATK,PATRICK INDUSTRIES INC,Consumer Discretionary,,mid,102.9,0.9781,0.8473,0.8591,0.8074,FLAT,4.21,31.87,53.17,-31.66,45.78,44.06,1.7183,HIGH,EARLY,111.1375,121.092,110.4739,0,33.1179,WEAK,18.3776
758,227,RDNT,RADNET INC,Health Care,,mid,60.09,0.8954,1.0498,0.9113,0.81,STRONG_UP,-21.74,20.71,25.71,-35.39,50.6,48.08,2.6782,HIGH,PROGRESS,57.652,63.439,69.4069,0,21.7967,WEAK,18.2217
781,-91,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,large,92.62,0.9133,0.9461,0.9334,0.8898,STRONG_UP,-1.2,23.12,31.15,-14.61,58.63,32.03,2.4753,HIGH,EARLY,94.889,95.4027,95.4731,0,42.3294,WEAK,17.5875
783,-21,BULL,WEBULL CORP CLASS A,Financials,,mid,6.48,0.1825,1.2728,1.1648,0.7794,STRONG_UP,-44.19,-75.39,-41.57,-82.42,43.37,66.18,1.794,HIGH,SHIFT,5.19,5.5924,10.0483,0,-49.4052,WEAK,17.5748
838,-10,TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,large,184.44,0.9296,0.9049,0.8625,0.8723,FLAT,-2.79,25.33,94.68,-17.68,54.62,36.87,1.9852,HIGH,EARLY,195.0485,202.8639,192.5584,0,37.519,WEAK,16.7456
1181,72,AZO,AutoZone,Consumer Discretionary,Automotive Retail,large,3489.29,0.7182,0.985,0.9757,0.9907,FLAT,-13.35,-3.17,18.75,-25.48,49.0,30.17,1.5232,HIGH,PROGRESS,3414.364,3577.127,3777.7965,0,-5.1462,WEAK,10.6041
1371,-48,HOMB,HOME BANCSHARES INC,Financials,,mid,26.74,0.7712,0.9251,0.9661,0.9177,FLAT,-1.15,3.97,26.06,-14.34,49.8,23.54,1.9909,HIGH,EARLY,27.1525,27.8018,27.9917,0,8.4025,WEAK,7.146
1434,38,ABT,Abbott Laboratories,Health Care,Health Care Equipment,large,95.47,0.5517,0.9275,0.8325,0.7652,STRONG_UP,-25.41,-25.62,-6.16,-29.45,48.59,30.12,2.0603,HIGH,EARLY,102.1326,107.5663,121.3436,0,-41.3338,WEAK,5.3863
