rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
3,2,1164.HK,CGN MINING CO LTD,Uranium,large,3.36,1.2418,0.9473,0.8753,0.77,STRONG_UP,-2.89,127.75,21.93,-36.12,49.59,57.34,1.1037,MED,EARLY,3.939,4.0752,3.5357,0,110.4821,WEAK,39.5513
4,0,UEC,URANIUM ENERGY CORP,Uranium,large,13.2,1.3948,0.9508,1.0045,0.898,FLAT,13.89,155.81,75.3,-39.97,50.4,73.42,1.0006,MED,EARLY,14.8275,14.1318,13.6703,0,106.9603,WEAK,39.5073
5,-2,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,5055.0,1.2577,1.0295,1.0764,0.8113,FLAT,0.5,130.66,95.9,-43.75,53.6,66.34,0.5077,LOW,EARLY,5308.5,5317.494,5290.8317,0,105.5717,WEAK,36.6057
6,0,OKLO,OKLO INC,Uranium,large,58.56,0.8037,0.888,0.9897,0.9459,FLAT,-39.98,47.39,654.64,-73.83,48.8,95.87,1.2848,MED,EARLY,70.288,61.474,86.2981,0,24.1251,WEAK,35.0346
10,0,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,172.95,0.9906,0.9543,0.9976,0.9109,FLAT,-30.82,81.67,240.25,-61.35,51.2,78.08,1.0866,MED,EARLY,204.232,198.0598,250.4397,0,53.5542,WEAK,29.9545
12,0,MGA.TO,MEGA URANIUM LTD,Uranium,small,0.69,1.447,0.9877,1.0736,1.2313,STRONG_DOWN,81.58,165.38,68.29,-31.58,40.96,81.63,1.9,HIGH,-,0.7255,0.6606,0.5081,1,82.9861,TREND+LEAD,27.4828
14,2,SLX.AX,SILEX SYSTEMS LTD,Uranium,mid,5.47,0.9747,1.0247,1.0462,0.9203,FLAT,-35.95,78.76,-16.87,-53.38,52.17,76.14,0.4708,LOW,EARLY,5.9665,5.6942,6.582,0,53.9639,WEAK,24.8792
19,5,SMR,NUSCALE POWER CORP,Uranium,mid,10.48,0.233,0.9751,0.9434,0.8034,STRONG_UP,-53.32,-57.26,44.55,-82.86,44.8,93.35,1.1056,MED,EARLY,12.2015,11.5546,23.661,0,-27.4796,WEAK,20.581
20,3,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.655,0.7427,1.0352,0.9673,0.7833,STRONG_UP,3.76,36.21,-3.5,-44.5,47.83,71.8,0.8768,LOW,EARLY,1.8452,1.8476,1.9335,0,24.1242,WEAK,17.8182
25,0,7011.T,MITSUBISHI HEAVY INDUSTRIES,Uranium,large,4102.0,0.7716,1.0651,0.9945,0.8768,STRONG_UP,-10.92,41.51,209.24,-21.24,47.52,46.08,0.8414,LOW,EARLY,4484.45,4603.017,4244.1493,0,42.8102,WEAK,16.8294
29,-1,BOE.AX,BOSS ENERGY LTD,Uranium,mid,1.27,0.1934,0.9779,0.873,0.8667,STRONG_UP,-24.4,-64.53,-78.29,-74.73,42.29,74.46,0.6568,LOW,EARLY,1.4625,1.5348,1.6962,0,-36.6474,WEAK,14.6289
30,0,YCA.L,YELLOW CAKE PLC,Uranium,mid,555.0,0.6533,1.0638,1.0349,0.9697,STRONG_UP,6.12,19.82,-20.37,-23.13,46.83,31.5,1.179,MED,EARLY,594.05,596.36,576.158,0,29.4637,WEAK,14.3793
40,-3,GLO.TO,GLOBAL ATOMIC CORP,Uranium,small,0.71,0.4609,0.9551,0.9732,1.1201,STRONG_DOWN,42.0,-15.48,-70.66,-56.6,41.37,66.04,2.0909,HIGH,-,0.7925,0.8098,0.6942,1,-9.6949,TREND_ONLY,10.7061
