rank,delta_rank,ticker,name,sector,industry,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
177,2,EYE,NATIONAL VISION HOLDINGS INC,Consumer Discretionary,,mid,23.69,1.691,0.9111,0.8443,0.9484,FLAT,-19.04,109.0,14.72,-19.77,52.0,49.79,2.056,HIGH,EARLY,26.6325,27.004,26.024,0,113.8367,WEAK,33.7198
365,4,EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,large,69.12,0.9764,0.994,0.7469,0.6747,STRONG_UP,-21.6,20.68,-50.98,-43.62,52.8,61.94,1.7335,HIGH,EARLY,80.949,98.0561,94.3609,0,17.6249,WEAK,24.8421
396,5,VRDN,VIRIDIAN THERAPEUTICS ORS INC,Health Care,,mid,18.84,1.205,0.665,0.6756,0.6379,FLAT,-11.22,48.93,15.87,-45.15,49.2,75.97,1.7345,HIGH,EARLY,26.382,28.7174,24.454,0,31.6901,WEAK,23.7278
401,6,BOOT,BOOT BARN HOLDINGS INC,Consumer Discretionary,,mid,135.16,1.1186,0.8757,0.7579,0.7523,STRONG_UP,-20.43,38.26,37.57,-35.01,49.6,45.7,1.7841,HIGH,EARLY,158.181,176.5692,178.6085,0,41.5218,WEAK,23.602
496,4,ROAD,CONSTRUCTION PARTNERS INC CLASS A,Industrials,,mid,105.89,1.2013,0.9389,0.8732,0.9808,FLAT,-16.39,48.47,82.95,-26.55,51.2,53.7,1.5931,HIGH,EARLY,113.8277,121.1643,114.978,0,46.2151,WEAK,20.8053
746,7,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",large,44.19,0.6594,0.8317,0.7891,0.7303,STRONG_UP,-39.97,-18.5,-48.92,-43.21,46.0,42.03,3.4377,HIGH,EARLY,52.906,58.6721,65.7352,0,-20.2449,WEAK,16.0831
1115,6,CALM,CAL MAINE FOODS INC,Consumer Staples,,mid,78.1,0.7383,0.9791,0.9056,1.0429,FLAT,-13.56,-8.75,46.58,-37.0,52.0,32.51,1.5613,HIGH,EARLY,82.8255,83.4839,90.9426,0,-13.996,WEAK,9.6644
1203,6,CCI,Crown Castle,Real Estate,Telecom Tower REITs,large,84.78,0.6709,1.043,0.9869,1.0054,FLAT,-9.01,-17.08,-7.59,-30.0,51.6,36.48,1.7617,HIGH,PROGRESS,83.6095,84.9038,91.3226,0,-24.1556,WEAK,8.3782
1254,5,VRRM,VERRA MOBILITY CORP CLASS A,Industrials,,mid,14.52,0.504,1.0114,0.9117,0.6755,STRONG_UP,-40.07,-37.71,-40.2,-45.89,41.2,38.39,1.7381,HIGH,EARLY,14.8275,17.0392,22.066,0,-40.4693,WEAK,7.6277
1256,5,CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials,,mid,87.18,0.6135,1.1243,0.9266,0.9181,STRONG_UP,-3.77,-24.18,-7.53,-37.72,49.6,41.23,2.435,HIGH,PROGRESS,83.963,93.7698,97.2242,0,-29.0865,WEAK,7.5878
1494,8,PBH,PRESTIGE CONSUMER HEALTHCARE INC,Health Care,,mid,52.48,0.5022,0.8568,0.8004,0.8905,FLAT,-16.49,-37.93,-24.41,-41.09,46.8,32.09,3.2708,HIGH,EARLY,61.2705,64.6648,65.9194,0,-55.3174,WEAK,1.7378
