rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
3,1,UEC,URANIUM ENERGY CORP,Uranium,large,13.44,1.3334,1.0096,1.0049,0.9559,STRONG_UP,11.17,113.0,79.44,-40.86,50.0,76.74,0.713,LOW,EARLY,14.2905,14.0226,13.7731,0,73.6221,WEAK,30.6184
4,1,1164.HK,CGN MINING CO LTD,Uranium,large,3.27,1.1537,0.9666,0.8417,0.7154,STRONG_UP,9.36,84.29,18.67,-38.59,48.57,54.42,0.5057,LOW,EARLY,3.6715,3.9302,3.5697,0,75.2305,WEAK,29.9745
6,0,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,4925.0,1.123,0.9744,1.0014,0.8271,FLAT,-5.85,79.39,106.37,-43.75,52.61,68.03,0.9737,LOW,EARLY,5123.3,5195.6361,5318.1738,0,61.3976,WEAK,28.4609
9,2,SLX.AX,SILEX SYSTEMS LTD,Uranium,mid,6.49,1.1413,1.106,1.1446,1.0274,FLAT,-19.58,82.3,7.27,-53.38,52.96,74.9,0.7513,LOW,SHIFT,5.834,5.722,6.6419,0,58.1947,WEAK,26.5606
10,3,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,180.13,0.8828,1.0189,0.9473,0.934,STRONG_UP,-27.9,41.01,253.4,-61.35,52.0,78.11,1.0506,MED,EARLY,194.077,194.5386,249.118,0,27.3035,WEAK,25.5498
15,3,URC.TO,URANIUM ROYALTY CORP,Uranium,mid,4.93,0.9526,0.9857,1.0554,0.9018,FLAT,-4.83,52.16,29.74,-38.43,50.0,61.57,1.075,MED,EARLY,5.19,5.0588,5.2877,0,42.3587,WEAK,20.7094
17,-1,NNE,NANO NUCLEAR ENERGY INC,Uranium,mid,27.36,0.5363,1.0779,1.2476,1.0797,FLAT,-9.67,-14.34,398.36,-66.45,47.2,100.78,1.1378,MED,SHIFT,25.6233,23.7564,31.6998,0,-6.7158,WEAK,19.0065
18,1,SMR,NUSCALE POWER CORP,Uranium,mid,12.07,0.2136,1.1126,1.104,0.9905,STRONG_UP,-39.47,-65.88,27.32,-82.86,44.8,93.47,0.8001,LOW,SHIFT,11.8555,11.462,22.6838,0,-31.5738,WEAK,17.755
21,0,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.65,0.7431,1.0195,0.9078,0.6837,STRONG_UP,3.45,18.71,1.85,-46.91,48.22,70.5,0.6495,LOW,EARLY,1.7127,1.7943,1.9355,0,12.7937,WEAK,16.3699
26,0,BOE.AX,BOSS ENERGY LTD,Uranium,mid,1.3,0.1971,1.0332,0.9156,0.8365,STRONG_UP,-15.58,-68.52,-72.69,-74.73,41.9,73.35,0.7766,LOW,EARLY,1.3415,1.4918,1.6788,0,-39.1427,WEAK,14.1618
28,-3,7011.T,MITSUBISHI HEAVY INDUSTRIES,Uranium,large,3898.0,0.7516,0.9432,0.8865,0.8613,STRONG_UP,-7.37,20.06,191.81,-24.75,46.69,45.21,0.7696,LOW,EARLY,4286.15,4502.9672,4264.1861,0,20.721,WEAK,14.0322
32,-3,YCA.L,YELLOW CAKE PLC,Uranium,mid,575.5,0.7444,0.9773,1.0379,0.973,FLAT,11.1,18.9,-13.52,-23.13,47.62,30.95,0.6148,LOW,EARLY,583.3,591.09,578.28,0,29.0874,WEAK,11.9775
