rank,delta_rank,ticker,name,sector,industry,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
142,119,KTOS,KRATOS DEFENSE AND SECURITY SOLUTI,Industrials,,large,64.13,1.3391,1.1252,0.9663,0.6396,STRONG_UP,-15.36,73.84,196.62,-60.15,55.2,73.9,2.2157,HIGH,PROGRESS,57.5615,65.9208,80.6252,0,55.156,WEAK,41.7324
213,126,BTU,PEABODY ENERGY CORP,Energy,,mid,27.05,1.6024,1.086,0.9669,0.7301,STRONG_UP,0.8,108.02,17.28,-40.67,50.4,64.42,1.8035,HIGH,PROGRESS,24.9764,28.5011,28.7206,0,84.5123,WEAK,35.2435
214,83,INSM,Insmed Incorporated,Health Care,Biotechnology,large,106.91,1.181,0.9919,0.745,0.6611,STRONG_UP,-47.72,53.32,87.63,-52.06,54.0,68.41,1.5819,HIGH,EARLY,114.379,134.5114,155.8765,0,42.0885,WEAK,35.1945
216,197,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,large,94.3,1.0981,1.2622,1.2291,1.0831,STRONG_UP,-26.44,42.55,331.78,-57.26,53.2,71.45,2.18,HIGH,SHIFT,77.9665,76.7815,103.9105,0,31.6853,WEAK,35.1376
296,78,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,large,308.17,1.0775,0.9474,0.8037,0.6146,STRONG_UP,-1.21,39.88,28.04,-32.08,56.4,36.53,1.7168,HIGH,EARLY,326.546,363.5542,343.201,0,61.5793,WEAK,30.6585
344,182,TEAM,Atlassian,Technology,Computer Software,large,107.61,0.3992,1.2417,1.4905,1.3194,FLAT,-27.31,-48.17,-32.91,-74.13,46.0,92.72,1.8569,HIGH,SHIFT,88.6593,76.1163,125.0115,0,-23.8991,WEAK,27.6534
359,32,AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,,mid,15.8,1.1466,0.9421,0.8617,0.6397,STRONG_UP,-21.13,48.85,-24.27,-46.69,48.8,58.84,3.1283,HIGH,EARLY,16.288,17.1058,19.2599,0,40.5124,WEAK,27.2722
395,-296,PLAB,PHOTRONICS INC,Information Technology,,mid,32.35,1.4913,0.6196,0.6211,0.7926,STRONG_DOWN,42.45,93.6,19.33,-41.14,52.4,98.68,5.1957,HIGH,EARLY,49.3765,46.3538,32.957,0,49.7007,WEAK,25.4986
430,178,TTD,Trade Desk (The),Communication Services,Advertising,large,21.56,0.2208,0.9496,0.8683,0.8022,STRONG_UP,-44.87,-71.34,-76.99,-77.62,47.2,66.38,2.3442,HIGH,EARLY,22.1765,22.332,36.0528,0,-50.725,WEAK,24.2986
434,240,AVAV,AEROVIRONMENT INC,Industrials,,mid,207.24,0.8967,1.1724,1.0095,0.9002,STRONG_UP,-25.77,16.41,3.39,-61.45,49.2,79.16,1.6208,HIGH,SHIFT,173.522,185.452,262.3711,0,10.1976,WEAK,24.2354
