rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
14,0,RSG.AX,Resolute Mining Limited,Gold,mid,1.135,1.31,1.0122,1.0579,1.1171,STRONG_DOWN,3.18,99.12,110.19,-31.25,51.59,67.11,1.6242,HIGH,EARLY,1.2676,1.3207,1.1903,0,76.1995,WEAK,28.08
15,2,DTR.AX,Dateline Resources Limited,Gold,mid,0.155,1.0197,0.9913,0.7765,0.608,STRONG_UP,-35.42,55.0,1450.0,-76.15,45.63,96.08,0.5022,LOW,EARLY,0.1892,0.277,0.3197,0,26.1204,WEAK,27.6708
20,3,TOK.AX,Tolu Minerals Limited,Gold,small,1.65,1.277,1.2914,1.3315,1.5883,STRONG_DOWN,36.93,94.12,230.0,-33.13,46.03,56.83,10.2427,HIGH,-,1.4353,1.4672,1.3301,1,76.2315,TREND+LEAD,26.08
23,-5,WGX.AX,Westgold Resources Limited,Gold,large,4.89,1.0262,1.0586,1.0499,1.028,STRONG_UP,-16.55,55.99,116.32,-39.5,51.59,62.62,0.8673,LOW,EARLY,5.2135,5.7084,5.7741,0,46.1318,WEAK,24.9896
25,9,ORP.AX,Orpheus Uranium Limited,Gold,small,0.072,1.6333,1.2028,1.2546,1.6035,STRONG_DOWN,56.52,148.28,-15.29,-30.0,34.92,72.78,1.7498,HIGH,-,0.0688,0.0648,0.0548,1,71.1431,TREND+LEAD,24.388
27,8,BM1.AX,Ballard Mining Limited,Gold,small,0.7,1.2446,1.0175,1.079,1.2102,STRONG_DOWN,12.0,89.19,89.19,-43.65,44.3,80.25,2.1834,HIGH,-,0.743,0.7097,0.675,1,49.2347,TREND+LEAD,22.4144
36,8,VAU.AX,Vault Minerals Limited,Gold,mid,4.14,1.0116,1.0903,1.0591,1.0836,FLAT,-14.33,53.76,46.77,-41.81,51.19,61.15,0.3164,LOW,EARLY,4.4195,4.4872,4.7645,0,45.0062,WEAK,20.9441
37,-10,SBM.AX,St Barbara Limited,Gold,mid,0.565,1.0932,1.0718,1.0532,1.024,STRONG_UP,3.67,66.18,145.65,-39.53,43.65,67.63,0.5178,LOW,EARLY,0.6022,0.634,0.5939,0,42.7119,WEAK,20.7923
43,18,RMS.AX,Ramelius Resources Limited,Gold,large,3.05,0.7347,1.0536,1.0418,0.9752,STRONG_UP,-13.45,11.67,74.36,-39.03,47.62,58.55,1.3708,MED,EARLY,3.2935,3.5572,3.8067,0,9.4941,WEAK,19.0337
44,2,EVN.AX,Evolution Mining Limited,Gold,large,11.73,0.926,1.0562,1.0807,1.1072,STRONG_DOWN,1.4,40.76,227.59,-34.92,53.17,62.71,0.4886,LOW,EARLY,12.3745,12.7716,12.2391,0,34.5584,WEAK,18.517
46,39,PEC.AX,Perpetual Resources Limited,Gold,small,0.017,0.8947,1.3591,1.7033,2.0307,STRONG_DOWN,78.95,36.0,13.33,-70.37,27.78,96.68,6.889,HIGH,-,0.0138,0.0123,0.012,1,10.3442,TREND_ONLY,18.2211
55,-19,NST.AX,Northern Star Resources Limited,Gold,large,19.88,0.6371,1.2021,1.1296,1.0321,STRONG_UP,-23.18,-3.16,51.87,-45.32,51.98,72.37,0.781,LOW,EARLY,20.0105,21.3026,23.9143,0,-2.2671,WEAK,17.2636
57,26,A8G.AX,Australasian Metals Limited,Gold,small,0.1,0.9534,1.1907,1.4145,1.6024,STRONG_DOWN,25.0,44.93,25.0,-58.71,19.84,53.91,1.8811,HIGH,-,0.0891,0.0795,0.0879,1,16.5343,TREND_ONLY,16.9697
62,-9,RRL.AX,Regis Resources Limited,Gold,mid,5.97,0.838,1.0865,1.0479,1.0125,STRONG_UP,-13.14,27.38,247.86,-39.58,53.57,58.51,0.5254,LOW,EARLY,6.375,6.8164,6.8322,0,25.0687,WEAK,16.6797
64,2,PRU.AX,Perseus Mining Limited,Gold,large,5.01,0.8737,1.0825,1.0913,1.2213,STRONG_DOWN,-7.28,32.81,124.72,-28.47,49.21,44.53,0.4349,LOW,EARLY,5.3,5.4008,5.2193,0,36.2627,WEAK,16.4375
65,-1,PNR.AX,Pantoro Gold Limited,Gold,mid,2.64,0.4934,0.972,0.9364,0.7094,STRONG_UP,-41.46,-25.0,72.55,-59.69,51.19,83.09,1.0725,MED,EARLY,3.1195,3.3804,4.6618,0,-15.402,WEAK,16.2385
68,-20,BGL.AX,Bellevue Gold Limited,Gold,mid,1.385,0.9745,1.0132,1.054,1.1303,STRONG_DOWN,-0.36,48.13,-26.33,-36.93,50.0,72.87,0.7802,LOW,EARLY,1.5442,1.5948,1.4544,0,33.0234,WEAK,15.6386
70,-7,GMD.AX,Genesis Minerals Limited,Gold,large,5.36,0.7836,1.0151,1.0361,1.0819,STRONG_DOWN,-15.86,19.11,195.32,-36.46,51.59,66.59,0.9703,LOW,EARLY,6.038,6.1576,6.3667,0,14.8062,WEAK,15.4238
71,-2,BC8.AX,Black Cat Syndicate Limited,Gold,mid,1.125,0.9194,1.0997,1.1225,1.1504,STRONG_DOWN,10.84,39.75,281.36,-41.51,50.0,79.66,0.4799,LOW,EARLY,1.1402,1.1454,1.2023,0,24.9508,WEAK,15.3919
73,-2,STK.AX,Strickland Metals Limited,Gold,mid,0.105,0.4934,0.9793,0.9018,0.673,STRONG_UP,-40.0,-25.0,-8.7,-59.18,34.52,87.03,0.6399,LOW,EARLY,0.118,0.1616,0.183,0,-9.9161,WEAK,15.3144
75,-16,SMI.AX,Santana Minerals Limited,Gold,mid,0.56,0.599,1.1396,1.0688,0.8606,STRONG_UP,-31.29,-8.94,57.75,-55.56,46.43,61.22,0.2465,LOW,EARLY,0.586,0.6282,0.801,0,-6.7825,WEAK,15.066
86,5,TCG.AX,Turaco Gold Limited,Gold,mid,0.49,0.6646,1.0968,1.0158,0.882,STRONG_UP,-27.41,1.03,139.02,-44.83,46.43,74.98,0.3695,LOW,EARLY,0.531,0.5803,0.6029,0,0.6384,WEAK,13.5406
93,-16,OBM.AX,Ora Banda Mining Ltd,Gold,mid,1.28,0.802,1.0197,1.14,1.3843,STRONG_DOWN,1.99,21.9,276.47,-39.05,49.6,96.53,0.4209,LOW,EARLY,1.3547,1.3461,1.2828,0,11.2553,WEAK,12.1947
107,4,CYL.AX,Catalyst Metals Limited,Gold,mid,5.19,0.5197,1.0858,1.145,1.0224,FLAT,-18.14,-21.0,421.61,-48.55,48.81,75.17,0.6248,LOW,EARLY,5.4205,5.8604,7.0967,0,-13.6389,WEAK,11.0172
