rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
3,5,DML.TO,DENISON MINES CORP,Uranium,mid,4.81,1.3465,1.0197,1.0281,0.896,FLAT,35.11,123.72,45.76,-29.2,52.4,57.46,1.5711,HIGH,-,4.804,4.9458,4.3711,1,112.8259,TREND+LEAD,37.7785
4,1,BHP.AX,BHP GROUP LTD,Uranium,large,62.31,1.0213,0.9997,1.2606,1.1918,FLAT,52.12,69.69,53.84,-18.98,54.94,33.47,3.0593,HIGH,-,59.147,55.5762,47.4189,1,114.3882,TREND+LEAD,36.6276
6,0,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,4941.0,1.0848,1.0194,1.1413,0.8309,FLAT,-2.48,80.24,107.57,-43.75,52.61,67.54,1.6077,HIGH,EARLY,5129.75,5168.6079,5328.0479,0,62.5016,WEAK,35.0321
7,4,CCO.TO,CAMECO CORP,Uranium,large,154.91,1.1628,1.0111,1.0312,1.0021,FLAT,24.45,93.19,107.57,-24.86,53.6,54.19,2.2626,HIGH,-,154.28,156.0252,139.1344,1,92.1775,TREND+LEAD,34.4171
8,-5,UEC,URANIUM ENERGY CORP,Uranium,large,13.77,1.3976,1.0201,1.0279,0.9779,FLAT,13.99,132.21,89.41,-40.86,50.8,76.78,0.8922,LOW,EARLY,14.2415,14.0186,13.8097,0,87.4736,WEAK,32.288
9,-5,1164.HK,CGN MINING CO LTD,Uranium,large,3.21,1.1269,0.9382,0.8832,0.6986,STRONG_UP,6.64,87.22,14.42,-38.97,48.57,54.12,0.595,LOW,EARLY,3.595,3.8866,3.5814,0,78.2764,WEAK,30.6701
12,-3,SLX.AX,SILEX SYSTEMS LTD,Uranium,mid,6.17,1.0316,0.9693,1.2032,0.993,FLAT,-26.37,71.39,0.82,-53.38,52.96,75.55,0.905,LOW,SHIFT,5.8815,5.7548,6.6636,0,50.0431,WEAK,25.054
14,-4,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,182.47,0.8653,0.9813,0.9614,0.9756,FLAT,-28.22,43.77,259.41,-61.35,52.0,78.02,0.6879,LOW,EARLY,192.3265,193.456,248.7753,0,29.171,WEAK,22.4408
15,0,URC.TO,URANIUM ROYALTY CORP,Uranium,mid,4.87,0.9642,0.9848,1.0213,0.9102,FLAT,-6.35,60.2,31.98,-38.43,50.4,61.5,1.1794,MED,EARLY,5.1615,5.0528,5.3006,0,49.3325,WEAK,22.1403
18,-1,NNE,NANO NUCLEAR ENERGY INC,Uranium,mid,28.88,0.5769,1.0421,1.373,1.1649,FLAT,-6.36,-4.15,230.06,-66.45,48.0,100.75,1.2968,MED,SHIFT,26.2097,24.0486,31.6277,0,-1.9765,WEAK,20.0031
19,-1,SMR,NUSCALE POWER CORP,Uranium,mid,12.67,0.2384,1.072,1.1302,1.0797,FLAT,-33.46,-60.39,45.46,-82.86,45.6,93.49,1.4924,MED,SHIFT,11.9095,11.4698,22.426,0,-29.4573,WEAK,19.181
21,2,8001.T,ITOCHU CORP,Uranium,large,1935.5,0.7696,0.9569,1.117,0.9894,FLAT,9.0,27.86,41.96,-14.73,53.31,31.44,2.6127,HIGH,-,1979.475,1997.1753,1876.952,1,47.2474,TREND_ONLY,18.6846
24,-3,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.58,0.707,0.9098,0.9676,0.6656,FLAT,-0.32,17.47,-2.17,-46.91,48.22,70.26,0.7619,LOW,EARLY,1.692,1.789,1.9366,0,11.9913,WEAK,15.321
25,3,7011.T,MITSUBISHI HEAVY INDUSTRIES,Uranium,large,3806.0,0.6875,0.9394,0.9022,0.8932,STRONG_UP,-2.88,14.22,190.92,-26.57,46.28,45.05,1.3445,MED,EARLY,4195.3,4465.1883,4267.0017,0,14.6111,WEAK,15.0699
26,6,YCA.L,YELLOW CAKE PLC,Uranium,mid,569.0,0.7114,0.9595,1.0729,0.9934,FLAT,8.9,18.2,-12.53,-23.13,47.62,30.81,1.9191,HIGH,EARLY,581.525,590.0,578.995,0,28.1252,WEAK,14.4243
29,-3,BOE.AX,BOSS ENERGY LTD,Uranium,mid,1.28,0.1941,0.9497,0.9984,0.7843,FLAT,-18.21,-67.76,-72.05,-74.73,42.29,73.12,0.3344,LOW,EARLY,1.3283,1.4782,1.6744,0,-39.1889,WEAK,13.2598
30,-8,BMN.AX,BANNERMAN ENERGY LTD,Uranium,mid,3.56,0.7492,0.9231,0.9489,0.808,FLAT,21.5,24.48,-19.46,-34.17,47.83,75.26,0.7974,LOW,EARLY,3.8175,3.92,3.638,0,15.5549,WEAK,12.5444
