rank,delta_rank,ticker,name,sector,industry,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
82,11,OKLO,OKLO INC CLASS A,Utilities,,mid,76.46,2.3986,1.1472,1.2826,0.8465,FLAT,-36.35,214.39,470.6,-73.83,50.8,96.47,3.1374,HIGH,SHIFT,56.1735,59.6432,85.9715,0,112.8961,WEAK,51.8032
86,68,LEU,CENTRUS ENERGY CORP CLASS A,Energy,,mid,219.58,2.4367,1.0809,1.0534,0.7193,STRONG_UP,-30.25,219.39,438.45,-61.35,52.4,92.36,1.8188,HIGH,SHIFT,190.7785,197.6734,252.0675,0,124.4693,WEAK,51.3705
360,-82,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,large,51.95,1.1051,0.9034,0.8891,0.8451,STRONG_UP,3.58,44.85,17.94,-25.33,55.2,41.88,2.1904,HIGH,EARLY,54.684,55.108,56.6744,0,59.1191,WEAK,27.156
372,-116,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,large,217.73,1.1702,0.8867,0.9612,0.9466,FLAT,-4.67,53.38,59.95,-21.11,59.6,45.75,2.0082,HIGH,EARLY,222.674,218.5556,218.7035,0,69.5423,WEAK,26.5782
396,-123,EXTR,EXTREME NETWORKS INC,Information Technology,,mid,16.9,1.044,0.9417,1.0135,1.1116,STRONG_DOWN,-17.56,36.84,51.57,-39.87,54.4,36.44,2.7303,HIGH,SHIFT,16.6795,15.327,17.6875,0,55.0003,WEAK,26.0177
418,56,SMR,NUSCALE POWER CORP CLASS A,Industrials,,mid,12.72,0.586,1.0079,1.0088,0.6242,FLAT,-63.36,-23.19,131.27,-82.86,47.6,99.69,2.4903,HIGH,SHIFT,10.842,11.9888,26.5223,0,-11.072,WEAK,25.3295
550,405,NOC,Northrop Grumman,Industrials,Aerospace & Defense,large,587.66,0.9837,0.8855,0.7882,0.85,FLAT,-0.76,28.94,27.98,-23.48,52.0,31.03,1.5715,HIGH,EARLY,669.2915,700.9359,615.6604,0,48.5051,WEAK,21.7017
639,348,HRI,HERC HOLDINGS INC,Industrials,,mid,121.46,0.8487,1.105,1.0552,0.7414,STRONG_UP,-5.58,11.25,-18.04,-49.5,47.6,69.55,2.2205,HIGH,SHIFT,102.7285,119.6241,132.4526,0,7.6978,WEAK,19.7016
708,125,CHTR,Charter Communications,Communication Services,Cable & Satellite,large,241.78,0.5501,1.0242,1.024,1.2237,FLAT,-1.29,-27.9,-8.66,-57.21,50.4,42.45,1.8536,HIGH,SHIFT,226.1825,226.2192,242.6686,0,-33.1226,WEAK,18.3171
783,-34,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,large,466.7,0.8376,0.8884,0.8817,0.7241,STRONG_UP,-17.58,9.79,-18.64,-27.31,50.0,33.2,2.5606,HIGH,EARLY,502.225,500.2256,524.6083,0,14.7395,WEAK,16.9522
791,122,CBRE,CBRE Group,Real Estate,Real Estate Services,large,149.31,0.927,0.9878,1.0273,0.856,FLAT,-8.83,21.51,72.08,-23.22,53.2,42.79,1.8438,HIGH,SHIFT,142.5865,141.1082,154.1944,0,26.7415,WEAK,16.7798
792,79,WDAY,"Workday, Inc.",Information Technology,Application Software,large,114.67,0.3693,0.9282,0.8367,0.5878,STRONG_UP,-52.78,-51.59,-55.16,-59.05,51.6,55.0,1.5118,HIGH,EARLY,124.154,132.4712,198.9685,0,-48.4003,WEAK,16.7745
827,199,LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",large,141.66,0.3993,0.8489,0.8275,0.7193,STRONG_UP,-20.55,-47.66,-61.15,-57.74,49.2,47.97,4.6003,HIGH,EARLY,158.225,166.1336,183.5307,0,-48.8794,WEAK,16.0836
848,164,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,large,153.41,0.8641,1.0134,0.9788,0.8839,STRONG_UP,-6.95,13.26,23.63,-19.64,55.2,30.27,2.1319,HIGH,SHIFT,147.8815,149.9176,160.0435,0,24.1792,WEAK,15.7266
881,162,IBM,IBM,Information Technology,IT Consulting & Other Services,large,231.08,0.7879,0.9138,0.8875,0.771,STRONG_UP,-18.72,3.27,32.97,-28.69,55.6,47.0,3.5425,HIGH,EARLY,243.5065,246.916,272.3819,0,3.8659,WEAK,15.2001
890,-419,CALX,CALIX NETWORKS INC,Information Technology,,mid,42.69,0.834,0.8533,0.7502,0.7643,FLAT,-28.03,9.32,51.12,-37.66,54.0,55.39,1.6704,HIGH,EARLY,48.4985,50.6832,55.6016,0,9.0875,WEAK,15.0621
918,49,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,large,88.92,0.8651,0.9659,0.8679,0.8472,STRONG_UP,-5.13,13.4,21.4,-16.78,57.6,31.71,1.5722,HIGH,EARLY,94.0595,94.2498,95.4911,0,24.334,WEAK,14.5292
957,291,BSX,Boston Scientific,Health Care,Health Care Equipment,large,65.69,0.4955,1.0252,0.8728,0.6889,STRONG_UP,-36.75,-35.05,-9.9,-44.96,48.0,50.41,1.8109,HIGH,PROGRESS,63.5125,68.9188,91.3428,0,-33.3747,WEAK,13.9137
962,-22,FRSH,FRESHWORKS INC CLASS A,Information Technology,,mid,8.26,0.462,0.9695,0.9669,0.6769,STRONG_UP,-27.45,-39.44,-55.4,-56.95,46.0,62.51,1.5812,HIGH,SHIFT,8.198,7.9873,11.1885,0,-29.0253,WEAK,13.8404
981,116,STNE,STONECO LTD CLASS A,Financials,,mid,14.55,0.8265,0.9659,0.9394,0.8828,STRONG_UP,-19.97,8.34,-8.09,-31.4,48.4,58.89,1.6234,HIGH,PROGRESS,14.4465,14.9224,15.8903,0,6.854,WEAK,13.539
1019,164,ADBE,Adobe Inc.,Information Technology,Application Software,large,238.98,0.5052,0.98,0.9339,0.7701,STRONG_UP,-32.51,-33.78,-49.91,-46.43,49.6,41.46,1.6047,HIGH,EARLY,241.3575,252.4804,317.9067,0,-40.417,WEAK,13.0344
1023,133,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,large,38.17,0.6046,0.8501,0.77,0.6802,STRONG_UP,-29.77,-20.76,-23.58,-38.53,48.4,39.99,1.5751,HIGH,EARLY,44.058,47.7527,53.3877,0,-25.1207,WEAK,12.9677
1028,122,CDW,CDW Corporation,Information Technology,Technology Distributors,large,136.47,0.6661,1.0212,1.0431,1.0561,STRONG_DOWN,-11.89,-12.7,-41.64,-39.49,50.8,36.5,1.5973,HIGH,SHIFT,128.2195,124.5794,144.9499,0,-17.6706,WEAK,12.891
1076,-35,HAE,HAEMONETICS CORP,Health Care,,mid,59.62,0.7346,0.9699,0.9883,0.8405,FLAT,16.13,-3.71,-30.85,-39.02,51.6,33.28,1.8646,HIGH,PROGRESS,58.6385,59.9014,64.0287,0,-5.7592,WEAK,12.1608
1088,240,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,large,56.99,0.7932,1.0387,0.988,0.8816,STRONG_UP,1.13,3.97,36.26,-19.79,53.2,29.74,1.6798,HIGH,SHIFT,54.347,56.3828,57.88,0,7.0995,WEAK,11.9722
1089,81,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,mid,120.77,0.583,0.9217,0.8402,0.537,STRONG_UP,-22.82,-23.58,-50.71,-45.45,53.6,59.46,1.8141,HIGH,EARLY,130.823,137.9716,167.5757,0,-21.2541,WEAK,11.9085
1094,-26,CRM,Salesforce,Information Technology,Application Software,large,173.3,0.5032,0.9537,0.8852,0.7391,STRONG_UP,-32.2,-34.04,-36.42,-42.92,51.2,44.7,1.608,HIGH,EARLY,180.3841,186.9926,230.1268,0,-38.9911,WEAK,11.8202
1169,92,MTH,MERITAGE CORP,Consumer Discretionary,,mid,69.9,0.7941,1.0293,1.0522,0.949,FLAT,0.27,4.09,-5.49,-27.68,47.2,37.65,1.6611,HIGH,SHIFT,64.858,67.7203,70.1899,0,5.1283,WEAK,10.7998
1208,-249,EFX,Equifax,Industrials,Research & Consulting Services,large,174.93,0.5236,0.8936,0.9399,0.8114,FLAT,-23.77,-31.37,-21.33,-39.04,50.0,46.91,1.7129,HIGH,EARLY,183.2425,188.8423,218.4231,0,-33.4404,WEAK,10.2327
1231,-182,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,large,178.57,0.6981,0.9191,0.8865,0.7388,STRONG_UP,-17.84,-8.5,-27.86,-26.07,50.8,29.47,2.3225,HIGH,EARLY,191.0145,196.7994,208.6477,0,-14.6495,WEAK,9.8693
1278,38,RVTY,Revvity,Health Care,Health Care Equipment,mid,87.15,0.7009,0.9297,0.9206,0.7249,STRONG_UP,-8.79,-8.13,-14.66,-28.75,50.0,39.71,2.2289,HIGH,EARLY,89.8628,91.6737,94.6164,0,-10.231,WEAK,8.8509
1284,123,POOL,Pool Corporation,Consumer Discretionary,Distributors,mid,228.68,0.6157,1.0071,1.0487,0.8422,FLAT,-22.32,-19.29,-37.42,-39.78,44.4,39.78,1.5162,HIGH,SHIFT,214.6465,218.1037,263.14,0,-21.5343,WEAK,8.7934
1298,-73,TDG,TransDigm Group,Industrials,Aerospace & Defense,large,1165.76,0.6948,0.9231,0.9346,0.797,FLAT,-11.29,-8.93,5.95,-25.3,54.0,34.29,1.6099,HIGH,EARLY,1203.408,1241.5994,1317.8493,0,-14.0557,WEAK,8.5945
1364,1,ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,,mid,202.01,0.6957,0.9577,0.965,0.8234,FLAT,-18.81,-8.81,-8.82,-30.41,49.6,30.2,1.5512,HIGH,PROGRESS,201.228,205.5732,230.8986,0,-14.4718,WEAK,7.3583
1409,-100,HOMB,HOME BANCSHARES INC,Financials,,mid,26.82,0.7567,0.9998,0.9341,0.9243,STRONG_UP,0.65,-0.82,14.35,-14.34,49.6,22.56,1.5788,HIGH,EARLY,27.2755,27.4908,27.9406,0,-1.7921,WEAK,5.98
