rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
4,0,URG,UR-ENERGY INC,Uranium,mid,2.1,1.5166,1.2097,1.2164,1.3213,STRONG_DOWN,61.54,159.26,22.81,-45.71,48.8,81.18,4.7911,HIGH,-,1.7115,1.6444,1.5687,1,95.736,TREND+LEAD,38.4838
5,4,CCO.TO,CAMECO CORP,Uranium,large,166.86,1.1947,1.0536,1.0611,1.0049,FLAT,36.18,104.23,127.07,-24.86,54.0,52.94,1.5731,HIGH,-,154.171,156.7482,139.7073,1,106.3182,TREND+LEAD,37.581
6,1,OKLO,OKLO INC,Uranium,large,73.47,0.8635,1.0172,1.0981,1.1055,STRONG_DOWN,-15.9,47.62,690.85,-73.83,50.0,98.72,1.8708,HIGH,SHIFT,68.153,62.9104,85.7488,0,24.1182,WEAK,37.4507
9,-3,1164.HK,CGN MINING CO LTD,Uranium,large,3.28,1.1595,0.9418,0.8303,0.6599,STRONG_UP,16.73,98.22,8.82,-38.97,48.57,54.13,0.566,LOW,EARLY,3.5275,3.854,3.5927,0,88.1297,WEAK,32.4833
11,5,URC.TO,URANIUM ROYALTY CORP,Uranium,mid,5.34,1.0378,1.0171,1.0549,0.9437,FLAT,2.3,77.41,50.85,-38.43,50.8,61.4,1.8039,HIGH,-,5.158,5.0716,5.3156,1,64.0449,TREND+LEAD,29.8712
12,0,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,199.13,0.8861,1.038,0.9867,0.9686,STRONG_UP,-20.78,51.49,322.87,-61.35,52.4,78.21,1.5942,HIGH,SHIFT,191.055,193.3816,248.8333,0,34.496,WEAK,29.7376
13,-2,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,4670.0,0.9832,0.8904,0.9694,0.6592,FLAT,-11.2,68.08,101.25,-43.75,52.21,67.36,1.0667,MED,EARLY,5111.95,5134.44,5337.2418,0,52.7719,WEAK,28.8488
14,1,SASK.V,ATHA ENERGY CORP,Uranium,small,1.2,1.4181,1.0731,1.1945,1.3319,STRONG_DOWN,96.72,142.42,60.0,-40.43,44.4,83.79,1.9888,HIGH,-,1.0595,0.9568,0.7796,1,75.4701,TREND+LEAD,27.7131
17,2,MGA.TO,MEGA URANIUM LTD,Uranium,small,0.72,1.4523,1.0243,1.0253,1.0459,STRONG_DOWN,89.47,148.28,84.62,-31.58,41.6,83.14,1.7789,HIGH,-,0.688,0.6706,0.5289,1,74.1914,TREND+LEAD,25.4797
19,2,SMR,NUSCALE POWER CORP,Uranium,mid,13.95,0.2567,1.0852,1.1743,1.0989,FLAT,-22.84,-56.12,82.83,-82.86,46.0,94.5,1.9769,HIGH,SHIFT,12.0355,11.538,22.1941,0,-27.3168,WEAK,21.5932
20,-3,NNE,NANO NUCLEAR ENERGY INC,Uranium,mid,30.57,0.6128,1.0491,1.344,1.1456,FLAT,-3.04,4.76,377.66,-66.45,48.4,100.05,1.4482,MED,SHIFT,26.8868,24.4118,31.5726,0,2.3044,WEAK,20.8989
23,1,8001.T,ITOCHU CORP,Uranium,large,1857.5,0.7388,0.9049,0.9827,0.817,FLAT,3.65,26.3,29.52,-17.29,53.31,31.84,1.0781,MED,EARLY,1971.5,1990.8691,1880.2183,0,44.0371,WEAK,16.3617
24,-1,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.51,0.6955,0.8593,0.8601,0.5919,FLAT,-6.21,18.9,-8.76,-48.11,48.62,70.64,0.8572,LOW,EARLY,1.6655,1.784,1.9371,0,13.0068,WEAK,15.8365
25,1,7011.T,MITSUBISHI HEAVY INDUSTRIES,Uranium,large,3516.0,0.615,0.847,0.7811,0.6947,STRONG_UP,-8.53,5.14,156.96,-32.13,45.87,45.57,1.3838,MED,EARLY,4082.3,4415.3178,4266.8116,0,5.177,WEAK,15.3667
26,-1,BMN.AX,BANNERMAN ENERGY LTD,Uranium,mid,3.48,0.7376,0.8831,0.8788,0.7849,STRONG_UP,20.0,26.09,-20.0,-34.17,48.22,74.8,1.2954,MED,EARLY,3.766,3.9184,3.6494,0,16.817,WEAK,15.2009
29,-2,BOE.AX,BOSS ENERGY LTD,Uranium,mid,1.255,0.1937,0.9065,0.9531,0.7125,FLAT,-20.57,-66.89,-73.07,-74.73,42.69,69.01,0.6,LOW,EARLY,1.3178,1.4677,1.6702,0,-41.3764,WEAK,12.8728
32,-2,YCA.L,YELLOW CAKE PLC,Uranium,mid,574.0,0.6866,0.9277,0.9703,0.8915,FLAT,9.86,17.38,-9.18,-23.13,47.81,30.31,0.8248,LOW,EARLY,579.9,589.44,579.368,0,27.4184,WEAK,11.6733
