rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
3,0,A1G.AX,African Gold Limited,Gold,small,1.04,5.1428,1.0649,1.1902,1.519,STRONG_DOWN,181.08,1030.43,2636.84,-37.36,48.0,77.77,2.1299,HIGH,-,0.9048,0.9003,0.5012,1,635.989,TREND+LEAD,154.2987
5,0,TOR.AX,Torque Metals Limited,Gold,small,0.49,3.0124,1.1275,1.3943,1.466,STRONG_DOWN,63.33,562.16,237.93,-36.23,46.8,116.8,1.5737,HIGH,-,0.4408,0.354,0.2912,1,225.2499,TREND+LEAD,61.6139
9,0,DGR.AX,DGR Global Limited,Gold,small,0.032,2.9116,0.9204,1.0868,0.761,FLAT,77.78,540.0,88.24,-40.0,26.0,87.33,1.5978,HIGH,-,0.0323,0.0313,0.0233,1,160.7695,TREND+LEAD,49.0313
13,0,USL.AX,Unico Silver Limited,Gold,small,0.685,1.5582,1.1072,0.8637,0.6688,STRONG_UP,7.03,242.5,291.43,-50.88,46.0,100.58,1.901,HIGH,-,0.6908,0.8009,0.6341,1,110.9067,TREND+LEAD,40.4661
17,0,TRE.AX,Toubani Resources Inc,Gold,small,0.545,1.3049,1.254,1.3041,1.2797,FLAT,28.24,186.84,354.17,-44.79,43.2,77.37,20.9806,HIGH,-,0.4407,0.4604,0.3845,1,104.3244,TREND+LEAD,36.3025
23,0,ERM.AX,Emmerson Resources Limited,Gold,small,0.41,1.4348,1.0551,1.1212,1.289,STRONG_DOWN,74.47,215.38,736.73,-23.81,43.2,74.87,1.76,HIGH,-,0.379,0.3431,0.2605,1,124.277,TREND+LEAD,35.102
28,0,STN.AX,Saturn Metals Limited,Gold,small,0.565,1.1684,1.2278,1.2657,1.0377,FLAT,-3.42,156.82,189.74,-45.65,48.0,99.96,2.2461,HIGH,-,0.4478,0.4963,0.4921,1,75.3028,TREND+LEAD,30.0276
32,0,SMI.AX,Santana Minerals Limited,Gold,mid,0.73,0.8002,1.0655,0.8989,0.7203,STRONG_UP,-5.19,75.9,65.28,-43.16,48.0,62.46,1.5719,HIGH,EARLY,0.7605,0.885,0.7934,0,58.3313,WEAK,29.0377
50,0,PNR.AX,Pantoro Gold Limited,Gold,mid,3.91,0.735,1.1517,0.8419,0.6921,STRONG_UP,-39.94,61.57,,-52.82,53.6,87.12,0.8673,LOW,PROGRESS,3.488,4.4842,4.7035,0,37.8807,WEAK,22.684
57,0,CY5.AX,Cygnus Metals Limited,Gold,small,0.14,0.8166,1.0531,0.8423,0.6183,STRONG_UP,7.69,79.49,145.61,-52.0,37.6,94.68,1.9848,HIGH,-,0.1375,0.1726,0.1359,1,31.5665,TREND_ONLY,21.348
64,0,CMM.AX,Capricorn Metals Ltd,Gold,mid,12.25,0.6647,1.089,1.0072,0.7688,STRONG_UP,-9.55,46.1,127.81,-41.12,56.0,67.56,0.9186,LOW,PROGRESS,11.2024,12.8929,12.3693,0,38.2126,WEAK,19.5506
90,0,CYL.AX,Catalyst Metals Limited,Gold,mid,6.96,0.5736,1.0803,1.0986,0.8665,FLAT,-8.42,26.09,894.29,-41.6,48.8,82.68,0.922,LOW,PROGRESS,6.323,7.366,7.045,0,15.3972,WEAK,14.5366
131,0,ATM.AX,Aneka Tambang (Persero) Tbk,Gold,large,1.0,0.4835,0.9828,1.0582,1.0722,STRONG_DOWN,-2.44,6.28,0.63,-26.41,20.8,25.07,0.0,LOW,PROGRESS,0.9955,1.0145,1.0186,0,5.2083,WEAK,9.7549
