rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,DTR.AX,Dateline Resources Limited,Gold,mid,0.555,57.0276,1.1104,1.9581,2.4698,STRONG_DOWN,38.75,11000.0,3600.0,-71.54,48.02,118.54,1.8009,HIGH,-,0.4265,0.3754,0.281,1,4456.0487,TREND+LEAD,1053.9671
4,0,TM1.AX,Terra Metals Limited,Gold,small,0.27,6.9358,0.9098,0.8585,2.5669,FLAT,68.75,1250.0,429.41,-46.49,40.87,178.1,1.8159,HIGH,-,0.3152,0.3217,0.1615,1,286.8473,TREND+LEAD,81.4838
8,0,WGX.AX,Westgold Resources Limited,Gold,large,5.62,1.0358,1.0032,0.9267,0.9084,STRONG_UP,33.81,101.61,134.26,-37.64,53.97,60.23,1.9073,HIGH,-,6.451,6.9034,5.0587,1,91.0518,TREND+LEAD,40.9338
10,0,NEM.AX,Newmont Corporation,Gold,large,149.23,1.0292,0.9799,1.1,0.9887,FLAT,18.01,100.32,195.15,-29.94,57.54,59.05,2.2347,HIGH,-,160.7011,167.1962,131.7798,1,97.7565,TREND+LEAD,37.9544
14,0,SBM.AX,St Barbara Limited,Gold,mid,0.57,1.3621,0.9863,0.8687,1.0189,FLAT,12.87,165.12,235.29,-38.37,44.84,83.59,1.5283,HIGH,-,0.7017,0.7074,0.5124,1,88.573,TREND+LEAD,35.5679
16,0,RRL.AX,Regis Resources Limited,Gold,mid,6.4,0.909,0.9664,0.891,0.8852,STRONG_UP,11.8,76.93,242.81,-39.58,55.56,61.03,1.6216,HIGH,-,7.744,7.9399,6.2061,1,70.039,TREND_ONLY,31.6197
19,0,GMD.AX,Genesis Minerals Limited,Gold,large,6.11,0.8461,1.065,1.0793,0.8693,FLAT,10.49,64.69,247.16,-36.46,53.57,65.62,1.6526,HIGH,-,6.6035,7.04,5.8717,1,52.8108,TREND_ONLY,29.6347
22,0,ERM.AX,Emmerson Resources Limited,Gold,small,0.365,1.3395,0.9474,1.2878,1.4137,STRONG_DOWN,48.98,160.71,660.42,-30.0,42.46,74.53,1.6897,HIGH,-,0.372,0.3294,0.2506,1,91.5595,TREND+LEAD,29.0173
34,0,VAU.AX,Vault Minerals Limited,Gold,mid,4.02,0.724,0.9348,0.9129,0.7708,STRONG_UP,-1.25,40.92,71.8,-41.81,50.0,58.06,1.6403,HIGH,EARLY,4.8842,5.3326,4.2953,0,35.2378,WEAK,23.3797
39,6,FFM.AX,FireFly Metals Ltd,Gold,mid,1.685,0.7729,1.034,1.0432,0.8431,FLAT,25.28,50.45,147.79,-39.29,50.4,72.63,1.8092,HIGH,-,1.8055,1.9123,1.563,1,35.0062,TREND_ONLY,22.5434
45,-1,NST.AX,Northern Star Resources Limited,Gold,large,18.8,0.5554,0.9523,0.8032,0.7424,STRONG_UP,-16.35,8.1,42.49,-45.32,55.95,69.79,1.3416,MED,EARLY,24.3692,26.4565,22.9275,0,6.4923,WEAK,21.0184
46,9,CMM.AX,Capricorn Metals Ltd,Gold,mid,10.75,0.683,0.9851,1.0074,0.7775,FLAT,-12.23,32.95,110.44,-41.12,55.56,60.53,1.7427,HIGH,EARLY,12.4953,13.5339,12.3384,0,30.2425,WEAK,20.9791
52,-1,PNR.AX,Pantoro Gold Limited,Gold,mid,3.27,0.5989,0.9103,0.7401,0.6798,STRONG_UP,-41.5,16.58,215.33,-52.82,51.98,82.17,1.3007,MED,EARLY,4.314,4.7952,4.6996,0,10.4868,WEAK,19.5295
56,0,CYL.AX,Catalyst Metals Limited,Gold,mid,6.26,0.6394,0.9904,0.9363,0.8535,STRONG_UP,-18.81,24.45,870.54,-41.6,49.6,75.26,1.5334,HIGH,EARLY,6.999,7.785,7.0331,0,16.1159,WEAK,19.0267
59,0,BC8.AX,Black Cat Syndicate Limited,Gold,mid,0.995,0.643,0.9277,0.8898,0.8425,STRONG_UP,-28.67,25.16,362.79,-41.51,49.6,67.61,1.1562,MED,EARLY,1.267,1.365,1.1249,0,18.4558,WEAK,17.7408
69,0,SMI.AX,Santana Minerals Limited,Gold,mid,0.745,0.6715,0.9292,1.0841,0.8754,FLAT,-8.02,30.7,80.24,-36.32,47.62,57.52,1.405,MED,EARLY,0.8348,0.9539,0.7886,0,25.4176,WEAK,16.5785
70,0,MOH.AX,Moho Resources Limited,Gold,small,0.0075,0.9633,1.029,1.3797,0.8715,FLAT,7.14,87.5,25.0,-57.14,16.27,168.23,1.9236,HIGH,-,0.0072,0.0084,0.0069,1,8.4624,TREND_ONLY,16.0965
78,0,ODY.AX,Odyssey Gold Limited,Gold,small,0.032,0.7148,1.0597,1.1774,0.9296,FLAT,-15.79,39.13,45.45,-44.44,36.51,97.65,2.6494,HIGH,-,0.0358,0.0341,0.0307,1,14.6303,TREND_ONLY,14.6692
95,0,E79.AX,E79 Gold Mines Limited,Gold,small,0.032,0.3736,0.8781,0.9812,1.1952,STRONG_DOWN,28.0,-27.27,-3.03,-61.36,30.56,126.52,1.8567,HIGH,-,0.0354,0.0354,0.0273,1,-6.5875,TREND_ONLY,12.2661
113,0,ATM.AX,Aneka Tambang (Persero) Tbk,Gold,large,0.995,0.5433,0.9604,1.2878,1.2242,FLAT,-1.0,5.75,0.13,-26.41,20.24,28.99,0.0,LOW,PROGRESS,0.995,1.0122,1.016,0,4.0117,WEAK,10.4326
