rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
2,1,DGR.AX,DGR Global Limited,Gold,small,0.03,3.6922,1.2017,1.0641,0.951,STRONG_UP,-14.29,500.0,200.0,-45.24,26.88,70.34,4.664,HIGH,-,0.0266,0.0283,0.0279,1,191.0719,TREND+LEAD,57.7843
4,5,DTR.AX,Dateline Resources Limited,Gold,mid,0.17,1.3242,1.3619,0.9126,0.348,STRONG_UP,-26.09,115.19,1788.89,-82.31,45.85,108.68,1.7353,HIGH,PROGRESS,0.1655,0.2286,0.3155,0,48.5964,WEAK,41.0647
5,3,BCM.AX,Brazilian Critical Minerals Limited,Gold,small,0.047,2.6293,1.0825,1.4145,1.5396,STRONG_DOWN,123.81,327.27,176.47,-50.0,37.15,109.78,2.817,HIGH,-,0.04,0.0354,0.031,1,110.7504,TREND+LEAD,38.3137
8,10,ORP.AX,Orpheus Uranium Limited,Gold,small,0.1,2.1978,1.3161,1.4605,1.6943,STRONG_DOWN,104.08,257.14,25.0,-30.0,35.57,87.39,6.4118,HIGH,-,0.0711,0.0675,0.0566,1,104.6638,TREND+LEAD,32.2487
10,37,VAU.AX,Vault Minerals Limited,Gold,mid,5.06,1.1847,1.1625,1.1769,1.204,STRONG_DOWN,-2.28,92.52,77.37,-41.81,52.57,69.43,2.1011,HIGH,-,4.337,4.5204,4.8037,1,70.0501,TREND+LEAD,31.2937
18,-3,WGX.AX,Westgold Resources Limited,Gold,large,5.2,1.0861,1.0065,1.0433,0.9498,FLAT,-10.96,76.5,124.16,-44.22,52.17,65.49,0.8475,LOW,PROGRESS,5.0355,5.542,5.8353,0,60.9376,WEAK,28.5329
21,-7,RSG.AX,Resolute Mining Limited,Gold,mid,1.16,1.1702,1.0227,0.9681,0.8702,STRONG_UP,4.5,90.16,132.0,-39.33,50.99,68.85,1.2511,MED,EARLY,1.1803,1.2744,1.2068,0,66.775,WEAK,28.0246
30,-6,VTM.AX,Victory Metals Limited,Gold,small,1.54,1.1418,0.9334,1.2588,1.0848,FLAT,30.51,85.54,460.0,-46.36,44.98,71.94,1.5968,HIGH,-,1.449,1.5731,1.3383,1,53.4847,TREND+LEAD,25.037
34,-4,RGL.AX,Riversgold Limited,Gold,small,0.011,1.6923,0.9213,0.8403,0.9008,FLAT,57.14,175.0,83.33,-47.62,27.67,104.64,1.954,HIGH,-,0.0125,0.0136,0.0108,1,46.2753,TREND+LEAD,23.9313
36,-2,GMD.AX,Genesis Minerals Limited,Gold,large,6.22,0.8487,1.0771,1.065,1.1093,FLAT,-3.57,37.92,243.65,-42.99,52.57,71.97,1.1211,MED,SHIFT,5.75,6.0884,6.4066,0,27.6953,WEAK,23.4124
39,19,RMS.AX,Ramelius Resources Limited,Gold,large,3.22,0.7785,0.9856,1.0416,0.8765,FLAT,-11.13,26.51,82.11,-43.63,48.22,61.09,1.2774,MED,PROGRESS,3.174,3.4536,3.8071,0,20.9276,WEAK,22.2258
45,18,CMM.AX,Capricorn Metals Ltd,Gold,mid,13.7,0.8236,1.0501,1.1053,1.2846,STRONG_DOWN,-0.31,33.83,186.03,-41.12,54.55,69.23,1.5372,HIGH,-,13.2995,12.778,13.163,1,26.6571,TREND_ONLY,20.1831
47,3,HMX.AX,Hammer Metals Limited,Gold,small,0.056,1.0769,0.9734,1.6853,1.6186,FLAT,75.0,75.0,69.7,-50.0,32.81,92.49,5.3758,HIGH,-,0.0467,0.039,0.0361,1,26.6056,TREND+LEAD,19.7441
48,27,TCG.AX,Turaco Gold Limited,Gold,mid,0.545,0.6987,1.0915,1.0825,0.8638,STRONG_UP,-33.54,13.54,186.84,-49.43,46.25,83.55,2.4095,HIGH,PROGRESS,0.5038,0.5598,0.6024,0,7.4961,WEAK,19.6294
49,-4,PNR.AX,Pantoro Gold Limited,Gold,mid,2.85,0.5568,1.0419,0.9403,0.8118,STRONG_UP,-38.04,-9.52,88.37,-64.89,51.78,74.11,1.1068,MED,EARLY,2.877,3.2542,4.5826,0,-6.6542,WEAK,19.6159
51,-15,BEZ.AX,Besra Gold Inc,Gold,small,0.085,0.9686,0.7831,0.6253,0.7955,FLAT,70.0,57.41,-14.14,-58.33,39.53,112.32,2.714,HIGH,-,0.1056,0.1089,0.0792,1,20.204,TREND_ONLY,19.0649
52,55,CYL.AX,Catalyst Metals Limited,Gold,mid,6.44,0.6892,1.1819,1.2323,1.0426,FLAT,-0.31,12.0,557.14,-51.04,49.41,80.54,1.9637,HIGH,SHIFT,5.392,5.7332,7.0228,0,7.3618,WEAK,19.0591
57,34,OBM.AX,Ora Banda Mining Ltd,Gold,mid,1.29,0.8536,1.0755,0.978,0.9904,FLAT,0.0,38.71,263.38,-39.1,50.2,95.2,1.5906,HIGH,EARLY,1.2935,1.3532,1.2984,0,20.412,WEAK,18.1162
58,-7,STK.AX,Strickland Metals Limited,Gold,mid,0.096,0.4376,0.931,0.9534,0.5241,FLAT,-49.47,-28.89,-12.73,-61.63,34.39,87.68,2.0002,HIGH,EARLY,0.1048,0.1454,0.1813,0,-11.3309,WEAK,18.0963
60,12,SMI.AX,Santana Minerals Limited,Gold,mid,0.565,0.6265,0.9213,0.9844,0.7211,FLAT,-28.03,1.8,54.09,-55.56,46.25,63.87,1.0602,MED,PROGRESS,0.5587,0.6068,0.7983,0,1.3047,WEAK,17.3986
62,9,NST.AX,Northern Star Resources Limited,Gold,large,21.5,0.6644,1.0284,1.1035,1.1143,STRONG_DOWN,-17.08,7.97,70.16,-45.32,51.78,63.42,0.7954,LOW,SHIFT,19.817,21.1688,23.9748,0,6.5096,WEAK,17.0817
72,-2,BC8.AX,Black Cat Syndicate Limited,Gold,mid,1.055,0.7638,1.0178,1.0222,1.0065,FLAT,1.93,24.12,283.64,-45.28,49.8,87.72,0.5001,LOW,EARLY,1.088,1.1428,1.2058,0,13.692,WEAK,15.2252
119,-59,ATM.AX,Aneka Tambang (Persero) Tbk,Gold,large,0.97,0.6344,0.9027,0.983,0.958,FLAT,4.3,3.09,-4.14,-26.41,21.34,15.74,0.0,LOW,EARLY,1.0192,0.9934,0.9918,0,4.1882,WEAK,10.4647
