rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
25,-1,GMD.AX,Genesis Minerals Limited,Gold,large,5.57,52.94,-0.0536,-0.0688,-0.1209,STRONG_UP,-5.43,50.13,187.86,-36.46,53.17,66.38,1.1614,MED,EARLY,6.3205,6.9376,5.8854,0,40.1577,LAGGARD,25.4066
34,16,NST.AX,Northern Star Resources Limited,Gold,large,19.51,30.07,0.0834,-0.1399,-0.146,STRONG_UP,-17.11,9.0,38.8,-45.32,55.56,70.64,1.9414,HIGH,EARLY,22.666,25.9927,22.898,0,7.076,WEAK,23.3598
35,10,AS1.AX,Asara Resources Limited,Gold,small,0.105,85.62,-0.1144,-0.0357,0.1596,STRONG_DOWN,23.53,162.5,1212.5,-32.26,38.1,106.84,1.9388,HIGH,-,0.1299,0.1244,0.0856,1,57.9488,LEADER,22.8637
46,7,RGL.AX,Riversgold Limited,Gold,small,0.011,86.27,-0.0274,-0.1809,0.681,FLAT,57.14,175.0,37.5,-47.62,25.79,168.33,1.5875,HIGH,-,0.014,0.0152,0.0081,1,26.8119,LEADER,20.4266
48,-9,VAU.AX,Vault Minerals Limited,Gold,mid,3.99,45.1,0.0691,-0.081,-0.1467,STRONG_UP,-5.7,39.87,57.57,-41.81,50.0,58.06,0.8946,LOW,EARLY,4.6113,5.2228,4.3136,0,34.3321,WEAK,19.3238
56,-1,CMM.AX,Capricorn Metals Ltd,Gold,mid,10.45,43.79,0.047,-0.0841,-0.1612,STRONG_UP,-20.68,29.88,97.26,-41.12,55.56,60.9,0.8589,LOW,EARLY,11.8536,13.2784,12.3408,0,27.2576,WEAK,17.8546
60,-3,PNR.AX,Pantoro Gold Limited,Gold,mid,3.18,32.68,-0.0049,-0.2199,-0.2469,STRONG_UP,-47.52,10.03,167.23,-52.82,51.59,82.08,0.6433,LOW,EARLY,3.9245,4.6712,4.6938,0,6.3071,WEAK,16.9354
61,28,RC1.AX,Redcastle Resources Limited,Gold,small,0.16,70.59,0.3643,0.1861,0.7763,FLAT,60.0,77.78,45.45,-50.0,23.81,135.49,2.154,HIGH,-,0.1485,0.1651,0.1106,1,13.6681,CONTENDER,16.7141
71,-25,SMI.AX,Santana Minerals Limited,Gold,mid,0.665,39.22,-0.1694,-0.025,-0.1677,FLAT,-16.35,23.15,,-43.16,47.22,58.98,0.6853,LOW,EARLY,0.8013,0.9307,0.79,0,18.5326,WEAK,15.7533
79,-4,OBM.AX,Ora Banda Mining Ltd,Gold,mid,1.105,25.49,0.0254,0.0399,-0.1554,FLAT,-6.36,1.38,268.33,-50.0,50.0,92.63,0.5381,LOW,EARLY,1.2732,1.3101,1.1332,0,0.7428,WEAK,14.0975
86,-2,CYL.AX,Catalyst Metals Limited,Gold,mid,5.95,26.14,-0.0121,-0.0783,-0.0794,STRONG_UP,-24.68,2.94,715.07,-41.6,48.41,75.67,0.8578,LOW,EARLY,6.6105,7.6536,7.0253,0,1.8816,WEAK,12.9375
96,14,R8R.AX,Regener8 Resources NL,Gold,small,0.145,71.24,-0.1486,0.5631,0.1453,FLAT,45.0,79.01,16.0,-37.14,10.32,159.59,1.693,HIGH,-,0.159,0.1325,0.1248,1,5.1094,CONTENDER,11.8733
104,0,BC8.AX,Black Cat Syndicate Limited,Gold,mid,0.945,20.92,-0.0167,-0.1655,-0.1167,FLAT,-32.74,-2.07,293.75,-41.51,49.21,67.39,0.6365,LOW,EARLY,1.177,1.3336,1.1255,0,-1.5134,WEAK,11.2973
124,1,ATM.AX,Aneka Tambang (Persero) Tbk,Gold,large,0.995,28.1,-0.0274,0.245,0.2802,STRONG_DOWN,-1.97,5.75,0.13,-26.41,20.24,26.62,0.0,LOW,PROGRESS,0.995,1.015,1.0192,0,4.3689,WEAK,9.6526
