rank,delta_rank,ticker,name,sector,industry,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
277,2,EXTR,EXTREME NETWORKS INC,Information Technology,,mid,17.64,1.1565,1.0714,1.1719,1.1426,FLAT,-9.45,48.86,58.49,-39.87,54.22,35.42,1.5303,HIGH,SHIFT,15.6055,14.8998,17.709,0,74.7947,WEAK,31.5233
300,211,ORCL,Oracle Corporation,Information Technology,Application Software,large,155.62,0.9069,1.048,0.9692,0.7709,STRONG_UP,-46.55,16.74,32.58,-58.25,51.41,57.97,1.555,HIGH,SHIFT,146.5705,149.8711,214.8825,0,14.8474,WEAK,30.6356
375,61,ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,Health Care,,mid,14.13,1.4037,0.9903,1.0328,0.7819,FLAT,-6.86,80.69,385.57,-39.35,50.2,74.04,1.5128,HIGH,PROGRESS,13.7035,14.9896,14.72,0,54.7091,WEAK,27.0287
485,106,TEAM,Atlassian,Technology,Computer Software,large,61.3,0.2369,0.9085,0.7846,0.423,STRONG_UP,-57.6,-69.5,-68.05,-75.13,45.38,66.87,1.5043,HIGH,EARLY,68.0955,78.157,143.7468,0,-47.1655,WEAK,23.9742
732,91,FICO,Fair Isaac,Information Technology,Application Software,large,1000.91,0.4023,0.8887,0.8518,0.62,STRONG_UP,-39.89,-48.21,-13.0,-58.19,51.0,64.01,1.6491,HIGH,EARLY,1074.4785,1241.6574,1519.7905,0,-38.4137,WEAK,18.6014
768,169,CSGP,CoStar Group,Real Estate,Real Estate Services,large,37.06,0.362,0.9019,0.8177,0.6315,STRONG_UP,-50.97,-53.4,-57.66,-62.33,50.6,53.41,1.6644,HIGH,EARLY,40.7345,45.4276,69.5873,0,-50.5917,WEAK,17.7167
951,-79,CVLT,COMMVAULT SYSTEMS INC,Information Technology,,mid,89.62,0.4535,1.0872,1.0926,0.712,FLAT,-47.34,-41.63,-4.91,-61.53,51.81,77.24,1.6256,HIGH,SHIFT,80.188,83.6944,137.5399,0,-27.922,WEAK,14.5488
1043,115,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,mid,124.99,0.6389,0.8947,0.8774,0.5962,STRONG_UP,-12.21,-17.75,-50.95,-44.68,53.01,59.47,1.5679,HIGH,EARLY,133.559,148.0822,169.5885,0,-15.825,WEAK,12.8679
1047,96,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,large,46.43,0.5185,0.9654,0.8993,0.7143,STRONG_UP,-29.54,-33.26,-31.37,-46.24,47.39,38.24,1.5066,HIGH,EARLY,47.5275,48.8758,63.031,0,-41.2202,WEAK,12.7521
1060,240,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",large,19.23,0.6528,0.9928,0.9779,0.9323,STRONG_UP,-22.6,-15.97,-25.22,-36.62,47.79,32.69,1.6576,HIGH,SHIFT,18.8535,18.779,23.1507,0,-23.34,WEAK,12.5334
1120,22,QLYS,QUALYS INC,Information Technology,,mid,81.4,0.5131,0.8863,0.7859,0.6083,STRONG_UP,-36.81,-33.95,-49.77,-50.46,49.0,56.8,1.6972,HIGH,EARLY,89.3275,98.3916,126.7165,0,-29.2879,WEAK,11.6981
1402,-145,WDFC,WD-40,Consumer Staples,,mid,207.04,0.7339,0.9364,0.886,1.0968,FLAT,8.82,-5.53,-8.94,-23.27,51.41,31.42,2.0952,HIGH,EARLY,212.9375,228.0792,211.2246,0,-9.0547,WEAK,6.2282
1523,-1,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,mid,14.51,0.4628,0.9,0.8512,0.8958,FLAT,-18.73,-40.43,-44.97,-40.43,44.98,34.69,1.8209,HIGH,EARLY,15.514,17.4716,17.6584,0,-52.4224,WEAK,2.1259
