rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
2,-1,DTR.AX,Dateline Resources Limited,Gold,mid,0.24,13.5439,0.9332,0.5614,0.8588,FLAT,-11.11,2300.0,1900.0,-71.54,47.04,115.43,0.3947,LOW,EARLY,0.3513,0.3833,0.3128,0,937.2953,WEAK,197.6323
3,0,TM1.AX,Terra Metals Limited,Gold,small,0.325,6.5503,0.9521,1.3054,1.215,FLAT,109.68,1060.71,501.85,-46.49,43.48,105.43,3.2953,HIGH,-,0.3263,0.3314,0.1927,1,437.4453,TREND+LEAD,113.8112
7,8,PDI.AX,Predictive Discovery Limited,Gold,mid,1.015,1.5693,1.1018,1.511,1.4203,FLAT,91.51,178.08,383.33,-30.85,48.62,71.06,1.8534,HIGH,-,0.9237,0.8871,0.6656,1,121.8457,TREND+LEAD,40.5049
21,11,PRX.AX,Prodigy Gold NL,Gold,small,0.074,1.044,1.4386,1.4065,1.3431,STRONG_UP,45.1,85.0,38.75,-66.67,26.48,65.16,2.7851,HIGH,-,0.0586,0.0608,0.0573,1,34.5427,TREND+LEAD,26.2321
42,20,MOH.AX,Moho Resources Limited,Gold,small,0.009,1.693,1.0692,1.1974,0.8051,FLAT,12.5,200.0,80.0,-57.14,17.39,142.22,2.8635,HIGH,-,0.0089,0.0079,0.0075,1,24.4551,TREND+LEAD,21.2222
52,9,TRE.AX,Toubani Resources Inc,Gold,small,0.455,0.951,0.8316,1.1958,1.1065,FLAT,19.74,68.52,264.0,-44.79,43.08,88.89,1.8573,HIGH,-,0.548,0.4886,0.4058,1,33.2071,TREND_ONLY,19.0347
53,1,NST.AX,Northern Star Resources Limited,Gold,large,21.59,0.6502,1.0192,1.1778,0.9244,FLAT,-6.66,15.21,52.57,-45.32,54.15,69.53,0.8285,LOW,EARLY,23.018,24.1061,23.4071,0,11.8444,WEAK,18.9893
58,-8,RMS.AX,Ramelius Resources Limited,Gold,large,3.59,0.7869,0.9944,1.0644,0.8987,FLAT,13.73,39.44,,-33.84,48.62,60.86,0.8185,LOW,EARLY,3.8665,4.0421,3.7129,0,31.5091,WEAK,18.4336
59,12,SMI.AX,Santana Minerals Limited,Gold,mid,0.615,0.6548,1.0117,0.9843,0.6727,STRONG_UP,-16.89,16.04,57.69,-47.44,46.64,56.11,1.441,MED,EARLY,0.6755,0.7704,0.8026,0,13.331,WEAK,18.4288
64,3,STK.AX,Strickland Metals Limited,Gold,mid,0.175,1.0853,0.9848,0.9803,1.0436,FLAT,-2.78,92.31,,-31.25,37.55,85.14,0.2894,LOW,EARLY,0.2052,0.2103,0.1856,0,40.7112,WEAK,17.3358
69,9,CDR.AX,Codrus Minerals Limited,Gold,small,0.028,0.7901,1.1515,1.2418,1.3487,STRONG_DOWN,27.27,40.0,-28.21,-64.29,22.53,103.9,2.7043,HIGH,-,0.0241,0.0262,0.0245,1,8.6737,TREND_ONLY,16.4758
72,-20,PNR.AX,Pantoro Gold Limited,Gold,mid,3.27,0.632,0.9105,1.0945,0.7501,FLAT,-32.99,11.99,121.1,-52.82,51.78,85.15,0.9512,LOW,EARLY,3.7065,4.1174,4.7552,0,7.2889,WEAK,16.0826
75,-9,CMM.AX,Capricorn Metals Ltd,Gold,mid,11.8,0.7229,1.0611,1.2019,0.9246,FLAT,-2.07,28.11,136.52,-41.12,54.94,64.91,0.704,LOW,PROGRESS,11.7245,12.2113,12.5458,0,23.7889,WEAK,15.98
85,10,CYL.AX,Catalyst Metals Limited,Gold,mid,5.65,0.5623,0.9237,1.0107,0.7552,FLAT,-13.61,-0.35,507.53,-41.6,47.83,76.94,1.5201,HIGH,EARLY,6.494,6.8794,7.1402,0,-0.2193,WEAK,14.2043
87,-1,BC8.AX,Black Cat Syndicate Limited,Gold,mid,1.14,0.6498,1.0243,1.284,0.9152,FLAT,18.13,15.15,314.55,-41.51,50.2,80.55,0.6646,LOW,EARLY,1.1862,1.2278,1.1635,0,9.4427,WEAK,13.4137
104,-20,ATM.AX,Aneka Tambang (Persero) Tbk,Gold,large,0.96,0.603,1.0474,1.0269,1.093,FLAT,-6.8,6.86,-3.39,-26.41,20.55,16.47,0.0,LOW,EARLY,0.9838,0.9922,1.0083,0,8.5584,WEAK,11.2578
