rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,1,ARE.TO,AECON GROUP INC,Uranium,mid,49.51,2.0659,1.1408,1.3001,1.3188,STRONG_DOWN,58.48,146.9,262.46,-25.42,54.8,40.79,2.6795,HIGH,-,44.4656,46.9867,36.2761,1,197.3508,TREND+LEAD,54.1549
2,-1,EFR.TO,ENERGY FUELS INC,Uranium,large,19.53,1.9737,0.9592,0.9077,0.8944,STRONG_UP,-14.86,135.87,139.34,-51.09,50.4,82.42,0.7168,LOW,EARLY,21.3615,24.9364,25.5018,0,83.0845,WEAK,36.0903
3,3,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,3593.0,0.9052,0.9824,0.8991,0.7963,STRONG_UP,-40.6,8.18,72.12,-57.65,50.0,60.67,1.63,HIGH,EARLY,3868.95,4602.4,5367.8703,0,6.7437,WEAK,28.5356
5,-1,UEC,URANIUM ENERGY CORP,Uranium,large,10.77,1.3613,1.0055,0.891,0.8978,FLAT,-7.79,62.69,78.61,-53.23,49.2,90.22,0.6224,LOW,EARLY,11.2955,13.1236,13.8939,0,34.1863,WEAK,26.8848
6,-1,OKLO,OKLO INC,Uranium,large,52.36,0.8156,1.0559,0.9359,1.2306,FLAT,-27.03,-2.53,534.67,-73.83,50.0,100.56,0.704,LOW,EARLY,56.3505,63.933,84.0006,0,-1.2588,WEAK,26.7931
7,1,DML.TO,DENISON MINES CORP,Uranium,mid,4.52,1.5437,1.0429,1.1115,1.0065,FLAT,9.18,84.49,57.49,-34.0,52.8,56.18,0.7955,LOW,PROGRESS,4.4545,4.7276,4.5379,0,79.4066,WEAK,25.1526
8,18,8001.T,ITOCHU CORP,Uranium,large,1886.0,1.0629,1.0372,1.1854,1.0306,FLAT,0.48,27.02,23.63,-19.23,53.72,24.44,1.096,MED,PROGRESS,1852.75,1915.35,1908.9499,0,59.3982,WEAK,21.2169
10,0,NXE.TO,NEXGEN ENERGY LTD,Uranium,large,13.66,1.237,1.0061,1.0071,0.948,FLAT,-2.98,47.84,41.55,-31.42,51.6,56.73,0.7812,LOW,EARLY,14.2705,15.4492,14.6249,0,43.5098,WEAK,20.6796
11,5,CCO.TO,CAMECO CORP,Uranium,large,136.88,1.1567,0.9399,1.0002,0.9893,FLAT,1.12,38.24,99.81,-27.09,52.4,54.2,1.4985,MED,EARLY,146.8215,153.2804,144.0873,0,36.9677,WEAK,19.9065
12,-5,1164.HK,CGN MINING CO LTD,Uranium,large,2.43,0.7921,0.946,0.8679,0.6976,STRONG_UP,-22.47,-5.34,-2.58,-53.57,47.54,61.87,0.4744,LOW,EARLY,2.8203,3.3459,3.6121,0,-4.1024,WEAK,19.8554
13,-2,SLX.AX,SILEX SYSTEMS LTD,Uranium,mid,5.51,1.0697,1.0346,1.0162,1.2055,FLAT,-38.16,27.84,6.99,-53.38,51.78,67.99,0.9677,LOW,EARLY,5.5595,5.798,6.856,0,21.2042,WEAK,19.6956
14,1,PDN.AX,PALADIN ENERGY LTD,Uranium,large,9.95,1.066,1.073,0.9787,0.989,FLAT,-1.78,27.4,-24.33,-36.04,51.38,72.17,0.7243,LOW,PROGRESS,9.929,10.9464,10.5552,0,19.5074,WEAK,17.9468
15,-1,URG,UR-ENERGY INC,Uranium,mid,1.35,1.0364,1.0083,0.8153,1.0046,FLAT,-2.88,23.85,-2.17,-45.71,46.0,84.92,1.2323,MED,EARLY,1.497,1.6372,1.582,0,12.921,WEAK,17.8526
17,-4,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,162.13,0.7724,0.9877,1.0403,1.001,FLAT,-33.21,-7.7,283.92,-66.37,50.4,88.27,0.6502,LOW,EARLY,168.236,185.077,245.5038,0,-4.3949,WEAK,17.5547
19,3,NNE,NANO NUCLEAR ENERGY INC,Uranium,mid,20.03,0.4987,1.0164,0.8854,1.0597,FLAT,-16.58,-40.4,-15.31,-66.45,47.6,115.85,1.113,MED,EARLY,23.3707,25.0147,30.6579,0,-16.6013,WEAK,16.9291
20,0,URC.TO,URANIUM ROYALTY CORP,Uranium,mid,3.99,0.9907,1.0423,0.9246,0.8815,STRONG_UP,-24.86,18.4,25.87,-47.77,48.8,62.03,0.6214,LOW,EARLY,4.1645,4.7556,5.3144,0,14.4737,WEAK,16.9086
21,-3,SMR,NUSCALE POWER CORP,Uranium,mid,9.76,0.2276,0.9744,0.9272,1.0877,FLAT,-31.12,-72.8,-15.79,-82.86,46.8,105.87,0.7057,LOW,EARLY,10.365,11.422,19.5616,0,-32.1806,WEAK,16.7388
23,18,U-U.TO,SPROTT PHYSICAL URANIUM TR,Uranium,large,19.18,0.9396,1.0505,1.1366,1.0682,FLAT,-3.38,12.3,1.48,-23.78,51.2,28.27,1.7179,HIGH,PROGRESS,18.733,19.5454,19.6346,0,22.2677,WEAK,15.9794
25,-13,ISO.TO,ISOENERGY LTD,Uranium,mid,14.23,1.2403,1.0169,1.0151,1.0995,FLAT,3.27,48.23,-6.13,-29.99,54.8,77.3,0.44,LOW,EARLY,14.8405,15.574,14.3111,0,34.1909,WEAK,15.8185
26,-5,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.465,0.719,1.0403,1.0476,0.9258,FLAT,-24.68,-14.08,4.27,-53.26,49.41,69.74,1.0558,MED,EARLY,1.5045,1.6448,1.9086,0,-9.9729,WEAK,14.4212
