rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
4,0,TM1.AX,Terra Metals Limited,Gold,small,0.305,6.6889,1.0727,0.9553,2.0539,FLAT,69.44,1425.0,369.23,-46.49,42.0,175.26,2.0266,HIGH,-,0.2862,0.3336,0.1685,1,341.4927,TREND+LEAD,94.2882
6,1,RSG.AX,Resolute Mining Limited,Gold,mid,1.395,1.5297,1.0164,0.9852,1.0396,FLAT,30.99,248.75,187.63,-31.25,53.2,67.74,2.8546,HIGH,-,1.3567,1.3967,1.0447,1,195.3572,TREND+LEAD,57.1708
11,0,ERM.AX,Emmerson Resources Limited,Gold,small,0.38,1.5874,0.9652,1.1732,1.257,STRONG_DOWN,65.22,261.9,675.51,-23.81,43.2,74.68,5.5715,HIGH,-,0.3748,0.3387,0.2578,1,151.5036,TREND+LEAD,41.2966
16,9,PDI.AX,Predictive Discovery Limited,Gold,mid,0.835,1.1098,1.0986,0.9207,1.0496,FLAT,89.77,153.03,263.04,-30.85,48.0,69.76,4.2493,HIGH,-,0.7985,0.8532,0.6194,1,105.2961,TREND+LEAD,36.747
17,-1,HRN.AX,Horizon Gold Limited,Gold,small,1.28,1.4396,0.8935,1.0264,1.4197,STRONG_DOWN,100.0,228.21,357.14,-21.68,39.6,68.05,7.6495,HIGH,-,1.3543,1.206,0.7974,1,132.7983,TREND+LEAD,36.5249
27,-3,RRL.AX,Regis Resources Limited,Gold,mid,6.72,0.7674,0.9816,0.8163,0.8445,FLAT,14.25,74.96,227.54,-39.58,54.8,64.57,1.5582,HIGH,-,6.9544,7.8011,6.2639,1,63.6209,TREND_ONLY,29.0906
30,0,GMD.AX,Genesis Minerals Limited,Gold,large,5.87,0.7595,0.9551,0.8749,0.734,STRONG_UP,-4.4,73.16,201.8,-36.46,53.6,69.5,1.1795,MED,EARLY,6.0735,6.837,5.9072,0,56.4198,WEAK,27.6966
41,0,VAU.AX,Vault Minerals Limited,Gold,mid,4.12,0.696,0.9514,0.8237,0.702,STRONG_UP,-6.18,58.69,64.79,-41.81,50.4,60.86,1.0231,MED,EARLY,4.4154,5.1131,4.3374,0,48.6009,WEAK,24.0019
43,0,SMI.AX,Santana Minerals Limited,Gold,mid,0.675,0.6966,0.9282,0.8384,0.7032,STRONG_UP,-13.46,58.82,48.35,-43.16,47.6,61.32,1.1429,MED,EARLY,0.7745,0.9031,0.7918,0,45.6621,WEAK,23.7917
51,-3,NST.AX,Northern Star Resources Limited,Gold,large,21.91,0.5288,1.08,0.8064,0.8347,FLAT,-9.51,20.56,52.48,-45.32,55.6,71.24,1.1715,MED,PROGRESS,21.397,25.6088,22.9195,0,16.0478,WEAK,21.9758
53,0,PNR.AX,Pantoro Gold Limited,Gold,mid,3.5,0.6344,1.0064,0.6965,0.6297,STRONG_UP,-44.53,44.63,174.51,-52.82,52.8,84.77,0.9241,LOW,EARLY,3.6155,4.5456,4.6972,0,27.7971,WEAK,20.8007
55,0,CMM.AX,Capricorn Metals Ltd,Gold,mid,10.94,0.5949,0.9788,0.8337,0.7114,STRONG_UP,-18.5,35.63,106.51,-41.12,55.6,64.57,1.3568,MED,EARLY,11.3364,13.0257,12.3545,0,30.6817,WEAK,20.1709
61,0,GUL.AX,Gullewa Limited,Gold,small,0.092,0.9046,0.9046,0.9941,0.826,FLAT,13.58,106.25,76.79,-34.74,26.8,66.24,2.8083,HIGH,-,0.0978,0.0986,0.0836,1,42.9876,TREND_ONLY,18.9624
66,0,OBM.AX,Ora Banda Mining Ltd,Gold,mid,1.12,0.5198,0.9185,0.8523,0.6812,STRONG_UP,-10.76,18.52,261.29,-50.0,50.8,96.13,1.0299,MED,EARLY,1.2422,1.2808,1.1368,0,9.7861,WEAK,18.5393
80,0,CYL.AX,Catalyst Metals Limited,Gold,mid,6.12,0.4776,0.9327,0.8329,0.7839,STRONG_UP,-24.07,8.9,,-41.6,48.4,79.47,1.1101,MED,EARLY,6.347,7.4728,7.0342,0,5.4185,WEAK,15.0833
86,-3,BC8.AX,Black Cat Syndicate Limited,Gold,mid,1.025,0.5168,1.0024,0.7359,0.7377,FLAT,-27.05,17.82,283.18,-41.51,49.6,69.53,0.9165,LOW,EARLY,1.1035,1.3041,1.128,0,12.7093,WEAK,14.0059
131,-7,ATM.AX,Aneka Tambang (Persero) Tbk,Gold,large,0.995,0.4638,0.9144,1.0806,1.1036,STRONG_DOWN,-2.93,5.75,0.13,-26.41,20.4,25.25,0.0,LOW,PROGRESS,0.995,1.0166,1.0197,0,4.6424,WEAK,9.6475
