rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
6,0,LAT.AX,Latitude 66 Limited,Gold,small,0.125,2.05,0.8985,0.7153,0.8125,FLAT,78.57,242.47,-37.5,-47.73,33.6,83.89,2.3377,HIGH,-,0.1504,0.1553,0.1063,1,97.1135,TREND+LEAD,35.502
17,0,DTR.AX,Dateline Resources Limited,Gold,mid,0.17,0.8849,0.8917,0.7517,0.5525,STRONG_UP,-41.38,47.83,1316.67,-73.85,45.85,98.89,0.2875,LOW,EARLY,0.2005,0.2986,0.3205,0,22.1744,WEAK,25.4157
18,0,WGX.AX,Westgold Resources Limited,Gold,large,5.26,0.9981,0.9778,0.951,0.8536,STRONG_UP,-12.91,66.74,127.72,-39.5,51.78,65.43,0.5304,LOW,EARLY,5.291,5.7196,5.7453,0,52.8189,WEAK,25.3337
23,0,TOK.AX,Tolu Minerals Limited,Gold,small,1.49,1.0555,1.0871,1.0353,1.289,FLAT,16.41,76.33,195.05,-33.13,45.06,55.5,4.8103,HIGH,-,1.4203,1.464,1.3198,1,61.9728,TREND+LEAD,23.9541
32,0,SX2.AX,Southern Cross Gold Consolidated Ltd,Gold,mid,10.8,0.9383,1.0543,1.1164,1.1493,STRONG_DOWN,37.06,56.75,184.21,-34.88,52.17,66.23,2.2535,HIGH,-,9.92,9.9322,9.1921,1,44.7017,TREND_ONLY,22.1683
34,0,ORP.AX,Orpheus Uranium Limited,Gold,small,0.07,1.3517,0.9844,1.0476,1.2563,STRONG_DOWN,37.25,125.81,-26.32,-30.0,34.78,72.47,2.7594,HIGH,-,0.0688,0.0639,0.0542,1,60.3774,TREND+LEAD,21.9192
36,0,NST.AX,Northern Star Resources Limited,Gold,large,21.03,0.606,1.0374,0.9826,0.8449,STRONG_UP,-22.05,1.24,55.81,-45.32,51.78,72.74,1.9154,HIGH,PROGRESS,20.094,21.1346,23.872,0,0.8835,WEAK,21.8102
44,0,VAU.AX,Vault Minerals Limited,Gold,mid,4.38,0.9089,0.9748,0.9182,0.9553,FLAT,-11.88,51.83,60.76,-41.81,50.99,61.46,0.8252,LOW,EARLY,4.4805,4.4568,4.7425,0,43.0019,WEAK,19.6745
53,0,RRL.AX,Regis Resources Limited,Gold,mid,6.32,0.7327,0.9627,0.9108,0.8395,STRONG_UP,-11.34,22.4,260.09,-39.58,53.36,59.69,1.1793,MED,EARLY,6.463,6.8106,6.8049,0,20.0287,WEAK,17.503
59,0,SMI.AX,Santana Minerals Limited,Gold,mid,0.585,0.631,1.0813,0.9564,0.8325,STRONG_UP,-29.09,5.41,65.57,-55.56,47.04,61.98,0.5462,LOW,EARLY,0.5925,0.6402,0.8013,0,4.1025,WEAK,17.0825
61,0,RMS.AX,Ramelius Resources Limited,Gold,large,3.32,0.6882,0.9531,0.964,0.8878,FLAT,-8.37,14.97,80.55,-38.63,47.43,58.63,0.8811,LOW,EARLY,3.344,3.576,3.8008,0,12.1071,WEAK,16.5668
62,0,GMN.AX,Gold Mountain Limited,Gold,small,0.11,0.6585,0.8895,0.8917,1.1023,STRONG_DOWN,100.0,10.0,-37.14,-70.0,33.99,116.22,1.6482,HIGH,-,0.1142,0.1136,0.0896,1,2.9246,TREND_ONLY,16.4613
