rank,delta_rank,ticker,name,sector,cap_band,close,rs_ratio,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,EFR.TO,ENERGY FUELS INC,Uranium,large,23.03,2.0833,0.9079,0.9877,0.8672,FLAT,9.46,271.45,151.15,-51.09,51.6,83.9,0.7877,LOW,EARLY,28.3395,26.889,24.3279,0,166.9476,WEAK,50.7846
3,0,UEC,URANIUM ENERGY CORP,Uranium,large,12.75,1.3595,0.9408,1.0113,0.8878,FLAT,11.35,142.4,72.06,-40.86,50.0,76.5,1.2092,MED,EARLY,14.5805,14.0642,13.7042,0,93.0689,WEAK,37.0274
5,0,1164.HK,CGN MINING CO LTD,Uranium,large,3.24,1.1837,0.9891,0.9097,0.7231,STRONG_UP,-5.26,111.06,15.9,-38.4,48.78,55.61,0.5747,LOW,EARLY,3.835,4.0188,3.546,0,97.418,WEAK,33.9981
6,0,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,4756.0,1.0305,0.9303,0.9973,0.8151,FLAT,-4.05,83.74,88.25,-43.75,53.01,67.22,0.8528,LOW,EARLY,5259.75,5291.2821,5294.1714,0,66.0399,WEAK,29.3157
8,3,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,169.31,1.0174,0.9621,0.9373,0.9404,FLAT,-31.2,81.39,250.39,-61.35,51.6,77.78,0.9701,LOW,EARLY,200.716,196.8922,250.0394,0,53.9953,WEAK,27.9411
11,-2,URG,UR-ENERGY INC,Uranium,mid,1.47,1.1612,0.8779,0.976,1.0268,STRONG_DOWN,22.5,107.04,-19.67,-45.71,48.0,68.67,0.9314,LOW,EARLY,1.7395,1.6122,1.5505,0,74.822,WEAK,26.627
12,0,SLX.AX,SILEX SYSTEMS LTD,Uranium,mid,5.39,0.9944,1.028,1.0498,0.8506,FLAT,-34.67,77.3,-17.08,-53.38,52.17,74.7,0.3702,LOW,EARLY,5.8915,5.6836,6.5917,0,53.9877,WEAK,24.8782
16,-1,URC.TO,URANIUM ROYALTY CORP,Uranium,mid,4.72,0.9769,0.9228,1.1576,0.9145,FLAT,-4.84,74.17,24.21,-38.43,49.6,61.75,0.8139,LOW,EARLY,5.2715,5.096,5.2588,0,59.576,WEAK,21.8132
19,2,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.545,0.7191,0.976,0.9449,0.6829,STRONG_UP,-2.52,28.22,-11.46,-46.91,47.43,71.92,1.0492,MED,EARLY,1.8057,1.8279,1.934,0,18.6078,WEAK,19.3817
21,1,SMR,NUSCALE POWER CORP,Uranium,mid,10.39,0.2441,0.9415,0.9201,0.8748,STRONG_UP,-51.76,-56.47,40.41,-82.86,44.8,93.66,0.6913,LOW,EARLY,11.962,11.4798,23.3242,0,-27.0123,WEAK,18.6099
24,-1,7011.T,MITSUBISHI HEAVY INDUSTRIES,Uranium,large,4024.0,0.7569,1.0566,1.0579,0.9076,FLAT,-7.49,34.96,207.93,-22.32,47.11,45.75,0.7992,LOW,EARLY,4435.35,4575.5794,4252.8509,0,35.9967,WEAK,15.0644
27,2,BOE.AX,BOSS ENERGY LTD,Uranium,mid,1.205,0.1857,0.9755,0.8966,0.8116,STRONG_UP,-26.75,-66.9,-79.44,-74.73,41.5,74.21,0.5889,LOW,EARLY,1.4208,1.5213,1.6917,0,-37.4096,WEAK,14.476
29,-4,BMN.AX,BANNERMAN ENERGY LTD,Uranium,mid,3.42,0.7552,0.9462,0.967,0.928,FLAT,13.62,34.65,-27.85,-34.17,47.83,75.16,0.9288,LOW,EARLY,4.083,3.9598,3.6013,0,22.0477,WEAK,13.7497
32,1,YCA.L,YELLOW CAKE PLC,Uranium,mid,557.0,0.671,1.0504,1.0946,1.0199,FLAT,7.53,19.63,-20.14,-23.13,47.01,31.51,0.799,LOW,EARLY,591.325,595.18,576.538,0,29.287,WEAK,12.0105
