rank,delta_rank,ticker,name,commodity,type,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
194,1,RGLD,Royal Gold Inc,gold,royalties_financial_services,large,214.82,14.42,-0.0007,-0.009,-0.0531,STRONG_UP,-2.98,20.83,78.88,-35.12,53.2,41.11,1.7665,HIGH,EARLY,215.226,233.1806,227.8016,0,26.9498,WEAK,22.9258
195,16,URG,Ur-Energy Inc,uranium,producer,mid,1.5,68.25,-0.1376,0.0163,0.0097,FLAT,11.94,47.06,3.45,-45.71,47.2,88.29,4.4391,HIGH,EARLY,1.652,1.6838,1.5884,0,25.1577,LAGGARD,22.8468
200,1,LEU,Centrus Energy -A,uranium,producer,mid,191.39,31.75,0.0884,0.1263,-0.0014,FLAT,-13.43,0.71,348.96,-66.37,51.2,91.39,2.3912,HIGH,SHIFT,174.8825,189.5228,247.5686,0,0.398,WEAK,22.7045
223,0,SMR,Nuscale Power Corp,uranium,producer,mid,11.74,4.76,0.0982,0.1258,0.0014,FLAT,-25.37,-68.44,23.45,-82.86,46.8,107.43,1.9863,HIGH,SHIFT,11.2805,11.5398,20.7242,0,-29.8151,WEAK,20.5529
233,-1,DYL.AX,Deep Yellow Ltd.,uranium,producer,mid,1.72,33.33,0.1267,0.1091,0.0145,STRONG_UP,2.38,0.88,15.82,-53.26,49.01,71.89,3.6676,HIGH,PROGRESS,1.5675,1.7373,1.931,0,0.5998,WEAK,19.534
237,-4,OBM.AX,ORA Banda Mining,gold,explorer,mid,1.29,32.69,0.1322,0.0158,-0.0453,STRONG_UP,0.0,38.71,263.38,-39.1,50.2,95.2,1.5906,HIGH,EARLY,1.2935,1.3532,1.2984,0,20.412,WEAK,19.3853
242,0,NNE,Nano Nuclear Energy,uranium,producer,mid,28.21,17.46,0.1281,0.1563,0.3122,STRONG_DOWN,-5.94,-24.39,85.35,-66.45,48.4,112.08,2.0776,HIGH,SHIFT,26.1687,25.3109,31.1462,0,-10.5325,WEAK,18.7706
243,0,CYL.AX,Catalyst Metals,gold,producer,mid,6.44,8.65,0.2476,0.2719,0.0101,FLAT,-0.31,12.0,557.14,-51.04,49.41,80.54,1.9637,HIGH,SHIFT,5.392,5.7332,7.0228,0,7.3618,WEAK,18.6994
249,1,ORLA,Orla Mining Ltd,gold,producer,mid,10.38,4.81,-0.061,-0.1277,-0.3123,STRONG_UP,-23.81,-7.62,164.45,-54.87,54.0,69.86,2.023,HIGH,EARLY,11.4445,13.4029,13.8361,0,-5.8884,WEAK,18.028
254,1,STK.AX,Strickland Metals,gold,explorer,mid,0.096,0.96,-0.0251,-0.012,-0.5198,FLAT,-49.47,-28.89,-12.73,-61.63,34.39,87.68,2.0002,HIGH,EARLY,0.1048,0.1454,0.1813,0,-11.3309,WEAK,17.5674
272,1,BOE.AX,Boss Energy Ltd.,uranium,producer,mid,1.21,0.0,-0.0127,-0.0163,-0.2302,STRONG_UP,-22.68,-73.92,-71.12,-76.12,42.29,68.94,2.1196,HIGH,EARLY,1.2432,1.396,1.6372,0,-45.3464,WEAK,15.8333
278,1,VISC.ST,Gruvaktiebolaget Viscaria Class B,copper,producer,mid,16.14,7.5,0.0121,-0.0957,-0.087,FLAT,31.86,-3.47,-33.85,-47.57,45.78,54.05,2.8001,HIGH,PROGRESS,16.036,16.6948,16.8272,0,-2.9381,WEAK,15.155
307,3,YCA.L,Yellow Cake PLC,uranium,producer,mid,549.5,36.51,-0.0994,-0.0461,-0.0885,FLAT,2.42,5.37,-9.25,-27.22,47.62,30.09,1.5713,HIGH,EARLY,562.9,582.32,583.4,0,8.4971,WEAK,11.6526
309,2,ZIM.AX,Zimplats Holdings,platinum,producer,mid,14.43,33.33,0.0054,0.0944,0.0129,FLAT,-25.43,-13.07,-12.55,-41.15,46.64,50.55,2.4154,HIGH,EARLY,15.694,16.5258,18.7468,0,-12.0612,WEAK,11.5648
