rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,EFR.TO,ENERGY FUELS INC,Uranium,large,24.95,100.0,0.0046,-0.0336,0.042,FLAT,34.21,238.08,173.87,-51.09,51.6,84.79,0.7512,LOW,-,27.7755,26.7826,24.4461,1,144.884,LEADER,48.493
2,0,ARE.TO,AECON GROUP INC,Uranium,mid,45.26,95.56,-0.0888,0.089,0.4113,STRONG_DOWN,78.33,146.36,187.75,-21.01,56.4,40.55,0.7145,LOW,-,50.484,46.3699,33.0196,1,203.5684,LEADER,45.0696
3,1,1164.HK,CGN MINING CO LTD,Uranium,large,3.3,88.89,0.0033,-0.072,-0.1631,STRONG_UP,-0.6,99.43,23.78,-38.59,48.78,55.28,0.52,LOW,EARLY,3.753,3.971,3.5572,0,87.7359,LAGGARD,32.9818
4,1,OKLO,OKLO INC,Uranium,large,65.88,57.78,0.1461,0.0643,0.1877,FLAT,-25.14,34.81,767.98,-73.83,49.2,98.89,0.9081,LOW,-,68.6355,61.5524,85.9698,0,17.3171,LAGGARD,31.304
5,7,PDN.AX,PALADIN ENERGY LTD,Uranium,large,11.07,84.44,0.0876,0.0142,-0.0009,STRONG_UP,35.5,91.85,-32.04,-30.19,52.17,70.72,1.1544,MED,-,11.649,11.8826,10.1333,1,67.7608,LEADER,30.2061
6,9,BHP.AX,BHP GROUP LTD,Uranium,large,59.75,71.11,0.0378,0.2014,0.3022,STRONG_DOWN,45.94,62.29,45.52,-18.98,54.55,33.79,1.0716,MED,-,57.6765,54.4798,46.8827,1,100.5609,CONTENDER,29.421
7,-4,UEC,URANIUM ENERGY CORP,Uranium,large,13.02,91.11,0.0075,0.0631,-0.0206,FLAT,17.83,101.86,84.94,-40.86,50.0,76.65,0.8423,LOW,EARLY,14.4365,14.0218,13.7386,0,66.4452,LAGGARD,29.1264
8,2,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,4675.0,73.33,-0.0562,0.0035,-0.0709,FLAT,-1.56,70.97,101.73,-43.75,52.4,67.03,0.824,LOW,EARLY,5160.0,5228.9226,5307.8398,0,55.4816,LAGGARD,27.7837
9,-2,DML.TO,DENISON MINES CORP,Uranium,mid,4.46,86.67,0.0079,-0.0351,-0.0488,STRONG_UP,36.39,93.07,44.34,-29.2,51.2,57.83,0.714,LOW,-,4.922,4.9952,4.3292,1,82.403,LEADER,26.8725
10,-2,SLX.AX,SILEX SYSTEMS LTD,Uranium,mid,5.96,77.78,0.1107,0.0779,0.0465,STRONG_UP,-29.38,75.29,-7.02,-53.38,52.57,75.83,0.5189,LOW,SHIFT,5.827,5.6826,6.607,0,52.1985,LAGGARD,26.8526
11,-2,CCO.TO,CAMECO CORP,Uranium,large,144.63,82.22,-0.0037,-0.0138,0.0645,FLAT,25.31,79.9,104.5,-24.86,53.2,53.97,0.5336,LOW,-,157.4755,156.1392,138.0184,1,78.7614,LEADER,26.2731
12,-6,LEU,CENTRUS ENERGY CORP-CLASS A,Uranium,mid,179.36,64.44,0.0582,0.0086,0.0409,FLAT,-25.67,58.32,290.51,-61.35,52.0,78.24,0.801,LOW,EARLY,197.281,195.7184,249.591,0,38.7603,LAGGARD,25.3792
13,3,SASK.V,ATHA ENERGY CORP,Uranium,small,0.96,97.78,-0.049,0.0171,0.3903,STRONG_DOWN,60.0,156.0,28.0,-40.43,43.6,85.59,0.209,LOW,-,1.0375,0.9238,0.7635,1,79.4672,LEADER,24.2955
14,-3,URG,UR-ENERGY INC,Uranium,mid,1.55,80.0,0.0022,0.0481,0.0815,STRONG_DOWN,31.36,78.16,-9.36,-45.71,48.4,69.16,0.6383,LOW,EARLY,1.722,1.611,1.5534,0,54.6991,LAGGARD,23.4445
15,-2,NXE.TO,NEXGEN ENERGY LTD,Uranium,large,14.75,75.56,-0.0288,-0.0175,0.0458,STRONG_DOWN,36.32,71.91,41.55,-22.98,51.2,50.73,0.6128,LOW,-,16.298,16.279,13.9789,1,72.5777,LEADER,23.4165
16,2,MGA.TO,MEGA URANIUM LTD,Uranium,small,0.62,93.33,-0.0825,-0.0179,0.0737,STRONG_DOWN,72.22,121.43,55.0,-31.58,41.2,81.74,0.3828,LOW,-,0.703,0.6602,0.5152,1,61.2045,LEADER,19.1891
17,-3,URC.TO,URANIUM ROYALTY CORP,Uranium,mid,4.68,60.0,-0.0723,0.0504,-0.0119,FLAT,-0.43,46.71,29.28,-38.43,49.6,61.76,0.7841,LOW,EARLY,5.228,5.0786,5.2702,0,37.512,LAGGARD,18.8228
18,3,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.62,53.33,-0.0022,-0.0552,-0.2122,STRONG_UP,-4.99,30.12,-4.99,-46.91,47.83,70.7,0.695,LOW,EARLY,1.761,1.8105,1.9341,0,20.3771,LAGGARD,18.7324
19,-2,URA,GLOBAL X URANIUM ETF,Uranium,small,48.96,68.89,0.0269,0.0216,0.0661,FLAT,21.82,61.16,67.72,-28.43,53.6,53.0,0.7047,LOW,-,53.1905,51.7598,48.1889,1,61.8523,CONTENDER,18.6434
20,-1,LI.V,AMERICAN LITHIUM CORP,Uranium,small,0.56,66.67,0.0393,0.0697,-0.0142,FLAT,-17.65,60.0,-44.0,-56.41,40.0,64.45,0.2831,LOW,-,0.5965,0.583,0.6541,0,37.2382,LAGGARD,18.6327
21,4,NNE,NANO NUCLEAR ENERGY INC,Uranium,mid,26.73,17.78,0.128,0.2276,0.2266,FLAT,-8.86,-25.46,571.61,-66.45,46.8,99.75,1.0129,MED,SHIFT,25.2752,23.5234,31.7794,0,-11.9452,WEAK,17.7677
22,-2,SMR,NUSCALE POWER CORP,Uranium,mid,11.4,4.44,0.1089,0.0895,0.024,STRONG_UP,-39.04,-62.3,70.91,-82.86,44.8,93.33,0.9723,LOW,EARLY,11.8645,11.4516,22.9825,0,-29.9058,WEAK,17.698
23,3,8001.T,ITOCHU CORP,Uranium,large,1949.5,55.56,-0.0028,0.1232,0.0912,FLAT,3.59,32.68,40.95,-14.24,53.31,32.82,0.688,LOW,-,1981.4,2008.2333,1867.1442,1,53.0838,CONTENDER,16.729
24,5,BMN.AX,BANNERMAN ENERGY LTD,Uranium,mid,3.64,51.11,-0.0103,-0.0547,0.0216,FLAT,17.42,28.62,-19.29,-34.17,47.83,74.66,1.1147,MED,-,3.9745,3.9374,3.6104,1,18.3363,CONTENDER,16.0332
25,-2,ISO.TO,ISOENERGY LTD,Uranium,mid,14.83,62.22,-0.0224,0.0249,0.1605,STRONG_DOWN,39.64,49.2,-11.73,-29.99,54.8,76.79,0.3078,LOW,-,15.889,15.4104,13.6929,1,35.1074,CONTENDER,15.7569
26,2,AEE,AURA ENERGY LTD,Uranium,large,111.29,42.22,0.0576,0.1379,0.1821,STRONG_DOWN,9.08,18.91,65.34,-7.9,56.0,17.66,0.7498,LOW,-,110.24,110.5292,104.1784,1,59.9537,LAGGARD,14.0677
27,0,AGE.AX,ALLIGATOR ENERGY LTD,Uranium,small,0.038,48.89,0.0767,-0.0035,-0.0173,STRONG_UP,58.33,26.67,-40.63,-52.5,39.92,87.25,0.5356,LOW,-,0.0407,0.0409,0.0329,1,12.201,LAGGARD,13.8815
28,-4,7011.T,MITSUBISHI HEAVY INDUSTRIES,Uranium,large,3969.0,44.44,-0.0134,0.0172,0.0009,FLAT,-8.01,24.46,203.27,-23.59,46.69,45.75,0.899,LOW,EARLY,4387.85,4544.0608,4258.6133,0,24.964,WEAK,13.8441
29,1,BOE.AX,BOSS ENERGY LTD,Uranium,mid,1.26,0.0,0.0133,-0.0821,-0.0668,FLAT,-24.55,-68.34,-76.71,-74.73,41.5,74.58,0.712,LOW,EARLY,1.3815,1.5075,1.6866,0,-38.0287,WEAK,13.0094
30,-8,U-U.TO,SPROTT PHYSICAL URANIUM TR,Uranium,large,19.39,40.0,0.0084,0.0628,0.0993,STRONG_DOWN,12.41,14.6,-9.31,-22.78,53.6,32.79,0.3162,LOW,EARLY,20.1185,20.0508,19.4118,0,23.8627,WEAK,12.401
31,4,ASN.AX,ANSON RESOURCES LTD,Uranium,small,0.06,37.78,-0.0435,0.1364,0.2862,STRONG_DOWN,-40.0,13.21,-57.14,-63.33,33.99,129.84,0.6243,LOW,-,0.0581,0.0537,0.0718,0,3.4575,WEAK,11.7052
32,1,AEC.V,ANFIELD ENERGY INC,Uranium,small,6.03,26.67,-0.0432,-0.0931,-0.189,STRONG_UP,-27.61,-10.67,0.5,-61.72,42.8,80.87,0.6104,LOW,-,6.715,7.3312,8.8988,0,-5.6453,WEAK,11.3703
33,5,LOT.AX,LOTUS RESOURCES LTD,Uranium,small,0.675,2.22,0.1099,-0.4126,-0.5104,STRONG_UP,-64.43,-68.27,-87.38,-81.33,38.74,109.05,0.7825,LOW,-,0.8597,1.2019,1.9592,0,-24.2538,WEAK,10.8666
34,3,AEE.AX,AURA ENERGY LTD,Uranium,small,0.12,28.89,-0.021,-0.0396,0.0027,FLAT,-35.14,-7.69,-31.43,-59.26,39.53,78.56,0.6097,LOW,-,0.1312,0.1305,0.1765,0,-3.8706,WEAK,10.3682
35,6,FSY.TO,FORSYS METALS CORP,Uranium,small,0.33,8.89,-0.0382,-0.0422,-0.0583,STRONG_UP,17.86,-36.54,-68.27,-65.79,40.4,110.63,0.4754,LOW,-,0.366,0.3694,0.4125,0,-13.3432,WEAK,10.2825
36,4,PEN.AX,PENINSULA ENERGY LTD,Uranium,small,0.38,6.67,0.0345,-0.1635,-0.3225,STRONG_UP,-20.83,-38.71,-82.73,-63.86,29.25,101.09,0.6492,LOW,-,0.4208,0.5127,0.5737,0,-11.2005,WEAK,10.1727
37,0,AEC,ANFIELD ENERGY INC,Uranium,small,4.36,22.22,0.0143,-0.0598,-0.2056,STRONG_UP,-26.23,-16.95,-16.95,-60.75,40.4,63.08,0.7808,LOW,-,4.822,5.2572,6.4217,0,-10.8573,WEAK,10.1332
38,-4,EU.V,ENCORE ENERGY CORP,Uranium,small,2.02,20.0,-0.0327,-0.1326,-0.2678,STRONG_UP,-40.59,-24.63,-68.34,-66.31,49.6,69.15,0.5609,LOW,-,2.3635,2.5268,3.4939,0,-17.6644,WEAK,9.924
39,0,AEU.AX,ATOMIC EAGLE LTD,Uranium,small,0.36,33.33,-0.0579,0.0038,-0.0168,FLAT,2.86,2.86,2471.43,-50.68,21.34,100.56,0.0843,LOW,-,0.3935,0.4141,0.3893,0,0.6063,WEAK,9.5838
40,-4,FUU.V,F3 URANIUM CORP,Uranium,small,0.16,15.56,-0.0113,-0.0672,-0.0816,STRONG_UP,23.08,-25.58,-58.44,-57.41,36.4,90.37,0.3901,LOW,-,0.1773,0.1765,0.1804,0,-10.3039,WEAK,9.4447
41,-9,SYH.V,SKYHARBOUR RESOURCES LTD,Uranium,small,0.43,46.67,-0.0852,-0.0403,-0.0295,STRONG_DOWN,30.3,26.47,0.0,-40.0,34.8,91.35,0.6116,LOW,-,0.4775,0.4714,0.4306,0,10.084,WEAK,8.9137
42,1,EL8.AX,ELEVATE URANIUM LTD,Uranium,small,0.255,24.44,0.0836,-0.0945,-0.1272,STRONG_UP,-3.77,-16.39,-54.05,-50.0,43.87,74.88,0.5768,LOW,-,0.2657,0.2819,0.3225,0,-9.6044,WEAK,8.4969
43,2,CVV.V,CANALASKA URANIUM LTD,Uranium,small,0.58,11.11,-0.0302,-0.0503,-0.1514,STRONG_UP,5.45,-30.95,-4.92,-53.45,40.4,82.25,0.5162,LOW,-,0.64,0.691,0.7903,0,-15.2034,WEAK,7.7865
44,-2,LAM.TO,LARAMIDE RESOURCES,Uranium,small,0.65,35.56,-0.0524,-0.0119,-0.0331,FLAT,18.18,3.17,-25.29,-35.62,40.8,77.25,0.3458,LOW,-,0.723,0.7218,0.6638,0,1.6767,WEAK,7.2821
45,1,BKY.MC,BERKELEY ENERGIA LTD,Uranium,small,0.2745,31.11,0.1508,0.2344,0.0549,FLAT,-5.34,-5.51,16.31,-36.03,44.49,35.97,6.6951,HIGH,-,0.2483,0.262,0.2956,0,-6.8123,WEAK,7.0275
46,-2,GLO.TO,GLOBAL ATOMIC CORP,Uranium,small,0.67,13.33,-0.0374,-0.0297,-0.0186,STRONG_DOWN,39.58,-26.37,-71.97,-56.6,40.4,64.25,0.2959,LOW,-,0.7635,0.7914,0.6949,0,-16.5836,WEAK,6.3615
