rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
31,1,EL8.AX,ELEVATE URANIUM LTD,Uranium,small,0.33,42.22,0.0549,0.0807,-0.0499,FLAT,-10.81%,50.00%,-28.26%,-48.96%,45.63%,89.59%,0.8944,LOW,-,0.2983,0.3164,0.3215,1,25.466,LAGGARD,14.7473
32,1,AGE.AX,ALLIGATOR ENERGY LTD,Uranium,small,0.044,48.89,0.0014,0.0699,0.1749,STRONG_DOWN,76.00%,57.14%,-18.52%,-52.50%,40.08%,107.61%,0.351,LOW,-,0.0419,0.0427,0.0312,1,21.2832,LAGGARD,13.8274
33,2,ASN.AX,ANSON RESOURCES LTD,Uranium,small,0.06,17.78,0.0406,0.0128,-0.0402,STRONG_UP,-34.78%,13.21%,-42.86%,-63.33%,32.94%,66.20%,0.359,LOW,-,0.0514,0.0528,0.0763,0,6.5719,WEAK,13.6964
34,0,EU.V,ENCORE ENERGY CORP,Uranium,small,2.63,24.44,-0.0709,-0.0559,-0.2903,FLAT,-37.38%,17.94%,-56.89%,-58.33%,49.40%,71.01%,0.6411,LOW,-,2.651,2.881,3.6398,0,12.4785,WEAK,13.2446
35,2,AEE.AX,AURA ENERGY LTD,Uranium,small,0.145,31.11,0.0236,0.089,-0.2262,FLAT,-25.64%,26.09%,-17.14%,-59.26%,39.68%,95.36%,0.2394,LOW,-,0.1335,0.1351,0.1795,0,10.855,WEAK,13.1817
36,0,AEE,AURA ENERGY LTD,Uranium,large,111.12,20.0,0.0223,-0.0972,0.2108,FLAT,8.00%,15.62%,60.25%,-7.90%,56.22%,17.52%,0.7212,LOW,-,111.36,110.5829,102.8773,1,50.1093,LAGGARD,12.7859
37,1,GLO.TO,GLOBAL ATOMIC CORP,Uranium,small,0.79,22.22,-0.026,-0.0812,0.0791,FLAT,58.00%,16.18%,-61.27%,-56.60%,42.97%,73.24%,0.3372,LOW,-,0.7945,0.8174,0.6899,1,9.4908,LAGGARD,12.7413
38,1,SYH.V,SKYHARBOUR RESOURCES LTD,Uranium,small,0.48,40.0,-0.0889,0.0514,-0.0126,FLAT,37.14%,41.18%,9.09%,-40.00%,33.33%,92.00%,1.4451,MED,-,0.4855,0.4844,0.415,1,14.9175,LAGGARD,12.2815
39,1,AEU.AX,ATOMIC EAGLE LTD,Uranium,small,0.415,28.89,0.0743,0.0023,-0.2266,STRONG_UP,18.57%,18.57%,2864.29%,-50.68%,17.46%,115.94%,0.2525,LOW,-,0.4353,0.4345,0.3849,1,2.7968,LAGGARD,11.2698
40,1,FUU.V,F3 URANIUM CORP,Uranium,small,0.195,13.33,-0.0028,0.1388,0.0342,FLAT,21.87%,0.00%,-50.00%,-57.41%,36.95%,103.49%,0.3234,LOW,-,0.1803,0.1877,0.1864,1,0.0,LAGGARD,10.9063
41,1,PEN.AX,PENINSULA ENERGY LTD,Uranium,small,0.54,11.11,-0.0778,-0.1897,-0.3507,STRONG_UP,-2.70%,-12.90%,-73.60%,-54.84%,27.38%,110.39%,0.7737,LOW,-,0.573,0.6255,0.5936,0,-3.2004,WEAK,10.1451
42,1,LOT.AX,LOTUS RESOURCES LTD,Uranium,small,1.485,4.44,-0.0228,0.0014,-0.427,FLAT,-30.20%,-21.74%,-67.31%,-62.81%,38.49%,106.58%,0.6178,LOW,-,1.4373,1.6646,2.0702,0,-7.8508,WEAK,9.7907
43,1,FSY.TO,FORSYS METALS CORP,Uranium,small,0.38,0.0,0.0236,0.0322,-0.0592,FLAT,-2.56%,-35.59%,-55.29%,-65.79%,40.56%,115.28%,0.2102,LOW,-,0.3815,0.3892,0.4309,0,-12.5231,WEAK,9.3749
44,2,CVV.V,CANALASKA URANIUM LTD,Uranium,small,0.68,8.89,-0.0333,-0.1207,-0.1037,FLAT,-24.44%,-18.07%,13.33%,-53.45%,40.56%,93.29%,0.5552,LOW,-,0.725,0.771,0.817,0,-7.8573,WEAK,8.2167
45,0,LAM.TO,LARAMIDE RESOURCES,Uranium,small,0.77,26.67,-0.0153,0.0653,0.102,STRONG_DOWN,26.23%,18.46%,8.45%,-35.62%,40.96%,82.20%,0.3616,LOW,-,0.7215,0.7588,0.6512,1,9.1993,LAGGARD,8.0826
46,1,BKY.MC,BERKELEY ENERGIA LTD,Uranium,small,0.2525,6.67,0.0377,-0.2347,-0.1072,FLAT,-19.46%,-21.22%,14.77%,-36.03%,44.66%,33.81%,1.5473,HIGH,-,0.2619,0.2818,0.301,0,-28.0256,WEAK,1.7556
