rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,1,EFR.TO,ENERGY FUELS INC,Uranium,large,29.27,100.0,-0.0051,0.1269,0.0298,FLAT,33.17,347.55,251.8,-51.09,52.21,82.12,1.2398,MED,-,28.9665,27.2102,23.8689,1,220.9665,LEADER,69.5416
2,-1,ARE.TO,AECON GROUP INC,Uranium,mid,53.04,97.78,-0.0263,0.1303,0.5023,STRONG_DOWN,84.08,192.11,231.3,-21.01,57.43,37.83,1.0996,MED,-,49.466,44.6609,31.6683,1,291.641,LEADER,67.9295
3,0,OKLO,OKLO INC,Uranium,large,72.51,84.44,0.057,0.4202,0.0614,FLAT,-32.07,151.33,758.11,-73.83,50.6,93.94,0.9425,LOW,SHIFT,68.567,60.8224,86.495,0,81.5151,LAGGARD,43.7716
4,0,SSW.JO,SIBANYE STILLWATER LTD,Uranium,large,5480.0,88.89,0.1095,-0.005,-0.0854,STRONG_UP,24.57,156.73,139.36,-43.75,54.22,67.04,0.5292,LOW,-,5316.15,5454.9329,5256.2373,1,126.7618,LEADER,43.0194
5,0,UEC,URANIUM ENERGY CORP,Uranium,large,15.16,93.33,0.0229,0.0977,-0.0434,FLAT,24.06,174.14,114.12,-39.97,51.0,70.49,0.785,LOW,-,14.7855,14.0962,13.4892,1,125.9922,LEADER,40.7336
6,0,1164.HK,CGN MINING CO LTD,Uranium,large,4.04,86.67,-0.0025,-0.0962,-0.0302,FLAT,3.32,154.9,70.63,-30.04,49.8,65.3,0.7365,LOW,-,4.12,4.2292,3.4926,1,118.1285,LEADER,35.5434
7,0,URG,UR-ENERGY INC,Uranium,mid,1.74,82.22,-0.0169,0.1372,0.131,FLAT,37.01,141.67,0.0,-45.71,49.0,64.25,0.7141,LOW,-,1.721,1.5874,1.5335,1,108.0415,LEADER,35.1201
8,0,CCO.TO,CAMECO CORP,Uranium,large,159.98,77.78,-0.0077,-0.0317,0.0732,FLAT,23.84,124.06,130.75,-24.86,54.22,54.39,0.7805,LOW,-,163.7275,157.7602,135.9979,1,123.6692,LEADER,34.4447
9,0,URC.TO,URANIUM ROYALTY CORP,Uranium,mid,5.49,68.89,0.0578,0.0819,0.0601,FLAT,3.98,101.84,57.76,-38.43,50.2,57.73,1.2834,MED,-,5.184,5.1042,5.2107,1,88.555,CONTENDER,32.0272
10,0,DML.TO,DENISON MINES CORP,Uranium,mid,5.12,80.0,0.002,0.0158,0.0469,STRONG_DOWN,41.83,134.86,80.28,-29.2,51.0,58.08,0.8632,LOW,-,5.2135,5.136,4.252,1,118.4225,LEADER,31.5846
11,0,URA,GLOBAL X URANIUM ETF,Uranium,small,55.18,73.33,0.0075,0.06,0.1003,STRONG_DOWN,22.64,111.85,90.36,-28.43,55.02,52.02,1.2815,MED,-,55.252,51.9768,47.5716,1,118.3014,CONTENDER,31.3105
