rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
27,2,U-U.TO,SPROTT PHYSICAL URANIUM TR,Uranium,large,19.77,36.96,-0.0275,-0.0499,0.0284,FLAT,8.57,26.41,-14.6,-22.78,53.6,33.49,0.5008,LOW,-,20.558,20.1214,19.261,1,42.2633,LAGGARD,17.0509
28,-1,DYL.AX,DEEP YELLOW LTD,Uranium,mid,1.73,41.3,-0.0572,-0.1084,-0.2054,STRONG_UP,12.34,28.15,7.12,-44.5,47.83,74.59,0.8715,LOW,EARLY,1.909,1.9506,1.9293,0,18.0497,WEAK,16.9891
29,-1,YCA.L,YELLOW CAKE PLC,Uranium,mid,584.0,39.13,-0.0307,-0.0627,0.0128,FLAT,10.61,26.63,-16.27,-22.37,47.22,29.28,0.5963,LOW,-,602.55,603.48,573.7745,1,42.9402,LAGGARD,14.9943
30,2,EU.V,ENCORE ENERGY CORP,Uranium,small,2.27,21.74,-0.1063,-0.128,-0.3396,STRONG_UP,-38.15,-3.81,-65.02,-59.75,50.0,67.02,2.8072,HIGH,-,2.6785,2.6742,3.5756,0,-2.8451,WEAK,14.0806
31,4,AGE.AX,ALLIGATOR ENERGY LTD,Uranium,small,0.044,47.83,0.0742,0.0195,0.1851,FLAT,76.0,41.94,-27.87,-52.5,39.92,96.15,0.3663,LOW,-,0.0434,0.0418,0.0321,1,17.411,LAGGARD,13.9552
32,-2,BMN.AX,BANNERMAN ENERGY LTD,Uranium,mid,4.01,43.48,-0.0172,0.0029,0.1432,STRONG_DOWN,32.34,35.93,-10.49,-34.17,47.83,77.43,0.6534,LOW,-,4.234,4.0552,3.5531,1,22.196,LAGGARD,13.6636
33,0,BOE.AX,BOSS ENERGY LTD,Uranium,mid,1.39,0.0,-0.0177,-0.2086,-0.0441,FLAT,-20.34,-64.81,-75.0,-74.73,42.69,78.5,0.7752,LOW,EARLY,1.5443,1.5799,1.7169,0,-35.2452,WEAK,13.5339
34,-3,SYH.V,SKYHARBOUR RESOURCES LTD,Uranium,small,0.47,50.0,-0.06,-0.0568,-0.093,FLAT,46.88,42.42,9.3,-40.0,34.0,90.5,1.1065,MED,-,0.501,0.477,0.4233,1,15.9384,CONTENDER,13.1974
35,2,AEE,AURA ENERGY LTD,Uranium,large,109.07,34.78,-0.0295,-0.0746,0.1384,FLAT,8.42,15.22,54.95,-7.9,55.6,18.29,0.7112,LOW,-,111.354,110.9152,103.6609,1,46.2637,LAGGARD,12.3527
36,-2,AEE.AX,AURA ENERGY LTD,Uranium,small,0.135,26.09,0.001,0.0103,-0.0885,FLAT,-34.15,8.0,-25.0,-59.26,39.53,85.5,0.4026,LOW,-,0.1398,0.1326,0.1783,0,3.6987,WEAK,11.7368
37,1,ASN.AX,ANSON RESOURCES LTD,Uranium,small,0.051,23.91,0.0635,0.0806,0.0659,FLAT,-38.55,-3.77,-60.77,-63.33,33.6,74.86,0.898,LOW,-,0.0541,0.0522,0.0742,0,-1.6937,WEAK,11.3637
38,-2,LOT.AX,LOTUS RESOURCES LTD,Uranium,small,0.78,2.17,-0.0659,-0.5036,-0.5931,STRONG_UP,-61.24,-63.34,-84.76,-75.93,38.34,105.99,1.2076,MED,-,1.2767,1.4578,2.0187,0,-22.9111,WEAK,11.2772
39,4,FSY.TO,FORSYS METALS CORP,Uranium,small,0.375,8.7,-0.0132,-0.0225,-0.0394,STRONG_UP,13.64,-26.47,-57.39,-65.79,40.4,110.92,0.2312,LOW,-,0.3852,0.3793,0.4213,0,-9.6413,WEAK,10.9817
40,1,AEU.AX,ATOMIC EAGLE LTD,Uranium,small,0.395,30.43,-0.0125,-0.2044,-0.0735,FLAT,12.86,12.86,2721.43,-50.68,19.37,100.52,0.5115,LOW,-,0.412,0.4253,0.387,1,2.4775,LAGGARD,10.3367
41,1,PEN.AX,PENINSULA ENERGY LTD,Uranium,small,0.42,4.35,0.051,-0.286,-0.3146,STRONG_UP,-17.65,-32.26,-81.25,-60.4,28.06,108.69,0.485,LOW,-,0.519,0.5711,0.5853,0,-8.3279,WEAK,10.0377
42,-3,FUU.V,F3 URANIUM CORP,Uranium,small,0.18,19.57,-0.027,0.0307,-0.0751,FLAT,28.57,-10.0,-53.25,-57.41,36.0,92.34,0.4401,LOW,-,0.189,0.182,0.1836,0,-3.8986,WEAK,9.8223
43,-3,GLO.TO,GLOBAL ATOMIC CORP,Uranium,small,0.8,17.39,0.0267,-0.0483,0.1963,FLAT,73.91,-13.04,-66.1,-56.6,40.8,64.13,0.6007,LOW,-,0.8045,0.8204,0.6932,1,-8.2984,LAGGARD,9.3276
44,0,CVV.V,CANALASKA URANIUM LTD,Uranium,small,0.62,10.87,-0.1143,-0.2093,-0.2277,STRONG_UP,5.08,-24.39,3.33,-53.45,40.4,90.98,0.5658,LOW,-,0.701,0.7348,0.8069,0,-10.8306,WEAK,8.5929
45,0,EL8.AX,ELEVATE URANIUM LTD,Uranium,small,0.265,15.22,0.001,-0.1062,-0.1751,STRONG_UP,-7.02,-15.87,-48.04,-48.96,43.87,80.13,0.7278,LOW,-,0.2955,0.3003,0.3224,0,-8.6902,WEAK,8.3102
46,-2,LAM.TO,LARAMIDE RESOURCES,Uranium,small,0.74,28.26,0.0147,0.0443,-0.0617,FLAT,29.82,8.82,-1.33,-35.62,40.4,76.97,0.7789,LOW,-,0.754,0.7426,0.6576,1,4.6313,LAGGARD,8.1493
47,-1,BKY.MC,BERKELEY ENERGIA LTD,Uranium,small,0.249,13.04,0.001,-0.1561,-0.1212,FLAT,-21.45,-16.72,23.57,-36.03,43.87,31.46,0.3194,LOW,-,0.2489,0.2727,0.2984,0,-23.3189,WEAK,2.4073
