rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
30,-3,AGE.AX,ALLIGATOR ENERGY LTD,Uranium,small,0.037,40.0,-0.0667,-0.0251,-0.083,FLAT,54.17,15.62,-38.33,-52.5,39.92,86.71,0.1515,LOW,-,0.0402,0.0406,0.0331,1,7.1935,LAGGARD,11.8804
31,0,ASN.AX,ANSON RESOURCES LTD,Uranium,small,0.057,37.78,-0.1006,0.0296,0.097,STRONG_DOWN,-25.97,14.0,-56.15,-63.33,33.99,129.62,0.6838,LOW,-,0.0578,0.054,0.0713,0,3.6712,WEAK,11.7466
32,9,SYH.V,SKYHARBOUR RESOURCES LTD,Uranium,small,0.48,60.0,0.0078,0.0552,0.0701,STRONG_DOWN,29.73,37.14,14.29,-40.0,35.2,92.32,0.9973,LOW,-,0.475,0.471,0.4324,1,14.1619,CONTENDER,10.8297
33,0,LOT.AX,LOTUS RESOURCES LTD,Uranium,small,0.665,0.0,0.0403,-0.4537,-0.557,STRONG_UP,-62.69,-70.35,-87.15,-81.33,38.74,110.85,0.785,LOW,-,0.7825,1.1661,1.9478,0,-24.5845,WEAK,10.7596
34,-2,AEC.V,ANFIELD ENERGY INC,Uranium,small,6.5,22.22,0.041,-0.0324,-0.2012,STRONG_UP,-25.8,-21.21,8.33,-61.72,42.8,80.65,0.5369,LOW,-,6.616,7.2622,8.8868,0,-11.257,WEAK,10.2421
35,1,PEN.AX,PENINSULA ENERGY LTD,Uranium,small,0.38,6.67,-0.0667,-0.1753,-0.3603,STRONG_UP,-14.61,-38.71,-82.73,-63.86,29.64,100.73,0.5883,LOW,-,0.4061,0.5045,0.5713,0,-11.3904,WEAK,10.142
36,2,EU.V,ENCORE ENERGY CORP,Uranium,small,2.2,13.33,0.093,-0.0912,-0.2687,STRONG_UP,-39.56,-25.17,-64.86,-66.31,49.6,70.46,0.9759,LOW,-,2.313,2.5,3.4779,0,-17.7184,WEAK,9.7922
37,-3,AEE.AX,AURA ENERGY LTD,Uranium,small,0.115,28.89,-0.0667,-0.1129,-0.0872,FLAT,-32.35,-14.81,-32.35,-59.26,39.53,80.0,0.7782,LOW,-,0.1288,0.1301,0.176,0,-7.3204,WEAK,9.7216
38,-3,FSY.TO,FORSYS METALS CORP,Uranium,small,0.36,8.89,-0.0078,0.0183,-0.0357,FLAT,28.57,-33.33,-64.71,-65.79,40.4,111.46,0.5909,LOW,-,0.3635,0.3682,0.4109,0,-12.0821,WEAK,9.621
39,0,AEU.AX,ATOMIC EAGLE LTD,Uranium,small,0.395,35.56,-0.0538,0.0586,0.1345,STRONG_DOWN,64.58,12.86,2721.43,-50.68,22.13,100.05,0.3127,LOW,-,0.3907,0.4122,0.3896,1,2.8439,LAGGARD,9.6198
40,-3,AEC,ANFIELD ENERGY INC,Uranium,small,4.66,20.0,0.0325,-0.0431,-0.1938,STRONG_UP,-19.79,-22.33,-11.24,-60.75,40.4,64.86,0.396,LOW,-,4.785,5.236,6.4176,0,-13.911,WEAK,9.5242
41,2,CVV.V,CANALASKA URANIUM LTD,Uranium,small,0.64,17.78,0.0259,0.0095,-0.1182,STRONG_UP,-3.03,-22.89,8.47,-53.45,40.4,84.53,0.5803,LOW,-,0.632,0.6838,0.7866,0,-10.9407,WEAK,8.7029
42,4,GLO.TO,GLOBAL ATOMIC CORP,Uranium,small,0.74,11.11,0.0294,0.0202,-0.0129,STRONG_UP,51.02,-25.25,-67.83,-56.6,40.8,63.71,0.8771,LOW,-,0.7555,0.7838,0.6955,1,-16.1718,LAGGARD,8.6533
43,-3,FUU.V,F3 URANIUM CORP,Uranium,small,0.17,15.56,-0.1222,-0.0343,-0.0631,FLAT,30.77,-24.44,-55.03,-57.41,36.8,90.02,0.4831,LOW,-,0.1745,0.1757,0.1797,0,-9.9928,WEAK,8.6084
44,-2,EL8.AX,ELEVATE URANIUM LTD,Uranium,small,0.25,24.44,-0.025,-0.0864,-0.2045,STRONG_UP,0.0,-18.03,-52.83,-50.0,43.48,74.64,0.5052,LOW,-,0.26,0.2797,0.3226,0,-10.5046,WEAK,8.3255
45,-1,LAM.TO,LARAMIDE RESOURCES,Uranium,small,0.71,33.33,0.0169,-0.0073,0.0024,FLAT,26.79,9.23,-15.48,-35.62,41.2,78.35,0.7511,LOW,-,0.7135,0.7164,0.6653,1,4.854,LAGGARD,8.2893
46,-1,BKY.MC,BERKELEY ENERGIA LTD,Uranium,small,0.272,31.11,0.0675,0.1724,0.0315,FLAT,-5.06,-5.72,6.46,-36.03,44.27,35.66,0.6796,LOW,-,0.2492,0.2616,0.2955,0,-7.1001,WEAK,5.6952
