ticker,name,sector,industry,market_cap,cap_band,benchmark
WSR,WHITESTONE REIT,Real Estate,,862603264,small,SPY
ESQ,ESQUIRE FINANCIAL HOLDINGS INC,Financials,,940980288,small,SPY
RAPP,RAPPORT THERAPEUTICS INC,Health Care,,1604887168,small,SPY
FBRT,FRANKLIN BSP REALTY TRUST INC,Financials,,689575808,small,SPY
CMRE,COSTAMARE INC,Industrials,,2083773824,mid,SPY
AMTB,AMERANT BANCORP INC CLASS A,Financials,,964289280,small,SPY
HBNC,HORIZON BANCORP INC,Financials,,858546880,small,SPY
MCB,METROPOLITAN BANK HOLDING CORP,Financials,,1037491392,small,SPY
CAC,CAMDEN NATIONAL CORP,Financials,,816308544,small,SPY
PAX,PATRIA INVESTMENTS LTD CLASS A,Financials,,2018871680,mid,SPY
JBI,JANUS INTERNATIONAL GROUP INC,Industrials,,683182208,small,SPY
RYAM,RAYONIER ADVANCED MATERIALS INC,Materials,,715719680,small,SPY
BFST,BUSINESS FIRST BANCSHARES INC,Financials,,903329664,small,SPY
ESRT,EMPIRE STATE REALTY REIT INC TRUST,Real Estate,,1530361728,small,SPY
GLUE,MONTE ROSA THERAPEUTICS INC,Health Care,,1367467648,small,SPY
GBTG,GLOBAL BUSINESS TRAVEL GROUP INC C,Consumer Discretionary,,2913438208,mid,SPY
TALK,TALKSPACE INC,Health Care,,865453760,small,SPY
MEG,MONTROSE ENVIRONMENTAL GRP INC,Industrials,,824309312,small,SPY
HTBK,HERITAGE COMMERCE CORP,Financials,,784082496,small,SPY
BRSP,BRIGHTSPIRE CAPITAL INC CLASS A,Financials,,726504384,small,SPY
CSTL,CASTLE BIOSCIENCES INC,Health Care,,738522944,small,SPY
OMER,OMEROS CORP,Health Care,,772814912,small,SPY
BBUC,BROOKFIELD BUSINESS CORP CLASS A,Industrials,,2412787456,mid,SPY
KOD,KODIAK SCIENCES INC,Health Care,,2480397568,mid,SPY
THFF,FIRST FINANCIAL CORPORATION CORP,Financials,,760367808,small,SPY
SHEN,SHENANDOAH TELECOMMUNICATIONS,Communication,,835054912,small,SPY
SMP,STANDARD MOTOR PRODUCTS INC,Consumer Discretionary,,787288128,small,SPY
CPF,CENTRAL PACIFIC FINANCIAL CORP,Financials,,860770368,small,SPY
MATW,MATTHEWS INTERNATIONAL CORP CLASS,Consumer Discretionary,,789979904,small,SPY
SVRA,SAVARA INC,Health Care,,1137895680,small,SPY
ARVN,ARVINAS INC,Health Care,,696833664,small,SPY
GNK,GENCO SHIPPING AND TRADING LTD,Industrials,,1047424704,small,SPY
CBL,CBL ASSOCIATES PROPERTIES INC,Real Estate,,1251425920,small,SPY
BJRI,BJS RESTAURANTS INC,Consumer Discretionary,,759707200,small,SPY
KOP,KOPPERS HOLDINGS INC,Materials,,732351616,small,SPY
ORIC,ORIC PHARMACEUTICALS INC,Health Care,,995745664,small,SPY
BBSI,BARRETT BUSINESS SERVICES INC,Industrials,,757976384,small,SPY
PCT,PURECYCLE TECHNOLOGIES INC,Materials,,979531008,small,SPY
CGEM,CULLINAN THERAPEUTICS INC,Health Care,,873392064,small,SPY
APOG,APOGEE ENTERPRISES INC,Industrials,,717389568,small,SPY
PRAA,PRA GROUP INC,Financials,,693694592,small,SPY
OIS,OIL STATES INTERNATIONAL INC,Energy,,674839872,small,SPY
RDW,REDWIRE CORP,Industrials,,1867924480,small,SPY
FMNB,FARMERS NATIONAL BANC CORP,Financials,,792559424,small,SPY
AMPH,AMPHASTAR PHARMACEUTICALS INC,Health Care,,939722048,small,SPY
STGW,STAGWELL INC CLASS A,Communication,,1591682176,small,SPY
IBCP,INDEPENDENT BANK CORP,Financials,,691891072,small,SPY
CMPX,COMPASS THERAPEUTICS,Health Care,,981479104,small,SPY
MCW,MISTER CAR WASH INC,Consumer Discretionary,,2289499136,mid,SPY
AMN,AMN HEALTHCARE INC,Health Care,,703543680,small,SPY
NPK,NATIONAL PRESTO INDUSTRIES INC,Industrials,,1014830400,small,SPY
HTB,HOMETRUST BANCSHARES INC,Financials,,750791168,small,SPY
