rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
925,MQ,MARQETA INC CLASS A,Financials,small,4.31,6.95,12.97,-6.02,-4.1,,STRONG_UP,-5.64,-0.85,-4.79,-3.58,39.15,LOW,0.6438,-,0,10.774,period_1,2026-03-30,19
926,CRVL,CORVEL CORP,Health Care,mid,57.33,5.74,12.97,-7.23,4.03,,STRONG_UP,-3.98,-0.85,-3.13,-0.12,42.41,LOW,0.5507,SHIFT,0,10.77,period_1,2026-03-30,19
927,EWTX,EDGEWISE THERAPEUTICS INC,Health Care,mid,31.58,4.29,12.97,-8.68,-7.77,,STRONG_UP,-9.29,-0.85,-8.44,-8.28,38.91,MED,1.2148,-,1,10.733,period_1,2026-03-30,19
928,IPAR,INTERPARFUMS INC,Consumer Staples,mid,91.19,0.83,12.97,-12.14,-7.7,,STRONG_UP,-7.77,-0.85,-6.92,-7.73,45.0,LOW,,EARLY,0,10.72,period_1,2026-03-30,19
929,USLM,UNITED STATES LIME AND MINERALS IN,Materials,mid,131.49,5.02,12.97,-7.95,-5.1,,STRONG_UP,-7.14,-0.85,-6.29,-5.71,39.71,LOW,,-,1,10.62,period_1,2026-03-30,19
930,GWW,W. W. Grainger,Industrials,large,1147.99,8.59,12.97,-4.38,-2.04,,STRONG_UP,-3.3,-0.85,-2.45,-2.07,38.75,MED,1.0129,-,1,10.608,period_1,2026-03-30,19
931,NPK,NATIONAL PRESTO INDUSTRIES INC,Industrials,small,143.16,8.06,12.97,-4.91,1.35,,STRONG_UP,-5.67,-0.85,-4.82,-0.89,37.08,LOW,0.9191,-,1,10.606,period_1,2026-03-30,19
932,LNT,Alliant Energy,Utilities,large,72.31,1.15,12.97,-11.82,-0.86,,STRONG_UP,-3.74,-0.85,-2.89,-1.91,48.08,LOW,0.8181,-,1,10.563,period_1,2026-03-30,19
933,TNET,TRINET GROUP INCINARY,Industrials,small,40.11,7.13,12.97,-5.84,-0.76,,STRONG_UP,-8.39,-0.85,-7.54,-1.52,35.42,LOW,0.5322,-,0,10.552,period_1,2026-03-30,19
934,WOR,WORTHINGTON ENTERPRISES INC,Industrials,mid,55.19,8.24,12.97,-4.73,-0.08,,STRONG_UP,-4.4,-0.85,-3.55,-0.5,37.92,LOW,0.5876,SHIFT,0,10.549,period_1,2026-03-30,19
935,TDY,Teledyne Technologies,Information Technology,large,648.68,11.06,12.97,-1.91,-0.28,,STRONG_UP,-3.87,-0.85,-3.02,-1.76,34.55,MED,1.2659,-,1,10.507,period_1,2026-03-30,19
