rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
55,0,AS1.AX,Asara Resources Limited,Gold,small,0.11,83.66,-0.0385,-0.0835,0.2077,FLAT,32.53%,182.05%,1122.22%,-32.26%,38.00%,106.95%,0.1005,LOW,-,0.1259,0.1246,0.0865,1,64.6839,LEADER,20.8532
56,0,GA8.AX,GoldArc Resources Limited,Gold,small,0.054,67.97,0.088,-0.0239,-0.055,STRONG_UP,74.19%,107.69%,107.69%,-44.74%,41.84%,83.87%,0.5846,LOW,-,0.0544,0.0642,,0,53.7242,LAGGARD,20.6113
57,0,CMM.AX,Capricorn Metals Ltd,Gold,mid,10.94,39.87,0.0334,-0.0706,-0.1442,STRONG_UP,-18.50%,35.63%,111.68%,-41.12%,55.60%,64.57%,1.3531,MED,EARLY,11.3364,13.0257,12.3545,0,30.6817,WEAK,20.4683
58,0,GPR.AX,Geopacific Resources Limited,Gold,small,0.051,81.05,0.1772,0.1044,0.2668,FLAT,27.50%,155.00%,112.50%,-37.70%,36.80%,99.78%,0.2949,LOW,-,0.0483,0.0517,0.0393,1,57.1658,LEADER,20.3239
59,0,AUE.AX,Aurum Resources Limited,Gold,small,0.6,63.4,0.0539,-0.0367,-0.0416,STRONG_UP,-20.00%,100.00%,126.42%,-33.97%,46.00%,73.50%,0.9546,LOW,-,0.5975,0.6638,0.6073,0,62.585,LAGGARD,20.1951
60,0,ION.AX,Iondrive Limited,Gold,small,0.021,54.9,0.1296,-0.0021,-0.3987,STRONG_UP,-55.32%,75.00%,133.33%,-75.38%,35.60%,116.24%,0.0524,LOW,-,0.0207,0.0309,0.0411,0,22.9697,LAGGARD,20.1815
61,0,ORE.AX,Orezone Gold Corporation,Gold,mid,2.37,62.75,0.0402,0.0968,0.365,STRONG_DOWN,58.00%,92.68%,92.68%,-38.91%,49.70%,96.80%,0.1306,LOW,-,2.2435,2.517,,0,47.5862,LAGGARD,20.0817
62,0,GUL.AX,Gullewa Limited,Gold,small,0.092,66.01,-0.0492,0.08,-0.0225,FLAT,13.58%,106.25%,80.00%,-34.74%,26.80%,66.24%,2.8083,HIGH,-,0.0978,0.0986,0.0836,1,42.9876,CONTENDER,19.8646
63,0,RGL.AX,Riversgold Limited,Gold,small,0.012,84.97,-0.0385,-0.1754,0.6077,FLAT,50.00%,200.00%,71.43%,-47.62%,26.40%,170.17%,1.0078,MED,-,0.0132,0.015,0.0083,1,31.0278,LEADER,19.493
64,0,LAT.AX,Latitude 66 Limited,Gold,small,0.1275,75.16,-0.094,-0.1711,0.7423,FLAT,87.50%,131.82%,6275.00%,-61.67%,32.80%,151.24%,0.0,LOW,-,0.1424,0.1543,0.0806,1,28.5879,LEADER,19.269
