rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,DTR.AX,Dateline Resources Limited,Gold,mid,0.255,100.0,-0.0738,-0.5667,-0.2862,FLAT,-31.08,3542.86,2025.0,-71.54,47.43,117.66,0.7466,LOW,EARLY,0.373,0.3857,0.3115,0,1428.1634,LAGGARD,291.3664
2,0,G11.AX,G11 Resources Limited,Gold,small,0.325,99.35,0.0156,0.1385,-0.0133,FLAT,41.3,2066.67,983.33,-32.05,34.42,70.71,0.4329,LOW,-,0.3062,0.3127,0.2058,1,1006.0057,LEADER,197.2881
3,0,A1G.AX,African Gold Limited,Gold,small,1.04,98.04,0.0156,0.1441,0.4936,STRONG_DOWN,201.45,732.0,3198.03,-37.36,47.04,74.66,0.0,LOW,-,1.0032,0.9521,0.5553,1,461.2012,LEADER,94.5643
4,0,TM1.AX,Terra Metals Limited,Gold,small,0.355,98.69,-0.0378,0.2744,0.1745,FLAT,115.15,1124.14,512.07,-46.49,43.48,169.3,0.1993,LOW,-,0.3195,0.3319,0.1899,1,288.7036,LEADER,67.4495
5,0,KCN.AX,Kingsgate Consolidated Limited,Gold,mid,6.28,94.12,0.1097,0.3919,0.0855,FLAT,69.8,305.35,277.77,-43.14,56.92,87.62,0.2554,LOW,-,5.275,5.7012,4.4794,1,198.3648,LEADER,51.5592
6,1,FAL.AX,Falcon Metals Limited,Gold,small,0.53,96.73,-0.003,0.0164,-0.2157,FLAT,-23.19,430.0,278.57,-61.21,42.69,105.1,0.3423,LOW,-,0.5127,0.5994,0.67,0,174.6594,LAGGARD,46.1298
7,1,TOR.AX,Torque Metals Limited,Gold,small,0.49,96.08,-0.0142,0.1014,0.6915,STRONG_DOWN,96.0,415.79,262.96,-36.23,45.85,117.26,0.2904,LOW,-,0.4873,0.4112,0.3146,1,162.5784,LEADER,39.4244
8,-2,DGR.AX,DGR Global Limited,Gold,small,0.03,97.39,-0.0168,-0.1843,0.0426,FLAT,57.89,500.0,100.0,-40.0,25.3,84.35,0.1208,LOW,-,0.0319,0.0312,0.0249,1,149.9704,LEADER,38.8754
9,2,VTM.AX,Victory Metals Limited,Gold,small,1.75,92.16,-0.0386,0.1586,0.5013,STRONG_DOWN,54.87,260.82,677.78,-46.36,45.75,83.18,0.4387,LOW,-,1.6928,1.482,1.3125,1,143.4567,LEADER,37.1766
10,2,AQI.AX,Alicanto Minerals Limited,Gold,small,1.77,95.42,0.0787,0.0767,0.1119,FLAT,251.19,391.67,666.23,-47.03,37.94,111.33,0.8083,LOW,-,1.6902,1.7805,1.0642,1,133.4755,LEADER,36.86
11,-1,BCN.AX,Beacon Minerals Limited,Gold,small,3.1,89.54,-0.0451,-0.0569,-0.0924,STRONG_UP,23.48,203.94,163.42,-38.13,47.43,73.08,0.2414,LOW,-,3.3295,3.5318,2.7586,1,132.363,LEADER,35.2615
12,1,WGX.AX,Westgold Resources Limited,Gold,large,6.17,76.47,-0.0249,0.0485,-0.0348,FLAT,20.04,110.84,174.15,-37.64,52.96,62.11,0.3083,LOW,-,6.264,6.517,5.4104,1,94.5105,LEADER,33.7144
13,1,FFM.AX,FireFly Metals Ltd,Gold,mid,2.19,85.62,0.0342,0.2701,0.1982,FLAT,36.88,182.58,151.72,-37.28,50.99,84.51,0.7803,LOW,-,1.9873,1.8911,1.6579,1,110.162,LEADER,33.4521
14,-5,RSG.AX,Resolute Mining Limited,Gold,mid,1.29,82.35,-0.0918,-0.0469,0.0719,STRONG_DOWN,14.16,160.61,203.53,-31.25,51.38,68.95,0.9902,LOW,-,1.4195,1.4177,1.1046,1,119.68,LEADER,32.5028
15,0,NEM.AX,Newmont Corporation,Gold,large,166.16,73.2,0.0633,0.0817,0.0799,FLAT,31.13,99.24,162.75,-29.94,56.52,59.51,0.9869,LOW,-,159.879,162.222,139.1575,1,94.2513,CONTENDER,30.3772
