rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,G11.AX,G11 Resources Limited,Gold,small,0.28,100.0,-0.0727,-0.0551,0.1083,STRONG_DOWN,27.27,1900.0,566.67,-32.05,33.94,68.75,0.2081,LOW,-,0.3248,0.3137,0.2337,1,937.9782,LEADER,183.5505
2,1,TM1.AX,Terra Metals Limited,Gold,small,0.355,99.34,0.3014,0.0698,-0.0151,STRONG_UP,195.83,1167.86,655.32,-46.49,43.87,106.55,2.0916,HIGH,-,0.3067,0.3048,0.2129,1,480.8436,LEADER,126.02
3,-1,A1G.AX,African Gold Limited,Gold,small,1.04,98.68,0.0105,0.1727,0.4585,STRONG_DOWN,240.98,670.37,3614.29,-37.36,46.84,73.54,0.0,LOW,-,1.024,0.9613,0.5675,1,426.9805,LEADER,88.1924
4,0,DGR.AX,DGR Global Limited,Gold,small,0.027,98.03,-0.0264,-0.0457,0.1902,FLAT,42.11,575.0,92.86,-40.0,26.88,82.28,1.2689,MED,-,0.0282,0.0304,0.0268,1,187.8464,LEADER,51.0987
5,2,AQI.AX,Alicanto Minerals Limited,Gold,small,1.55,97.37,-0.022,0.0008,-0.0641,FLAT,222.92,361.31,540.5,-47.03,40.32,93.78,1.3447,MED,-,1.5615,1.5902,1.179,1,155.3423,LEADER,45.2703
6,-1,DTR.AX,Dateline Resources Limited,Gold,mid,0.195,94.74,-0.0157,-0.1367,-0.1735,STRONG_UP,-30.36,254.55,1525.0,-71.54,46.64,109.43,0.3601,LOW,EARLY,0.2187,0.3365,0.32,0,108.4894,LAGGARD,42.7853
7,14,BCM.AX,Brazilian Critical Minerals Limited,Gold,small,0.04,96.71,0.187,0.2602,0.3014,STRONG_DOWN,48.15,344.44,81.82,-50.0,36.76,114.8,1.5903,HIGH,-,0.0345,0.0314,0.029,1,110.2942,LEADER,39.3123
8,0,KCN.AX,Kingsgate Consolidated Limited,Gold,mid,5.97,92.11,0.0275,0.0656,0.149,STRONG_DOWN,43.82,203.46,246.81,-43.14,55.34,83.99,0.2379,LOW,-,6.345,5.7119,4.8515,1,134.0563,LEADER,38.6664
9,-3,FAL.AX,Falcon Metals Limited,Gold,small,0.525,96.05,-0.0362,0.1337,-0.1129,FLAT,-8.7,337.5,238.71,-61.21,41.9,109.77,0.0894,LOW,-,0.5218,0.521,0.6694,0,128.8262,LAGGARD,37.5275
10,1,FXG.AX,Felix Gold Limited,Gold,small,0.39,89.47,0.1923,0.5554,0.3544,FLAT,-13.33,178.57,550.0,-71.15,44.27,102.24,2.6261,HIGH,-,0.2992,0.2822,0.3638,1,77.3216,LEADER,37.0048
11,8,NMG.AX,New Murchison Gold Limited,Gold,small,0.043,92.76,-0.0352,-0.0018,-0.1513,FLAT,19.44,207.14,330.0,-50.67,39.2,81.35,0.4454,LOW,-,0.0466,0.047,0.043,1,99.8156,LEADER,30.7556
12,-3,NEM.AX,Newmont Corporation,Gold,large,151.02,73.68,0.012,0.0543,0.0504,FLAT,12.53,84.06,145.25,-29.94,57.31,51.15,0.4551,LOW,-,156.3225,155.9744,144.9664,1,94.1824,CONTENDER,30.3259
13,2,LAT.AX,Latitude 66 Limited,Gold,small,0.15,94.08,0.0105,-0.0833,-0.0234,FLAT,200.0,248.84,-25.0,-47.73,33.6,86.38,0.1043,LOW,-,0.1616,0.1563,0.1027,1,96.7924,LEADER,29.8057
14,-2,ERM.AX,Emmerson Resources Limited,Gold,small,0.37,91.45,-0.004,0.0447,0.3115,STRONG_DOWN,23.33,196.0,611.54,-23.81,45.06,72.01,0.6041,LOW,-,0.389,0.39,0.3013,1,122.6463,LEADER,29.1194
15,-5,WGX.AX,Westgold Resources Limited,Gold,large,4.96,69.74,-0.0257,-0.0995,-0.1576,STRONG_UP,-15.21,74.83,128.4,-38.51,51.38,63.52,0.7262,LOW,EARLY,5.472,5.8268,5.6704,0,60.5245,LAGGARD,27.6451
16,2,BCN.AX,Beacon Minerals Limited,Gold,small,2.45,83.55,-0.0592,-0.1534,-0.2309,STRONG_UP,0.74,131.32,123.06,-46.12,46.64,70.45,0.6036,LOW,-,2.815,3.103,2.9087,0,86.936,LAGGARD,27.2465
17,6,RXR.AX,Robex Resources Inc.,Gold,mid,7.23,79.61,0.1126,0.1909,0.3043,STRONG_DOWN,61.74,100.28,100.28,-32.16,53.3,65.98,0.337,LOW,-,6.3255,6.6738,5.0748,1,81.0058,LEADER,25.5379
18,-5,USL.AX,Unico Silver Limited,Gold,small,0.62,86.84,-0.0986,0.0524,-0.1083,FLAT,14.81,169.57,264.71,-50.88,44.66,99.91,0.6962,LOW,-,0.6615,0.6661,0.6815,0,75.796,LAGGARD,25.3772
