rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
1,0,TM1.AX,Terra Metals Limited,Gold,small,0.37,100.0,0.1212,0.365,0.2577,FLAT,196.0,957.14,780.95,-46.49,43.87,108.51,0.5403,LOW,-,0.3205,0.3135,0.2224,1,386.9676,LEADER,84.5629
2,0,A1G.AX,African Gold Limited,Gold,small,1.04,98.68,0.0,0.1086,0.4535,STRONG_DOWN,240.98,494.29,3486.21,-37.36,46.96,73.54,0.0,LOW,-,1.024,0.9613,0.5675,1,315.6331,LEADER,67.5171
3,0,DGR.AX,DGR Global Limited,Gold,small,0.027,99.34,-0.0357,-0.019,0.0018,STRONG_DOWN,-35.71,671.43,92.86,-40.0,27.67,68.98,0.4073,LOW,-,0.0277,0.0297,0.0273,0,269.3307,LAGGARD,59.2338
4,0,AQI.AX,Alicanto Minerals Limited,Gold,small,1.56,98.03,-0.0517,0.1338,-0.0769,FLAT,140.74,400.0,687.88,-47.03,41.5,93.77,0.144,LOW,-,1.5587,1.6009,1.224,1,177.0289,LEADER,44.8086
5,0,FAL.AX,Falcon Metals Limited,Gold,small,0.515,97.37,-0.019,0.0925,-0.1045,FLAT,-18.25,329.17,77.59,-61.21,42.69,111.67,0.5833,LOW,-,0.5292,0.5149,0.6635,0,125.8362,LAGGARD,36.9902
6,0,LAT.AX,Latitude 66 Limited,Gold,small,0.125,93.42,-0.0741,-0.248,-0.1441,FLAT,78.57,242.47,-37.5,-47.73,33.6,83.89,2.3377,HIGH,-,0.1504,0.1553,0.1063,1,97.1135,LEADER,36.4573
7,0,KCN.AX,Kingsgate Consolidated Limited,Gold,mid,5.99,90.13,-0.0855,0.0031,0.0577,STRONG_DOWN,38.08,185.89,,-43.14,54.94,85.71,0.8258,LOW,-,6.334,5.7442,4.971,1,119.1566,LEADER,35.882
8,0,BCM.AX,Brazilian Critical Minerals Limited,Gold,small,0.039,96.05,-0.025,0.2776,0.2995,STRONG_DOWN,77.27,290.0,77.27,-50.0,36.76,111.33,1.3959,MED,-,0.0374,0.0326,0.0299,1,95.755,LEADER,32.5996
9,0,USL.AX,Unico Silver Limited,Gold,small,0.74,92.11,0.184,0.341,0.0214,FLAT,7.25,202.04,393.33,-50.88,44.66,103.88,1.3234,MED,-,0.68,0.6503,0.6899,1,86.8612,LEADER,31.6452
10,0,GA8.AX,GoldArc Resources Limited,Gold,small,0.069,94.74,-0.0143,-0.0754,0.2151,FLAT,1.47,245.0,-1.43,-60.0,33.2,92.52,0.6183,LOW,-,0.0722,0.0673,0.0557,1,87.9161,LEADER,30.411
11,0,TSO.AX,Tesoro Gold Limited,Gold,small,1.04,88.16,0.0196,-0.0291,0.215,FLAT,-11.86,166.67,82.46,-41.05,45.45,72.44,0.6113,LOW,-,1.0244,1.0113,1.0009,1,104.5697,LEADER,29.7075
12,0,GBM.AX,GBM Resources Limited,Gold,small,0.024,94.08,-0.04,-0.0233,-0.0925,FLAT,-29.41,242.86,118.18,-68.66,33.99,103.19,0.625,LOW,-,0.0246,0.0262,0.0347,0,79.9953,LAGGARD,29.6316
