rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
26,1,ALK.AX,Alkane Resources Limited,Gold,mid,1.81,76.32,0.0018,0.1375,0.2806,STRONG_DOWN,58.77,119.39,166.18,-26.23,50.4,70.95,0.8445,LOW,-,1.591,1.6135,1.2119,1,84.8126,LEADER,24.6055
27,1,GDX,Van Eck Gold Miners AU GDX,Gold,small,100.34,69.74,0.0036,0.2271,0.1371,FLAT,19.69,95.64,202.98,-30.84,57.83,60.42,0.6966,LOW,-,92.4835,98.3504,79.8957,1,91.5423,CONTENDER,24.5989
28,1,LRM.AX,Lion Rock Minerals Ltd,Gold,small,0.022,80.26,0.0354,0.0168,-0.0843,STRONG_UP,-60.0,131.58,633.33,-73.91,36.8,110.98,0.6162,LOW,-,0.0207,0.022,0.0383,0,43.6304,LAGGARD,24.3068
29,1,DPM.AX,DPM Metals Inc.,Gold,large,53.37,61.18,-0.0658,0.1035,0.1848,STRONG_DOWN,38.5,68.85,68.85,-30.84,58.62,60.51,0.1824,LOW,-,51.0775,53.1702,,0,66.7026,LAGGARD,24.0856
30,1,SBM.AX,St Barbara Limited,Gold,mid,0.685,77.63,-0.0475,0.1584,0.3395,STRONG_DOWN,7.87,120.97,132.2,-38.37,44.8,86.32,0.6356,LOW,-,0.6357,0.7039,0.5387,1,62.7821,LEADER,23.8967
31,1,ORE.AX,Orezone Gold Corporation,Gold,mid,2.48,72.37,-0.0,0.1141,0.2325,STRONG_DOWN,42.12,101.63,101.63,-38.91,50.0,93.68,1.1994,MED,-,2.3195,2.4646,,0,54.241,LAGGARD,23.8751
32,1,LAT.AX,Latitude 66 Limited,Gold,small,0.175,93.42,0.0172,0.1834,1.2394,STRONG_DOWN,165.15,250.0,8650.0,-61.67,33.6,154.52,0.2762,LOW,-,0.1466,0.159,0.0868,1,54.3619,LEADER,23.7697
33,1,EVN.AX,Evolution Mining Limited,Gold,large,13.58,53.29,0.015,0.0227,0.1522,STRONG_DOWN,19.96,57.08,256.5,-34.17,52.8,69.46,1.2011,MED,-,13.024,14.2015,11.3379,1,43.3893,CONTENDER,23.668
34,1,WGR.AX,Western Gold Resources Limited,Gold,small,0.16,86.84,-0.0571,-0.047,-0.1186,FLAT,-5.88,180.7,492.59,-50.48,39.2,115.89,0.1107,LOW,-,0.1574,0.1788,0.1557,1,61.1227,LEADER,23.5549
35,1,ION.AX,Iondrive Limited,Gold,small,0.026,63.16,0.2878,0.3168,-0.3213,FLAT,-40.91,73.33,188.89,-75.38,36.4,130.05,2.1915,HIGH,-,0.0206,0.0257,0.0405,0,20.5254,LAGGARD,23.2118
