rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
140,RC1.AX,Redcastle Resources Limited,Gold,small,0.13,-31.58,-13.9,-17.68,-11.27,-5.43,FLAT,-39.47,-30.84,-8.63,-31.58,9.21,LOW,0.1711,-,1,-1.72,gold_peak,2026-02-15,28
141,PNR.AX,Pantoro Gold Limited,Gold,mid,3.27,-34.34,-13.9,-20.44,-9.34,-20.18,STRONG_UP,-47.54,-30.84,-16.7,-44.48,4.61,MED,1.2997,EARLY,0,-1.783,gold_peak,2026-02-15,28
142,CDR.AX,Codrus Minerals Limited,Gold,small,0.024,-29.41,-13.9,-15.51,-4.13,-4.93,STRONG_UP,-31.43,-30.84,-0.59,-31.43,13.16,LOW,0.0,-,0,-2.079,gold_peak,2026-02-15,28
143,AAJ.AX,Aruma Resources Limited,Gold,small,0.011,-35.29,-13.9,-21.39,-4.13,-4.32,STRONG_UP,-47.06,-30.84,-16.22,-35.29,3.95,LOW,0.526,-,0,-2.505,gold_peak,2026-02-15,28
144,M2R.AX,Miramar Resources Limited,Gold,small,0.003,-33.33,-13.9,-19.43,-4.13,-2.65,FLAT,-40.0,-30.84,-9.16,-40.0,7.24,LOW,0.4749,-,0,-2.852,gold_peak,2026-02-15,28
145,M2M.AX,Mt Malcolm Mines NL,Gold,small,0.01,-31.03,-13.9,-17.13,-13.22,-6.23,FLAT,-33.33,-30.84,-2.49,-33.33,9.87,LOW,0.1117,-,0,-3.144,gold_peak,2026-02-15,28
146,ION.AX,Iondrive Limited,Gold,small,0.02,-39.39,-13.9,-25.49,-4.13,-15.15,STRONG_UP,-51.52,-30.84,-20.68,-39.39,1.97,HIGH,1.6175,-,0,-3.401,gold_peak,2026-02-15,28
147,GHM.AX,Golden Horse Minerals Limited,Gold,small,0.47,-35.62,-13.9,-21.72,0.32,-10.51,STRONG_UP,-43.15,-30.84,-12.31,-35.62,3.29,MED,1.2088,-,0,-4.008,gold_peak,2026-02-15,28
148,NVO.AX,Novo Resources Corp,Gold,small,0.076,-36.67,-13.9,-22.77,-12.56,-19.19,STRONG_UP,-44.44,-30.84,-13.6,-43.7,2.63,MED,1.417,-,0,-4.239,gold_peak,2026-02-15,28
149,SVG.AX,Savannah Goldfields Limited,Gold,small,0.011,-33.33,-13.9,-19.43,-19.51,-4.32,FLAT,-35.29,-30.84,-4.45,-35.29,7.24,LOW,0.3523,-,0,-4.265,gold_peak,2026-02-15,28
150,MDI.AX,Middle Island Resources Limited,Gold,small,0.027,-50.0,-13.9,-36.1,-22.31,-29.44,STRONG_UP,-60.66,-30.84,-29.82,-55.74,0.0,MED,1.4035,-,0,-5.494,gold_peak,2026-02-15,28
151,HAW.AX,Hawthorn Resources Limited,Gold,small,0.086,-33.85,-13.9,-19.95,-5.27,-5.99,STRONG_UP,-33.85,-30.84,-3.01,-33.85,5.26,LOW,0.0782,-,1,-5.499,gold_peak,2026-02-15,28
152,PGD.AX,Peregrine Gold Limited,Gold,small,0.13,-43.48,-13.9,-29.58,-17.46,-23.49,STRONG_UP,-50.0,-30.84,-19.16,-45.83,0.66,LOW,0.0468,-,0,-5.886,gold_peak,2026-02-15,28
153,NPM.AX,New Peak Metals Limited,Gold,small,0.014,-41.67,-13.9,-27.77,-26.35,-14.02,FLAT,-41.67,-30.84,-10.83,-41.67,1.32,HIGH,6.0668,-,0,-7.463,gold_peak,2026-02-15,28
