rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
132,NVO.AX,Novo Resources Corp,Gold,small,0.076,-36.67,-5.44,-31.23,-12.56,-19.19,STRONG_UP,-61.54,-30.84,-30.7,-61.03,5.26,MED,1.417,-,0,-1.704,current,2025-12-25,63
133,TCG.AX,Turaco Gold Limited,Gold,mid,0.605,-27.11,-5.44,-21.67,-6.54,5.79,FLAT,-35.88,-30.84,-5.04,-28.82,16.45,MED,1.0345,-,1,-2.221,current,2025-12-25,63
134,KTA.AX,Krakatoa Resources Limited,Gold,small,0.0065,-35.0,-5.44,-29.56,-4.13,15.2,FLAT,-53.85,-30.84,-23.01,-50.0,8.55,LOW,0.3512,-,0,-2.356,current,2025-12-25,63
135,BGD.AX,Barton Gold Holdings Limited,Gold,small,0.885,-33.21,-5.44,-27.77,-6.87,-2.01,FLAT,-48.23,-30.84,-17.39,-37.23,11.18,MED,1.3516,-,0,-2.537,current,2025-12-25,63
136,M2M.AX,Mt Malcolm Mines NL,Gold,small,0.01,-33.33,-5.44,-27.89,-13.22,-6.23,FLAT,-47.37,-30.84,-16.53,-47.37,10.53,LOW,0.1117,-,0,-3.038,current,2025-12-25,63
137,MLS.AX,Metals Australia Limited,Gold,small,0.021,-25.0,-5.44,-19.56,-8.67,17.8,FLAT,-25.0,-30.84,5.84,-25.0,21.05,LOW,0.0,-,0,-3.261,current,2025-12-25,63
138,SVG.AX,Savannah Goldfields Limited,Gold,small,0.011,-35.29,-5.44,-29.85,-19.51,-4.32,FLAT,-50.0,-30.84,-19.16,-50.0,7.89,LOW,0.3523,-,0,-3.825,current,2025-12-25,63
139,MBG.AX,MB Gold Limited,Gold,small,0.17,-27.66,-5.44,-22.22,-4.13,-0.38,FLAT,-32.0,-30.84,-1.16,-32.0,15.13,LOW,0.1195,-,0,-4.001,current,2025-12-25,63
140,AAR.AX,Astral Resources NL,Gold,small,0.18,-33.33,-5.44,-27.89,-9.39,-9.73,STRONG_UP,-43.1,-30.84,-12.26,-37.93,10.53,MED,1.2971,-,0,-4.319,current,2025-12-25,63
141,VTX.AX,Vertex Minerals Limited,Gold,small,0.155,-35.42,-5.44,-29.98,6.59,-0.15,STRONG_UP,-47.17,-30.84,-16.33,-41.51,7.24,MED,1.4852,-,0,-4.921,current,2025-12-25,63
