ticker,rank,name,underlying,freq,price,score,qualified,chg_3m,chg_12m,total_ret_12m,sharpe,yield_ttm,dist_slope,dist_consist,underlying_rs,n_dists
RYLD,1,Global X R2K Covered Call,RUT,monthly,16.02,82.66666666666666,True,4.57,7.88,20.42,2.34,11.66,0.52,0.97,5.7,12
AMDY,2,YieldMax AMD,AMD,weekly,54.04,80.33333333333334,True,31.39,22.4,105.47,1.85,68.05,-2.24,0.06,152.82,43
QQQI,3,NEOS Nasdaq High Income,NDX,monthly,54.34,70.83333333333334,True,1.44,3.56,19.31,0.38,15.25,0.07,0.98,4.16,13
JEPQ,4,JPM Nasdaq Premium Income,NDX,monthly,59.46,70.66666666666667,True,0.97,8.25,19.65,0.31,10.56,2.95,0.88,4.16,12
QYLD,5,Global X Nasdaq Covered Call,NDX,monthly,17.8,69.66666666666667,True,0.06,6.71,19.37,0.09,11.89,0.59,0.97,4.16,12
XYLD,6,Global X S&P Covered Call,SPX,monthly,40.95,69.16666666666667,True,2.45,5.41,16.56,1.49,10.61,1.29,0.9,-0.76,12
APLY,7,YieldMax AAPL,AAPL,weekly,12.53,68.83333333333333,True,3.13,-5.36,27.18,0.65,34.48,-3.07,0.19,23.84,43
SPYI,8,NEOS S&P High Income,SPX,monthly,52.84,66.66666666666667,True,1.46,3.73,17.12,0.59,12.94,0.18,0.99,-0.76,13
SVOL,9,Simplify Volatility Premium,VIX-short,monthly,16.25,66.5,True,1.56,-8.04,11.88,0.56,21.72,-0.76,0.97,0.0,12
QQQY,10,Defiance Nasdaq Income,QQQ,weekly,22.71,62.33333333333333,False,-0.72,-13.09,18.07,-0.02,35.95,-1.0,0.75,4.49,52
DIVO,11,Amplify CWP Enhanced Div,diversified,monthly,46.65,62.16666666666667,True,1.72,7.59,14.43,0.81,6.38,-0.9,0.14,0.0,12
RDTE,12,Roundhill R2K 0DTE,IWM,weekly,28.55,58.5,False,-2.25,-17.76,18.77,-0.5,44.54,-0.86,0.46,6.47,52
QDTE,13,Roundhill Nasdaq 0DTE,QQQ,weekly,29.61,57.666666666666664,False,-0.87,-16.62,21.22,-0.04,45.5,-0.77,0.0,4.49,52
SPYT,14,Defiance S&P Target Income,SPY,monthly,17.3,57.00000000000001,False,-0.29,-5.36,14.56,-0.03,21.11,-1.29,0.94,0.0,12
IWMY,15,Defiance R2K Income,IWM,weekly,19.15,54.833333333333336,False,-2.09,-20.47,13.21,-0.44,42.48,-2.08,0.61,6.47,52
XOMO,16,YieldMax XOM,XOM,weekly,11.43,54.16666666666667,False,-4.99,-6.62,25.73,-0.7,34.73,-1.36,0.45,12.24,43
JEPI,17,JPM Equity Premium Income,SPX,monthly,56.65,52.166666666666664,False,-1.13,-1.01,6.97,-0.55,8.09,1.24,0.91,-0.76,12
GOOY,18,YieldMax GOOGL,GOOGL,weekly,12.64,50.83333333333333,False,-11.05,0.72,55.38,-1.52,54.42,-3.38,0.12,28.35,43
YMAG,19,YieldMax Mag7 FoF,mag7,weekly,11.48,48.0,False,-11.28,-26.08,12.78,-2.49,52.71,-0.91,0.65,4.49,53
MRNY,20,YieldMax MRNA,MRNA,weekly,15.6,47.833333333333336,False,-17.46,-38.82,16.68,-1.08,90.98,-1.6,0.42,23.71,43
XDTE,21,Roundhill S&P 0DTE,SPY,weekly,38.68,46.16666666666668,False,-1.02,-13.08,15.36,-0.3,32.8,-1.09,0.0,0.0,52
YMAX,22,YieldMax Universe FoF,diversified,weekly,7.54,40.833333333333336,False,-11.92,-46.14,-6.03,-1.61,74.69,-1.59,0.67,0.0,53
NVDY,23,YieldMax NVDA,NVDA,weekly,12.79,39.333333333333336,False,-9.1,-23.82,20.49,-1.03,58.33,-3.82,0.04,2.33,43
ULTY,24,YieldMax Ultra,diversified,weekly,27.28,35.333333333333336,False,-15.07,-57.04,-7.43,-2.51,115.79,-2.42,0.6,0.0,53
PYPY,25,YieldMax PYPL,PYPL,weekly,30.31,33.5,False,-3.75,-52.91,-25.76,-0.2,57.81,-4.56,0.11,-21.37,43
TSLY,26,YieldMax TSLA,TSLA,weekly,25.38,26.0,False,-15.6,-37.26,20.44,-1.48,92.21,-5.0,0.0,-7.77,43
AMZY,27,YieldMax AMZN,AMZN,weekly,10.75,24.666666666666664,False,-14.41,-34.33,1.59,-2.68,54.85,-3.71,0.1,-10.69,43
MSFO,28,YieldMax MSFT,MSFT,weekly,10.6,20.666666666666668,False,-18.77,-41.31,-15.46,-2.77,44.16,-2.93,0.27,-28.19,43
CONY,29,YieldMax COIN,COIN,weekly,20.31,17.166666666666668,False,-30.52,-79.42,-41.12,-2.46,186.63,-7.19,0.0,-51.1,43
AIYY,30,YieldMax AI,AI,weekly,7.37,15.500000000000004,False,-28.31,-84.39,-58.43,-2.63,166.68,-6.12,0.0,-54.6,43
